,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,new_addition,trending,labels
13,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,Apache-2.0,2021-04-17 15:40:05,2025-10-01 07:52:16,2025-10-01 07:49:17,987.0,447.0,2686.0,3145.0,,2025-09-23 13:14:22,56.2.0,,,18.0,Official Rust implementation of Apache Arrow.,8721.0,8721.0,731.0,24,True,2.0,,,3.0,
14,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,Unlicense,2014-03-22 06:58:51,2025-08-18 12:22:50,2025-08-18 12:22:49,228.0,59.0,180.0,1851.0,469.0,,,,,,"A CSV parser for Rust, with Serde support.",95041.0,95041.0,57.0,24,True,2.0,,,,
15,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,Unlicense,2015-06-11 23:01:31,2025-09-25 23:21:08,2025-09-25 23:20:59,119.0,9.0,64.0,1215.0,262.0,,,,,,Optimized string search routines for Rust.,772931.0,772931.0,46.0,24,True,1.0,,,,
16,lance,eto-ai/lance,data-loading,https://github.com/lancedb/lance,https://github.com/lancedb/lance,Apache-2.0,2022-07-07 22:29:29,2025-10-01 06:58:29,2025-10-01 06:58:03,440.0,742.0,931.0,5444.0,,2025-09-23 16:31:14,0.37.0,4.0,0.0,100.0,Modern columnar data format for ML and LLMs implemented in Rust. Convert from parquet in 2 lines of code for 100x..,5739.0,5739.0,132.0,23,True,2.0,lancedb/lance,,,
17,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,Apache-2.0,2018-04-05 07:03:30,2025-10-01 06:52:37,2025-10-01 06:38:26,289.0,56.0,116.0,4326.0,353.0,2025-09-30 09:43:40,0.8.0,,,11.0,A Rust machine learning framework.,798.0,798.0,54.0,23,True,1.0,,,,
18,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,Unlicense,2015-06-11 23:02:10,2024-09-25 20:44:36,2024-09-25 20:44:34,97.0,4.0,74.0,1141.0,293.0,,,,,,A fast implementation of Aho-Corasick in Rust.,592394.0,592394.0,32.0,23,False,1.0,,,,
19,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2025-09-19 19:25:03,2025-09-19 19:25:03,97.0,47.0,121.0,735.0,909.0,2024-06-08 05:11:13,0.17.1,,,3.0,Statistical computation library for Rust.,18184.0,18184.0,54.0,23,True,1.0,statrs-dev/statrs,,,
20,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,2018-04-23 11:45:28,2025-10-01 08:56:40,2025-09-29 14:58:45,2166.0,213.0,2115.0,53438.0,,2025-09-30 13:13:55,1.22.2,227523.0,10834.0,100.0,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,,,232.0,22,False,2.0,,,-2.0,
21,candle,huggingface/candle,ml-frameworks,https://github.com/huggingface/candle,https://github.com/huggingface/candle,Apache-2.0,2023-06-19 16:06:31,2025-09-30 22:17:01,2025-09-30 22:16:59,1207.0,445.0,446.0,18224.0,,,,,,,Minimalist ML framework for Rust.,2359.0,2359.0,220.0,22,True,1.0,,,,
22,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2025-09-29 21:09:20,2025-09-29 21:09:20,509.0,354.0,414.0,4461.0,,,,,,,Linear algebra library for Rust.,48207.0,48207.0,230.0,22,True,1.0,,,,
23,delta-rs,delta-io/delta-rs,data-loading,https://github.com/delta-io/delta-rs,https://github.com/delta-io/delta-rs,Apache-2.0,2020-04-26 03:48:06,2025-09-30 13:37:57,2025-09-30 13:37:33,512.0,142.0,1233.0,2964.0,,2025-08-08 09:54:57,python-v1.1.4,,,96.0,"A native Rust library for Delta Lake, with bindings into Python.",1512.0,1512.0,239.0,22,True,2.0,,,,
24,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2023-12-11 09:58:15,2022-04-25 02:35:58,422.0,224.0,689.0,2734.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,312.0,312.0,189.0,22,False,1.0,,,,
25,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2025-09-24 20:06:30,2025-09-24 20:00:56,170.0,38.0,539.0,2267.0,1642.0,,,,,,Rust bindings for OpenCV.,2110.0,2110.0,53.0,22,True,1.0,,,5.0,['binding']
26,LlamaEdge,LlamaEdge/LlamaEdge,apps,https://github.com/LlamaEdge/LlamaEdge,https://github.com/LlamaEdge/LlamaEdge,Apache-2.0,2023-10-09 03:30:44,2025-09-28 02:11:41,2025-09-15 02:08:14,129.0,1.0,120.0,1510.0,,2025-09-15 02:26:19,0.27.0,2048002.0,102400.0,100.0,The easiest & fastest way to run customized and fine-tuned LLMs locally or on the edge.,25.0,25.0,11.0,22,True,2.0,,,,
27,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2025-09-01 19:22:50,2025-09-01 19:22:49,123.0,21.0,131.0,1285.0,,2025-08-30 09:18:29,0.26.0,,,32.0,PyO3-based Rust bindings of the NumPy C-API.,4516.0,4516.0,58.0,22,True,1.0,,,,
28,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,Apache-2.0,2013-08-26 05:16:44,2024-12-07 19:29:05,2024-12-07 19:29:05,156.0,58.0,125.0,1189.0,1587.0,,,,,,A linear algebra and mathematics library for computer graphics.,16293.0,16293.0,99.0,22,True,1.0,,,-1.0,
29,screenpipe,mediar-ai/screenpipe,apps,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2025-09-01 20:21:42,2025-09-01 20:21:42,1208.0,188.0,839.0,15724.0,,2025-03-28 17:12:29,0.2.74,17343.0,1156.0,100.0,"AI app store powered by 24/7 desktop history. open source | 100% local | dev friendly | 24/7 screen, mic recording.",,,82.0,21,True,2.0,,,,
30,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2025-09-30 05:03:20,2025-09-29 18:19:57,3481.0,95.0,3493.0,12686.0,,2025-07-17 02:12:22,0.21.0,6014.0,64.0,23.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,1079.0,21,True,1.0,,,,['binding']
31,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/datafusion,https://github.com/apache/datafusion,Apache-2.0,2021-04-17 15:40:23,2025-10-01 03:03:34,2025-10-01 03:03:23,1624.0,1405.0,5521.0,7812.0,,,,,,,Apache DataFusion SQL Query Engine.,3406.0,3406.0,941.0,21,True,2.0,apache/datafusion,,,
32,mistral.rs,EricLBuehler/mistral.rs,ml-frameworks,https://github.com/EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,MIT,2024-02-26 22:30:06,2025-09-29 10:15:08,2025-09-29 10:03:18,453.0,152.0,342.0,6125.0,3002.0,2025-06-10 23:28:29,0.6.0,2216.0,123.0,39.0,Blazingly fast LLM inference.,,,63.0,21,True,1.0,,,,
33,dora,dora-rs/dora,mlops,https://github.com/dora-rs/dora,https://github.com/dora-rs/dora,Apache-2.0,2022-02-17 21:33:07,2025-10-01 08:40:54,2025-10-01 08:40:54,222.0,74.0,154.0,2571.0,,2025-06-30 14:19:38,0.3.12,4798.0,137.0,63.0,DORA (Dataflow-Oriented Robotic Architecture) is middleware designed to streamline and simplify the creation of AI-..,44.0,44.0,57.0,21,True,1.0,,,,
34,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2024-09-27 15:51:09,2024-09-27 15:51:09,108.0,82.0,79.0,1448.0,350.0,2022-11-20 18:01:03,0.6.9,19388.0,346.0,35.0,The Declarative Data Generator.,112.0,112.0,32.0,21,False,2.0,shuttle-hq/synth,,,
35,ollama-rs,pepperoni21/ollama-rs,nlp,https://github.com/pepperoni21/ollama-rs,https://github.com/pepperoni21/ollama-rs,MIT,2023-11-02 16:16:33,2025-09-29 23:17:03,2025-09-17 15:16:49,135.0,5.0,68.0,915.0,574.0,2025-06-24 11:38:00,0.3.2,,,20.0,A simple and easy-to-use library for interacting with the Ollama API.,654.0,654.0,53.0,21,True,1.0,,,,
36,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,Apache-2.0,2018-04-20 18:38:06,2025-07-24 01:24:47,2025-07-24 01:23:41,32.0,12.0,29.0,650.0,1821.0,2025-07-24 03:35:27,0.40.0,,,25.0,Rust numeric library with high performance and friendly syntax.,251.0,251.0,25.0,21,True,1.0,,,,
37,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera/lindera,https://github.com/lindera/lindera,MIT,2020-01-22 14:27:57,2025-10-01 07:10:51,2025-09-30 13:56:39,49.0,17.0,88.0,534.0,,2025-09-29 14:46:06,1.3.0,4162.0,61.0,99.0,A multilingual morphological analysis library.,889.0,889.0,26.0,21,True,1.0,lindera/lindera,,,
38,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2025-09-19 05:48:58,2025-09-19 02:13:09,42.0,14.0,45.0,511.0,,2025-09-19 02:16:54,0.16.2,,,10.0,Rust library for regular expressions using fancy features like look-around and backreferences.,15092.0,15092.0,31.0,21,True,1.0,,,,
39,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,2022-12-07 09:43:02,2024-08-29 17:58:11,2024-08-29 17:58:11,6087.0,850.0,361.0,54152.0,,2023-08-03 13:51:20,1.1.0,6048808.0,177906.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,31.0,20,False,2.0,,,,
40,tabby,TabbyML/tabby,apps,https://github.com/TabbyML/tabby,https://github.com/TabbyML/tabby,,2023-03-16 09:18:01,2025-09-26 20:03:32,2025-09-25 20:03:54,1589.0,214.0,741.0,32166.0,,2025-09-25 16:26:54,0.31.2,45005.0,1800.0,100.0,Self-hosted AI coding assistant.,,,114.0,20,False,2.0,,True,,
41,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,MPL-2.0,2019-02-26 13:16:58,2025-01-06 21:19:17,2025-01-06 21:19:14,603.0,64.0,204.0,20984.0,730.0,2024-06-16 20:28:51,1.4.9,644.0,8.0,34.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",21.0,21.0,44.0,20,True,2.0,,,,
42,datafuse,datafuselabs/datafuse,data-loading,https://github.com/databendlabs/databend,https://github.com/databendlabs/databend,,2020-10-10 06:04:42,2025-10-01 07:21:24,2025-10-01 06:08:31,815.0,513.0,5379.0,8886.0,,2025-09-25 10:06:28,1.2.820-nightly,1643.0,273.0,100.0,- . Open-source Snowflake alternative. Proven at petabyte scale with enterprise performance. Built for multimodal..,6.0,6.0,246.0,20,False,3.0,databendlabs/databend,,,
43,lancedb,lancedb/lancedb,mlops,https://github.com/lancedb/lancedb,https://github.com/lancedb/lancedb,Apache-2.0,2023-02-28 01:15:17,2025-09-30 19:31:46,2025-09-30 19:31:44,600.0,433.0,645.0,7649.0,,2025-09-30 19:32:05,0.22.2-beta.1,4.0,0.0,100.0,"Developer-friendly, embedded retrieval engine for multimodal AI. Search More; Manage Less.",12.0,12.0,151.0,20,True,2.0,,,,
44,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2025-09-30 17:03:20,2025-09-26 10:52:05,175.0,9.0,48.0,7611.0,,2024-03-06 10:49:19,1.4.5,59575.0,827.0,15.0,A command-line tool and Rust library with Python bindings for generating regular expressions from user-provided test..,166.0,166.0,10.0,20,True,2.0,,,,
45,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,Apache-2.0,2019-02-16 21:08:44,2025-08-09 08:36:28,2025-08-09 08:36:28,389.0,179.0,436.0,5041.0,,,,2834.0,67.0,1.0,Rust bindings for the C++ api of PyTorch.,2723.0,2723.0,81.0,20,True,2.0,,,,['binding']
46,arroyo,ArroyoSystems/arroyo,data-loading,https://github.com/ArroyoSystems/arroyo,https://github.com/ArroyoSystems/arroyo,Apache-2.0,2023-03-31 17:41:56,2025-09-24 20:05:33,2025-09-24 20:05:33,304.0,81.0,123.0,4557.0,758.0,2025-06-23 22:52:11,0.14.1,2071.0,71.0,27.0,Distributed stream processing engine in Rust.,,,35.0,20,True,3.0,,,,
47,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,Unlicense,2015-09-05 00:25:46,2024-09-25 20:46:04,2024-09-25 20:46:03,121.0,26.0,63.0,1958.0,271.0,,,,,,Represent large sets and maps compactly with finite state transducers.,12205.0,12205.0,25.0,20,False,3.0,,,,
48,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2025-01-19 19:25:55,2025-01-19 19:25:55,161.0,78.0,177.0,883.0,772.0,,,,,,Image processing operations.,7014.0,7014.0,80.0,20,True,2.0,,,,
49,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2025-10-01 03:23:42,2025-09-30 21:52:23,302.0,120.0,796.0,852.0,,,,,,100.0,This repository is for the active development of the Azure SDK for Rust. For consumers of the SDK we recommend..,1278.0,1278.0,181.0,20,True,2.0,,,,['binding']
50,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/sparsemat/sprs,https://github.com/sparsemat/sprs,Apache-2.0,2015-05-17 19:01:01,2025-09-06 07:00:31,2025-09-06 07:00:29,45.0,46.0,111.0,537.0,1194.0,,,,,,sparse linear algebra library for rust.,1773.0,1773.0,37.0,20,True,2.0,sparsemat/sprs,,,
51,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/cramjam,https://github.com/milesgranger/cramjam,MIT,2020-03-08 07:46:33,2025-09-28 16:55:28,2025-09-28 16:55:28,9.0,8.0,68.0,119.0,168.0,2025-07-29 17:54:38,2.11.0.post1,2586.0,38.0,58.0,"Your go-to for easy access to a plethora of compression algorithms, all neatly bundled in one simple installation.",7904.0,7904.0,12.0,20,True,2.0,milesgranger/cramjam,,,
52,quickwit,quickwit-inc/quickwit,apps,https://github.com/quickwit-oss/quickwit,https://github.com/quickwit-oss/quickwit,Apache-2.0,2021-04-13 22:45:40,2025-09-30 09:44:55,2025-09-30 09:44:55,485.0,642.0,1776.0,10436.0,,2024-06-17 17:20:56,0.8.2,19044.0,373.0,25.0,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",,,99.0,19,True,2.0,quickwit-oss/quickwit,,,
53,bloop,BloopAI/bloop,apps,https://github.com/BloopAI/bloop,https://github.com/BloopAI/bloop,Apache-2.0,2022-12-10 14:04:30,2024-12-04 17:39:21,2024-12-04 17:39:21,591.0,43.0,101.0,9488.0,,2024-04-23 16:43:29,0.6.5,55893.0,1643.0,48.0,bloop is a fast code search engine written in Rust.,,,30.0,19,True,2.0,,,,
54,evcxr,google/evcxr,ml-frameworks,https://github.com/evcxr/evcxr,https://github.com/evcxr/evcxr,,2018-09-25 10:19:22,2025-09-01 06:29:40,2025-09-01 06:29:40,231.0,116.0,160.0,6196.0,,2025-07-23 00:01:07,0.21.1,8809.0,238.0,11.0,,173.0,173.0,52.0,19,False,2.0,evcxr/evcxr,,,
55,llama-rs,rustformers/llama-rs,nlp,https://github.com/rustformers/llm,https://github.com/rustformers/llm,Apache-2.0,2023-03-13 16:59:26,2024-06-24 16:29:01,2024-06-24 16:28:50,361.0,81.0,150.0,6137.0,,2023-05-08 19:23:10,0.1.1,1375.0,47.0,1.0,"[Unmaintained, see README] An ecosystem of Rust libraries for working with large language models.",326.0,326.0,53.0,19,False,2.0,rustformers/llm,,,
56,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2025-10-01 07:53:25,2025-09-30 07:41:49,227.0,53.0,212.0,2604.0,,2025-08-26 15:14:54,0.22.0,27358.0,441.0,93.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",42.0,42.0,78.0,19,False,2.0,,,,
57,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,Apache-2.0,2018-07-22 10:09:33,2025-09-28 13:55:05,2025-09-28 13:53:10,100.0,45.0,108.0,1164.0,,2025-09-28 14:02:07,argmin-v0.11.0,,,38.0,Numerical optimization in pure Rust.,795.0,795.0,46.0,19,True,2.0,,,,
58,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2025-09-28 15:04:15,2025-09-28 15:04:12,84.0,53.0,77.0,827.0,,2025-09-28 14:21:23,0.4.3,,,6.0,A comprehensive library for machine learning and numerical computing. Apply Machine Learning with Rust leveraging..,335.0,335.0,30.0,19,True,2.0,,,,
59,swiftide,bosun-ai/swiftide,mlops,https://github.com/bosun-ai/swiftide,https://github.com/bosun-ai/swiftide,MIT,2024-06-09 20:07:06,2025-10-01 07:41:08,2025-10-01 07:23:22,44.0,13.0,59.0,580.0,800.0,2025-09-24 06:54:21,0.31.2,,,91.0,"Fast, streaming indexing, query, and agentic LLM applications in Rust.",37.0,37.0,21.0,19,True,2.0,,True,,
60,Raphtory,Pometry/Raphtory,graph,https://github.com/Pometry/Raphtory,https://github.com/Pometry/Raphtory,GPL-3.0,2017-05-30 13:15:18,2025-10-01 09:23:02,2025-10-01 08:54:44,65.0,188.0,505.0,526.0,1701.0,2025-09-30 14:18:40,0.16.2,450.0,7.0,50.0,"Scalable graph analytics database powered by a multithreaded, vectorized temporal engine, written in Rust.",24.0,24.0,36.0,19,True,2.0,,,,
61,TensorZero,tensorzero/tensorzero,mlops,https://github.com/tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,Apache-2.0,2024-07-16 21:00:53,2025-10-01 02:51:09,2025-10-01 02:14:00,701.0,309.0,895.0,10361.0,,2025-09-29 13:44:31,2025.9.6,,,78.0,"TensorZero is an open-source stack for industrial-grade LLM applications. It unifies an LLM gateway, observability,..",,,94.0,18,True,3.0,,,5.0,
62,Rust-CUDA,RDambrosio016/Rust-CUDA,other,https://github.com/Rust-GPU/rust-cuda,https://github.com/Rust-GPU/rust-cuda,Apache-2.0,2021-10-17 23:37:05,2025-10-01 07:53:45,2025-10-01 07:53:45,199.0,57.0,73.0,4734.0,,2022-02-07 20:44:13,0.3,,,2.0,Ecosystem of libraries and tools for writing and executing fast GPU code fully in Rust.,111.0,111.0,34.0,18,True,1.0,Rust-GPU/rust-cuda,,,
63,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,Apache-2.0,2020-10-28 03:19:33,2025-09-30 20:42:52,2025-09-17 08:00:36,420.0,418.0,1297.0,3483.0,,2025-01-27 09:56:20,0.31.0,317.0,5.0,35.0,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba |.,10.0,10.0,72.0,18,True,2.0,,,,
64,shimmy,Michael-A-Kuykendall/shimmy,ml-frameworks,https://github.com/Michael-A-Kuykendall/shimmy,https://github.com/Michael-A-Kuykendall/shimmy,MIT,2025-08-28 22:55:46,2025-09-24 02:59:52,2025-09-24 02:59:46,179.0,6.0,53.0,2689.0,,2025-09-24 01:27:49,1.5.6,3459.0,3459.0,19.0,"Python-free Rust inference server OpenAI-API compatible. GGUF + SafeTensors, hot model swap, auto-discovery, single..",6.0,6.0,2.0,18,True,2.0,,True,,
65,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2025-09-22 16:06:48,2025-07-08 19:23:39,46.0,15.0,52.0,998.0,,2025-05-27 20:49:38,1.7.2,,,20.0,"The most accurate natural language detection library for Rust, suitable for short text and mixed-language text.",246.0,246.0,7.0,18,True,2.0,,,,
66,text-splitter,benbrandt/text-splitter,nlp,https://github.com/benbrandt/text-splitter,https://github.com/benbrandt/text-splitter,MIT,2023-04-07 11:54:39,2025-09-30 11:23:14,2025-09-30 11:23:13,27.0,7.0,25.0,481.0,,2025-09-05 05:30:39,0.28.0,,,69.0,"Split text into semantic chunks, up to a desired chunk size. Supports calculating length by characters and tokens, and..",439.0,439.0,7.0,18,True,2.0,,,,
67,kwaak,bosun-ai/kwaak,apps,https://github.com/bosun-ai/kwaak,https://github.com/bosun-ai/kwaak,MIT,2024-09-14 13:52:01,2025-09-26 21:19:04,2025-09-23 12:12:53,33.0,30.0,46.0,305.0,524.0,2025-08-16 18:52:17,0.19.0,2661.0,266.0,35.0,Burn through tech debt with AI agents!.,2.0,2.0,10.0,18,True,3.0,,True,,
