,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,new_addition,trending,labels
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2025-10-01 08:31:41,2025-09-30 09:28:29,1819.0,355.0,1243.0,26381.0,4818.0,2025-09-30 12:23:50,1.15.5,491210.0,9446.0,100.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",117.0,117.0,145.0,29,True,1.0,,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2025-10-01 05:11:58,2025-09-30 19:44:07,1833.0,1983.0,6175.0,20402.0,12972.0,2025-09-23 15:22:47,0.50.0,4093879.0,54585.0,96.0,A high-performance observability data pipeline.,,,576.0,28,True,1.0,vectordotdev/vector,,,
2,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,MIT,2022-12-01 23:22:11,2025-09-30 06:53:50,2025-09-30 06:53:48,1135.0,44.0,240.0,16069.0,,2025-08-08 23:45:27,0.11.0,,,12.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,171337.0,171337.0,21.0,27,True,1.0,,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2025-09-30 13:16:10,2025-09-30 13:13:30,404.0,151.0,220.0,3535.0,1416.0,2025-09-30 13:16:11,petgraph@v0.8.3,,,4.0,Graph data structure library for Rust.,144336.0,144336.0,140.0,27,True,1.0,,,,
4,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,,2020-05-13 19:45:33,2025-10-01 09:19:36,2025-10-01 09:15:46,2393.0,2565.0,8969.0,35507.0,,2025-09-16 08:51:29,rs-0.51.0,9888.0,520.0,100.0,"Extremely fast Query Engine for DataFrames, written in Rust.",27455.0,27455.0,618.0,26,False,1.0,pola-rs/polars,,,
5,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2025-09-19 09:46:10,2025-09-19 09:46:04,948.0,85.0,1011.0,10113.0,,2025-09-19 09:52:24,0.22.1,86.0,1.0,99.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,183502.0,183502.0,124.0,25,True,1.0,,,,
6,rerun,rerun-io/rerun,image,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2025-10-01 09:15:35,2025-10-01 08:22:19,532.0,1320.0,2866.0,9339.0,,2025-09-19 14:18:35,0.25.1,171354.0,5354.0,52.0,"Visualize streams of multimodal data. Free, fast, easy to use, and simple to integrate. Built in Rust.",224.0,224.0,122.0,25,True,1.0,,,,
7,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2025-09-25 21:46:09,2025-09-25 21:44:17,184.0,9.0,351.0,3984.0,1397.0,2025-09-25 21:46:53,3.1.0,,,59.0,An embedded key-value database in pure Rust.,1297.0,1297.0,33.0,25,True,1.0,,,,
8,goose,block/goose,apps,https://github.com/block/goose,https://github.com/block/goose,Apache-2.0,2024-08-23 19:03:36,2025-10-01 08:34:36,2025-10-01 02:51:44,1733.0,348.0,799.0,20025.0,,2025-09-30 19:44:22,1.9.1,133049.0,10234.0,77.0,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM.",,,264.0,24,True,1.0,,True,,
9,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2025-10-01 06:47:22,2025-10-01 06:47:22,3726.0,4241.0,22634.0,16011.0,,2025-07-17 06:41:41,apache-arrow-21.0.0,35702.0,2380.0,25.0,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory..,8.0,8.0,1428.0,24,True,2.0,,,,
10,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2025-09-25 11:59:50,2025-09-24 08:58:46,770.0,310.0,762.0,13801.0,,2025-08-20 11:01:45,0.25.0,,,48.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,2350.0,2350.0,171.0,24,True,1.0,quickwit-oss/tantivy,,,
11,burn,burn-rs/burn,ml-frameworks,https://github.com/tracel-ai/burn,https://github.com/tracel-ai/burn,Apache-2.0,2022-07-18 23:11:45,2025-09-30 20:04:11,2025-09-30 20:04:10,707.0,255.0,753.0,13001.0,,2025-07-18 16:27:50,0.18.0,,,22.0,"Burn is a next generation Deep Learning Framework that doesn't compromise on flexibility, efficiency and portability.",954.0,954.0,216.0,24,True,1.0,tracel-ai/burn,,,
12,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,Apache-2.0,2014-10-02 15:38:05,2025-08-26 18:27:53,2025-08-26 18:24:37,526.0,189.0,410.0,12227.0,,,,,,,Rayon: A data parallelism library for Rust.,285432.0,285432.0,156.0,24,True,2.0,,,,
