,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2024-02-01 04:36:50,2024-02-01 01:45:21,1268.0,1630.0,5568.0,15418.0,11000.0,2024-01-08 15:54:23,0.35.0,1170834.0,21287.0,72.0,A high-performance observability data pipeline.,1046.0,1046.0,382.0,33,True,1.0,,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2024-01-27 17:44:58,2024-01-27 17:39:30,438.0,158.0,371.0,9790.0,2080.0,,,,,,Rayon: A data parallelism library for Rust.,204859.0,204859.0,142.0,26,True,1.0,,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2024-01-27 19:53:54,2024-01-12 07:24:13,434.0,292.0,381.0,3603.0,2635.0,,,,,,Linear algebra library for Rust.,37772.0,37772.0,210.0,25,True,1.0,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2024-01-15 04:12:27,2023-12-31 11:12:15,293.0,133.0,148.0,2494.0,1274.0,,,,,,Graph data structure library for Rust.,101440.0,101440.0,103.0,25,True,1.0,,,
4,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,,MIT,2022-12-01 23:22:11,2024-01-31 23:42:08,2024-01-30 00:55:58,498.0,22.0,158.0,8324.0,,2023-12-26 03:39:03,0.5.2,,,7.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,50495.0,50495.0,13.0,24,True,1.0,,,
5,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2024-01-23 14:10:25,2024-01-22 16:54:37,658.0,202.0,674.0,8084.0,,2024-01-22 16:49:29,0.15.1,33.0,0.0,83.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,58535.0,58535.0,85.0,24,True,1.0,4.0,,
6,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2024-02-01 08:39:09,2024-02-01 08:36:34,566.0,260.0,1957.0,2026.0,5497.0,,,,,,Official Rust implementation of Apache Arrow.,6202.0,6202.0,482.0,24,True,1.0,,,
7,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2024-02-01 08:07:37,2024-01-25 18:01:08,1530.0,127.0,1590.0,41542.0,,2024-01-31 15:45:04,1.6.1,198376.0,7935.0,100.0,"A lightning-fast search API that fits effortlessly into your apps, websites, and workflow.",,,176.0,23,True,1.0,,,
8,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2024-02-01 08:43:58,2024-01-29 15:33:27,939.0,154.0,759.0,15916.0,2178.0,2024-01-29 17:23:33,1.7.4,10458.0,307.0,62.0,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud..",,,80.0,23,True,1.0,2.0,,
9,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2024-02-01 08:56:38,2024-01-31 21:51:58,808.0,837.0,2891.0,4544.0,6083.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,2278.0,2278.0,528.0,23,True,2.0,,,
10,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2023-12-11 09:58:15,2022-04-25 02:35:58,421.0,221.0,688.0,2700.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,306.0,306.0,189.0,23,False,1.0,,,
11,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2024-02-01 04:04:51,2023-10-10 13:45:23,200.0,55.0,163.0,1564.0,457.0,,,,,,"A CSV parser for Rust, with Serde support.",75891.0,75891.0,53.0,23,True,2.0,,,
12,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2023-12-29 15:36:13,2023-12-29 15:36:07,88.0,2.0,56.0,675.0,225.0,,,,,,Optimized string search routines for Rust.,521195.0,521195.0,42.0,23,True,1.0,,,
13,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,AGPL-3.0,2022-12-07 09:43:02,2024-01-29 10:34:14,2024-01-29 10:34:14,5097.0,565.0,322.0,45247.0,,2023-08-03 13:51:20,1.1.0,4414508.0,315322.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,30.0,22,True,2.0,,,
14,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2023-12-19 01:27:35,2023-12-14 18:12:45,537.0,59.0,202.0,19134.0,718.0,2023-12-14 18:20:01,1.4.8,193.0,3.0,33.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",21.0,21.0,41.0,22,True,2.0,3.0,,
15,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2024-01-31 09:30:22,2024-01-31 09:30:21,538.0,252.0,682.0,9346.0,,2023-09-01 12:01:59,0.21,,,45.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1356.0,1356.0,140.0,22,True,2.0,,,
16,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,Apache-2.0,2018-04-05 07:03:30,2024-01-31 22:57:03,2024-01-31 22:55:33,207.0,41.0,93.0,3206.0,321.0,2022-06-15 05:07:41,0.6.0,,,8.0,A Rust machine learning framework.,382.0,382.0,42.0,22,True,1.0,,,
17,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,Unlicense,2015-06-11 23:02:10,2023-11-14 19:52:58,2023-10-20 16:26:35,85.0,2.0,61.0,910.0,287.0,,,,,,A fast implementation of Aho-Corasick in Rust.,408869.0,408869.0,30.0,22,True,1.0,,,
