,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,new_addition,trending,labels
14,lance,eto-ai/lance,data-loading,https://github.com/lance-format/lance,https://github.com/lance-format/lance,Apache-2.0,2022-07-07 22:29:29,2026-01-01 06:32:39,2025-12-31 17:35:40,506.0,859.0,1043.0,5885.0,,2025-12-30 19:31:16,1.0.1,14.0,1.0,100.0,"Open Lakehouse Format for Multimodal AI. Convert from Parquet in 2 lines of code for 100x faster random access, vector..",6052.0,6052.0,156.0,23,True,2.0,lance-format/lance,,,
15,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,Apache-2.0,2018-04-05 07:03:30,2025-12-23 14:19:12,2025-12-23 13:51:06,302.0,52.0,125.0,4486.0,365.0,2025-12-23 14:19:12,0.8.1,,,12.0,A Rust machine learning framework.,841.0,841.0,58.0,23,True,1.0,,,,
16,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,Unlicense,2014-03-22 06:58:51,2025-10-17 13:56:11,2025-10-17 13:56:04,235.0,61.0,185.0,1892.0,474.0,,,,,,"A CSV parser for Rust, with Serde support.",96882.0,96882.0,58.0,23,True,2.0,,,,
17,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,Unlicense,2015-06-11 23:01:31,2025-09-25 23:21:08,2025-09-25 23:20:59,125.0,12.0,66.0,1301.0,262.0,,,,,,Optimized string search routines for Rust.,783319.0,783319.0,46.0,23,True,1.0,,,,
18,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,Unlicense,2015-06-11 23:02:10,2025-10-28 21:24:56,2025-10-28 21:24:44,103.0,4.0,74.0,1173.0,296.0,,,,,,A fast implementation of Aho-Corasick in Rust.,600909.0,600909.0,33.0,23,True,1.0,,,,
19,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2025-11-17 03:07:54,2025-11-17 00:29:44,103.0,49.0,121.0,765.0,917.0,2024-06-08 05:11:13,0.17.1,,,3.0,Statistical computation library for Rust.,18566.0,18566.0,56.0,23,True,1.0,statrs-dev/statrs,,,
20,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,2018-04-23 11:45:28,2025-12-31 17:38:38,2025-12-30 13:11:09,2290.0,228.0,2145.0,55182.0,,2025-12-22 16:21:02,1.31.0,260090.0,12385.0,100.0,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,,,238.0,22,False,2.0,,,-2.0,
21,candle,huggingface/candle,ml-frameworks,https://github.com/huggingface/candle,https://github.com/huggingface/candle,Apache-2.0,2023-06-19 16:06:31,2025-12-31 20:21:37,2025-12-31 20:21:36,1318.0,418.0,516.0,18948.0,,,,,,,Minimalist ML framework for Rust.,2619.0,2619.0,238.0,22,True,1.0,,,,
22,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/datafusion,https://github.com/apache/datafusion,Apache-2.0,2021-04-17 15:40:23,2025-12-31 09:24:52,2025-12-31 09:24:34,1815.0,1488.0,5987.0,8217.0,,,,,,,Apache DataFusion SQL Query Engine.,3561.0,3561.0,1025.0,22,True,2.0,apache/datafusion,,,
23,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2025-12-23 14:10:12,2025-12-23 14:10:12,524.0,355.0,424.0,4581.0,,,,,,,Linear algebra library for Rust.,49181.0,49181.0,235.0,22,True,1.0,,,,
24,delta-rs,delta-io/delta-rs,data-loading,https://github.com/delta-io/delta-rs,https://github.com/delta-io/delta-rs,Apache-2.0,2020-04-26 03:48:06,2026-01-01 03:40:16,2026-01-01 03:40:16,547.0,167.0,1291.0,3081.0,,2025-12-31 18:58:26,rust-v0.30.0,,,99.0,"A native Rust library for Delta Lake, with bindings into Python.",1822.0,1822.0,250.0,22,True,2.0,,,,
25,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2023-12-11 09:58:15,2022-04-25 02:35:58,419.0,224.0,689.0,2732.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,316.0,316.0,189.0,22,False,1.0,,,,
26,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2025-12-31 14:11:10,2025-12-18 21:39:04,171.0,38.0,543.0,2340.0,1671.0,,,,,,Rust bindings for OpenCV.,2146.0,2146.0,55.0,22,True,1.0,,,5.0,['binding']
27,LlamaEdge,LlamaEdge/LlamaEdge,apps,https://github.com/LlamaEdge/LlamaEdge,https://github.com/LlamaEdge/LlamaEdge,Apache-2.0,2023-10-09 03:30:44,2025-12-23 12:07:49,2025-11-28 02:51:51,133.0,,121.0,1566.0,,2025-11-28 03:16:57,0.28.1,2048645.0,89071.0,100.0,The easiest & fastest way to run customized and fine-tuned LLMs locally or on the edge.,25.0,25.0,11.0,22,True,2.0,,,,
28,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2025-12-13 21:36:22,2025-12-13 21:36:22,125.0,19.0,133.0,1326.0,,2025-12-02 18:37:06,0.27.1,,,34.0,PyO3-based Rust bindings of the NumPy C-API.,4737.0,4737.0,60.0,22,True,1.0,,,,
29,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,Apache-2.0,2013-08-26 05:16:44,2024-12-07 19:29:05,2024-12-07 19:29:05,155.0,60.0,125.0,1195.0,1587.0,,,,,,A linear algebra and mathematics library for computer graphics.,16363.0,16363.0,99.0,22,False,1.0,,,,
30,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,MPL-2.0,2019-02-26 13:16:58,2025-12-26 17:11:51,2025-12-26 17:11:49,606.0,64.0,204.0,21084.0,731.0,2024-06-16 20:28:51,1.4.9,697.0,8.0,34.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",21.0,21.0,44.0,21,True,2.0,,,,
31,screenpipe,mediar-ai/screenpipe,apps,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2025-12-09 18:40:24,2025-12-09 18:40:24,1294.0,208.0,845.0,16318.0,,2025-03-28 17:12:29,0.2.74,20050.0,1113.0,100.0,"AI app store powered by 24/7 desktop history. open source | 100% local | dev friendly | 24/7 screen, mic recording.",,,85.0,21,True,2.0,,,,
32,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2026-01-01 05:08:32,2025-12-31 20:49:16,3560.0,124.0,3546.0,12982.0,,2025-10-24 16:01:10,0.22.0,6281.0,65.0,24.0,Open Machine Learning Compiler Framework.,,,1094.0,21,True,1.0,,,,['binding']
33,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2025-12-24 17:03:09,2025-11-21 15:02:46,183.0,10.0,49.0,7957.0,,2025-11-14 12:22:19,1.4.6,64371.0,858.0,16.0,A command-line tool and Rust library with Python bindings for generating regular expressions from user-provided test..,167.0,167.0,10.0,21,True,1.0,,,,
34,dora,dora-rs/dora,mlops,https://github.com/dora-rs/dora,https://github.com/dora-rs/dora,Apache-2.0,2022-02-17 21:33:07,2025-12-30 10:26:39,2025-12-27 15:14:12,257.0,101.0,177.0,2803.0,,2025-10-01 15:40:32,0.3.13,5642.0,148.0,64.0,DORA (Dataflow-Oriented Robotic Architecture) is middleware designed to streamline and simplify the creation of AI-..,49.0,49.0,64.0,21,True,1.0,,,,
35,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2024-09-27 15:51:09,2024-09-27 15:51:09,108.0,82.0,79.0,1472.0,350.0,2022-11-20 18:01:03,0.6.9,21140.0,358.0,35.0,The Declarative Data Generator.,112.0,112.0,32.0,21,False,3.0,shuttle-hq/synth,,,
36,ollama-rs,pepperoni21/ollama-rs,nlp,https://github.com/pepperoni21/ollama-rs,https://github.com/pepperoni21/ollama-rs,MIT,2023-11-02 16:16:33,2025-12-29 20:13:53,2025-12-26 08:45:44,143.0,8.0,72.0,957.0,626.0,2025-11-18 07:35:08,0.3.3,,,21.0,A simple and easy-to-use library for interacting with the Ollama API.,693.0,693.0,56.0,21,True,1.0,,,,
37,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2025-12-31 16:04:26,2025-12-30 18:00:07,43.0,13.0,50.0,558.0,,2025-12-13 03:52:55,0.17.0,,,11.0,Rust library for regular expressions using fancy features like look-around and backreferences.,16151.0,16151.0,31.0,21,True,1.0,,,,
