,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,open_issue_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id,new_addition
0,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2021-07-19 09:49:20,2021-07-19 09:38:30,1871.0,620.0,8157.0,9574.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,47.0,47.0,696.0,24,True,1,1.0,,,,,,,,,
1,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-07-19 11:59:05,2021-07-16 20:33:17,554.0,2517.0,7640.0,4906.0,"A high-performance, highly reliable, observability data pipeline.",,,158.0,24,True,1,,1385.0,2021-07-16 17:50:27,0.15.0,51550.0,2147.0,23.0,,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-07-19 11:17:31,2021-05-24 21:31:01,365.0,351.0,4689.0,1463.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,35.0,35.0,40.0,21,True,1,,121.0,2021-05-24 21:31:46,python-v0.10.3,,,41.0,,,
3,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2021-07-12 18:29:43,2021-07-12 18:29:42,369.0,675.0,2381.0,3166.0,AWS SDK for Rust.,,,182.0,19,True,1,-1.0,197.0,2021-01-06 07:40:18,rusoto-v0.46.0,,,40.0,,,
4,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-07-19 11:55:05,2021-07-19 11:55:04,1956.0,1720.0,6932.0,,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,590.0,18,True,1,,159.0,2020-10-02 18:30:42,0.7.0,644.0,14.0,9.0,['binding'],,
5,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2021-07-08 11:19:02,2021-05-31 18:49:35,89.0,28.0,4132.0,,A command-line tool and library for generating regular expressions from user-provided test cases.,,,4.0,17,True,1,,4.0,2021-03-28 22:11:03,1.2.0,4399.0,209.0,8.0,,,
6,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2021-07-18 02:50:12,2021-07-11 15:52:45,269.0,294.0,2211.0,2014.0,Linear algebra library for Rust.,,,142.0,17,True,1,,178.0,,,,,,,,
7,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,MIT,2020-05-13 19:45:33,2021-07-19 11:31:09,2021-07-19 11:26:06,111.0,366.0,2024.0,1877.0,Fast multi-threaded DataFrame library in Rust and Python.,3.0,3.0,34.0,17,True,2,,45.0,,,,,,,pola-rs/polars,
8,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/datafuse,https://github.com/datafuselabs/datafuse,Apache-2.0,2020-10-10 06:04:42,2021-07-19 10:36:05,2021-07-19 10:35:01,93.0,262.0,874.0,2569.0,"A Modern Real-Time Data Processing & Analytics DBMS with Cloud-Native Architecture, written in Rust.",,,33.0,17,True,2,,139.0,,,245.0,40.0,58.0,,,
9,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2021-07-13 15:58:06,2021-07-13 15:58:05,34.0,75.0,260.0,584.0,Statistical computation library for Rust.,,,21.0,17,True,1,1.0,19.0,2021-06-30 22:40:18,0.15.0,,,2.0,,statrs-dev/statrs,
10,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-07-18 14:38:53,2021-07-15 05:03:53,262.0,103.0,3169.0,648.0,Rust language bindings for TensorFlow.,,,41.0,16,True,1,,34.0,,,,,,['binding'],,
11,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,234.0,95.0,2619.0,615.0,High-performance runtime for data analytics applications.,2.0,2.0,36.0,16,False,1,,68.0,,,,,3.0,,,
12,synth,openquery-io/synth,data-loading,https://github.com/getsynth/synth,https://github.com/getsynth/synth,Apache-2.0,2020-08-09 08:51:34,2021-07-19 11:28:36,2021-07-19 11:28:36,30.0,12.0,455.0,133.0,The Declarative Data Generator.,,,11.0,16,True,2,1.0,14.0,2021-07-15 18:20:43,0.5.3,735.0,147.0,20.0,,getsynth/synth,
13,granne,granne/granne,ml-frameworks,https://github.com/granne/granne,https://github.com/granne/granne,MIT,2019-12-06 09:12:47,2021-06-06 12:58:39,2021-05-19 16:09:39,23.0,8.0,251.0,203.0,Graph-based Approximate Nearest Neighbor Search.,,,6.0,16,True,1,,5.0,2021-06-06 12:58:39,0.5.2,,,3.0,,,
14,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,2014-10-02 15:38:05,2021-06-16 21:44:35,2021-05-21 17:14:09,285.0,271.0,5301.0,1767.0,Rayon: A data parallelism library for Rust.,,,116.0,15,False,2,,122.0,,,,,,,,
15,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,Apache-2.0,2019-07-04 17:09:41,2021-04-20 00:28:06,2021-04-20 00:28:05,140.0,251.0,2250.0,,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",,,37.0,15,True,1,-1.0,,2021-02-23 02:39:20,0.4.1,,,17.0,,,
16,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,2014-12-22 08:15:12,2021-07-07 18:49:52,2021-07-07 18:49:52,186.0,121.0,1379.0,1243.0,Graph data structure library for Rust.,,,83.0,15,False,1,,83.0,,,,,,,,
17,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2021-07-17 09:45:57,2021-07-16 13:38:43,102.0,52.0,1027.0,,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",,,25.0,15,False,1,,22.0,2021-07-09 08:24:17,0.15.2,2826.0,256.0,22.0,,,
18,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,Apache-2.0,2013-08-26 05:16:44,2021-07-06 05:43:28,2021-07-06 05:43:28,137.0,116.0,819.0,1572.0,A linear algebra and mathematics library for computer graphics.,,,95.0,15,True,1,,52.0,,,,,,,,
19,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,Apache-2.0,2021-04-17 15:40:23,2021-07-19 12:13:22,2021-07-19 12:13:22,97.0,199.0,686.0,3089.0,Apache Arrow DataFusion and Ballista query engines.,,,233.0,15,True,2,,235.0,,,,,,,,
20,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2021-07-13 07:42:10,2021-07-13 07:42:10,31.0,38.0,604.0,489.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,,,15.0,15,True,1,,3.0,2019-03-03 16:17:34,0.7.0,,,3.0,,,
21,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2021-07-15 01:10:11,2021-07-15 01:07:04,64.0,54.0,482.0,,PyO3-based Rust binding of NumPy C-API.,,,30.0,15,True,1,,12.0,2021-07-15 01:10:11,0.14.1,,,14.0,,,
22,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-07-19 08:08:48,2021-07-19 08:08:47,18.0,27.0,141.0,2530.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,,,28.0,15,True,1,-1.0,3.0,2021-01-18 12:57:57,0.11.0,,,11.0,,,
23,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,2019-08-26 08:06:48,2021-05-07 07:17:02,2021-05-07 07:17:01,44.0,35.0,1417.0,,Example-based texture synthesis written in Rust.,,,18.0,14,False,2,,9.0,2021-03-26 11:26:35,0.8.2,2139.0,93.0,14.0,,,
24,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,2018-04-05 07:03:30,2021-07-18 10:43:40,2021-07-14 08:53:22,76.0,31.0,1061.0,220.0,A Rust machine learning framework.,,,17.0,14,False,2,,21.0,2021-04-28 20:49:00,0.4.0,,,5.0,,,
25,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,Apache-2.0,2020-10-28 03:19:33,2021-07-19 11:53:12,2021-07-19 03:37:04,91.0,142.0,847.0,,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba.,,,16.0,14,True,2,,71.0,2021-06-11 07:26:46,0.5.0,,,7.0,,,
26,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2021-07-09 07:30:29,2021-07-09 06:12:10,68.0,188.0,691.0,905.0,Rust bindings for OpenCV 3 & 4.,,,29.0,14,True,2,,12.0,,,,,,['binding'],,
27,rain,substantic/rain,ml-frameworks,https://github.com/substantic/rain,https://github.com/substantic/rain,MIT,2018-02-13 17:04:46,2018-12-16 16:29:51,2018-12-16 16:29:10,45.0,21.0,654.0,738.0,Framework for large distributed pipelines.,,,10.0,14,False,2,,11.0,2018-09-05 14:54:26,0.4.0,798.0,19.0,10.0,,,
28,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2021-06-07 09:09:59,2020-06-21 02:01:58,44.0,4.0,491.0,76.0,Machine learning crate for Rust.,,,9.0,14,False,2,,9.0,2018-07-29 21:02:49,0.5.0,,,4.0,,,
29,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2021-06-20 03:15:39,2021-04-16 03:52:55,82.0,91.0,371.0,656.0,Image processing operations.,,,50.0,14,True,2,,54.0,,,,,,,,
30,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,2020-07-19 16:24:54,2021-06-07 06:26:50,2021-06-07 06:26:50,28.0,27.0,347.0,,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",,,7.0,14,False,1,,14.0,2021-04-24 09:12:56,0.6.4,2482.0,354.0,27.0,,,
31,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,2020-11-05 17:16:06,2021-07-08 11:43:27,2021-07-08 11:43:27,25.0,7.0,333.0,49.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",,,9.0,14,False,2,,6.0,2021-05-14 12:58:11,1.1.1,467.0,58.0,4.0,,,
32,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,56.0,15.0,316.0,1583.0,Snips NLU rust implementation.,,,21.0,14,False,1,,4.0,2020-01-28 16:20:20,0.65.6,,,33.0,,,
33,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs,https://github.com/sreeise/graph-rs,MIT,2018-12-18 13:17:11,2021-07-07 06:20:18,2021-06-12 20:27:55,5.0,161.0,21.0,544.0,Graph API client writen in Rust.,,,3.0,14,False,2,,31.0,2021-06-12 20:31:49,0.1.0,,,3.0,,,
34,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,143.0,67.0,1175.0,532.0,Machine Learning library for Rust.,,,20.0,13,False,2,,33.0,,,,,,,,
35,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,2015-09-05 00:25:46,2021-06-06 11:01:26,2021-06-06 11:00:42,70.0,51.0,1158.0,258.0,Represent large sets and maps compactly with finite state transducers.,,,25.0,13,False,3,,9.0,,,,,,,,
36,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,2019-02-16 21:08:44,2021-07-15 14:06:21,2021-07-15 14:06:21,102.0,203.0,1133.0,575.0,Rust bindings for the C++ api of PyTorch.,,,37.0,13,False,2,,38.0,,,,,,['binding'],,
37,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,2017-01-14 21:27:49,2021-06-29 10:56:47,2021-04-27 09:54:48,60.0,47.0,788.0,1386.0,The Hacker's Machine Learning Engine.,,,42.0,13,False,2,,22.0,,,,,,,,
38,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2021-07-15 15:39:36,2021-07-15 15:39:36,44.0,43.0,646.0,821.0,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",,,11.0,13,True,1,,11.0,,,,,,,,
39,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2021-07-05 21:22:36,2021-07-05 21:22:33,7.0,8.0,294.0,,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",,,3.0,13,True,1,,6.0,2021-06-02 21:24:47,1.2.2,,,8.0,,,
40,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2021-06-25 12:28:57,2021-06-25 12:28:50,22.0,16.0,278.0,174.0,Face detection library for the Rust programming language.,,,7.0,13,False,3,,5.0,2020-11-02 08:22:28,0.1.6,,,3.0,,,
41,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/nnsplit,https://github.com/bminixhofer/nnsplit,MIT,2020-01-31 10:34:17,2021-06-06 03:58:50,2021-04-15 12:06:36,11.0,13.0,185.0,,"Semantic text segmentation. For sentence boundary detection, compound splitting and more.",2.0,2.0,4.0,13,True,1,,11.0,2021-03-16 17:04:05,0.5.7,,,12.0,,,
42,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,MIT,2019-03-14 12:52:32,2021-03-14 20:25:32,2020-07-01 09:05:33,11.0,21.0,151.0,167.0,Simple but powerful graph library for Rust.,,,11.0,13,True,3,,5.0,2020-04-14 14:23:06,0.6.2,,,18.0,,,
43,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2021-07-16 18:54:25,2021-07-06 22:51:14,58.0,85.0,132.0,984.0,This repository is for active development of the *unofficial* Azure SDK for Rust. This repository is *not* supported..,,,58.0,13,True,2,,60.0,,,,,,['binding'],,
44,tokenizations,explosion/tokenizations,nlp,https://github.com/explosion/tokenizations,https://github.com/explosion/tokenizations,MIT,2019-12-30 10:02:22,2021-06-08 12:44:40,2021-05-17 14:25:07,7.0,9.0,90.0,265.0,Robust and Fast tokenizations alignment library for Rust and Python https://tamuhey.github.io/tokenizations/.,,,3.0,13,False,1,,,2021-02-01 15:28:20,python/0.8.1,,,2.0,,,
45,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,263.0,24.0,5476.0,164.0,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,,,15.0,12,False,2,,26.0,,,,,,,,
46,evcxr,google/evcxr,ml-frameworks,https://github.com/google/evcxr,https://github.com/google/evcxr,Apache-2.0,2018-09-25 10:19:22,2021-06-06 04:51:04,2021-06-06 04:50:22,117.0,76.0,2606.0,,,,,27.0,12,False,2,,50.0,,,,,,,,
47,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,2014-03-22 06:58:51,2021-06-16 09:31:17,2021-04-15 15:46:24,129.0,122.0,975.0,431.0,"A CSV parser for Rust, with Serde support.",,,48.0,12,False,3,,28.0,,,,,,,,
48,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,2019-02-27 03:27:23,2021-07-19 08:41:36,2021-07-19 06:18:31,32.0,28.0,500.0,,High-performance automatic differentiation of LLVM.,,,12.0,12,False,2,,15.0,2021-07-09 10:37:11,0.0.15,,,9.0,,,
49,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,2015-06-11 23:02:10,2021-07-03 11:52:44,2021-07-03 11:52:44,55.0,39.0,466.0,182.0,A fast implementation of Aho-Corasick in Rust.,,,25.0,12,False,2,,4.0,,,,,,,,
50,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2021-04-16 11:40:12,2021-04-16 11:40:12,21.0,22.0,307.0,345.0,Tensors and differentiable operations (like TensorFlow) in Rust.,,,11.0,12,True,2,-1.0,4.0,,,,,,,,
51,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,2015-06-11 23:01:31,2021-07-13 18:31:31,2021-07-13 18:31:31,49.0,32.0,294.0,167.0,Optimized string search routines for Rust.,,,30.0,12,False,2,,1.0,,,,,,,,
52,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/vbarrielle/sprs,https://github.com/vbarrielle/sprs,,2015-05-17 19:01:01,2021-07-05 21:51:02,2021-07-05 21:51:02,26.0,96.0,246.0,1034.0,sparse linear algebra library for rust.,,,22.0,12,False,2,,36.0,,,,,,,,
53,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,MIT,2020-01-22 14:27:57,2021-06-20 02:28:14,2021-06-20 02:28:13,13.0,26.0,109.0,143.0,A morphological analysis library.,,,7.0,12,True,2,,5.0,2020-10-15 11:11:47,0.7.1,,,16.0,,,
54,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,2016-04-25 11:22:18,2021-03-09 19:49:09,2021-03-09 19:49:09,28.0,27.0,101.0,131.0,Dynamically get the suggested clusters in the data for unsupervised learning.,18.0,18.0,4.0,12,False,2,,1.0,2020-04-20 04:05:53,2.0.1,324.0,8.0,13.0,,,
55,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,,2018-01-27 21:50:14,2021-07-14 18:13:57,2021-06-22 17:07:39,8.0,13.0,44.0,203.0,Rust language bindings for Faiss.,,,5.0,12,False,2,,6.0,2021-06-21 19:51:47,0.10.0,,,9.0,['binding'],,
56,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/pyrus-cramjam,https://github.com/milesgranger/pyrus-cramjam,MIT,2020-03-08 07:46:33,2021-07-13 12:28:42,2021-07-13 12:28:42,3.0,16.0,23.0,47.0,Thin Python wrapper to de/compression algorithms in Rust - lightweight & no dependencies.,,,2.0,12,False,2,,4.0,2021-05-31 08:22:02,2.3.2,,,20.0,,,
57,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,,2018-07-22 10:09:33,2021-07-19 05:38:59,2021-07-19 05:38:59,31.0,28.0,302.0,802.0,Mathematical optimization in pure Rust.,,,15.0,11,False,2,,11.0,,,,,,,,
58,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,2018-04-20 18:38:06,2021-05-26 07:23:00,2021-05-26 07:20:11,13.0,14.0,224.0,1192.0,"Rust numeric library with R, MATLAB & Python syntax.",,,9.0,11,False,2,,8.0,,,,,,,,
59,rs-natural,christophertrml/rs-natural,nlp,https://github.com/christophertrml/rs-natural,https://github.com/christophertrml/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,28.0,7.0,194.0,97.0,Natural Language Processing for Rust.,,,14.0,11,False,2,,2.0,,,,,,,,
60,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,MIT,2020-04-04 17:46:04,2021-07-19 10:27:41,2021-07-18 19:37:31,10.0,2.0,141.0,604.0,"Rust CV mono-repo. Contains pure-Rust dependencies which attempt to encapsulate the capability of OpenCV, OpenMVG, and..",,,5.0,11,True,3,,24.0,,,,,,,,
61,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/snipsco/rustling-ontology,https://github.com/snipsco/rustling-ontology,,2017-04-24 15:08:48,2020-10-07 11:29:12,2020-10-07 11:29:08,47.0,26.0,112.0,1053.0,Ontology for rustling.,,,19.0,11,False,2,,28.0,2020-01-23 14:58:51,0.19.3,,,49.0,,,
62,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2020-06-18 11:34:02,2020-06-18 11:31:52,11.0,15.0,104.0,545.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",,,4.0,11,False,2,,19.0,,,,,7.0,,,
63,rustling,snipsco/rustling,nlp,https://github.com/snipsco/rustling,https://github.com/snipsco/rustling,,2017-04-10 08:50:12,2019-09-11 16:13:12,2019-09-11 16:12:55,23.0,2.0,64.0,193.0,Rust implementation of Duckling.,,,6.0,11,False,2,,,2019-09-11 16:13:12,0.9.1,,,12.0,['binding'],,
64,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,https://github.com/snipsco/snips-nlu-ontology,https://github.com/snipsco/snips-nlu-ontology,,2018-02-14 14:19:29,2020-03-08 14:16:49,2019-09-06 13:58:18,30.0,6.0,55.0,505.0,Ontology of Snips NLU.,,,12.0,11,False,2,,4.0,2019-09-06 13:58:41,0.67.2,,,35.0,,,
65,finalfusion-rust,finalfusion/finalfusion-rust,nlp,https://github.com/finalfusion/finalfusion-rust,https://github.com/finalfusion/finalfusion-rust,,2019-03-19 18:18:31,2021-07-18 17:02:14,2021-07-18 16:56:21,5.0,36.0,38.0,224.0,finalfusion embeddings in Rust.,,,5.0,11,False,2,,4.0,2020-08-15 06:46:38,0.14.0,,,8.0,,,
66,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2021-07-12 04:50:16,2020-07-24 16:19:15,2.0,6.0,33.0,152.0,OpenAI Gym bindings for Rust.,,,3.0,11,False,2,,3.0,2019-10-11 20:43:19,1.0.0,,,1.0,['binding'],,
67,datafrog,rust-lang/datafrog,data-loading,https://github.com/rust-lang/datafrog,https://github.com/rust-lang/datafrog,,2018-05-16 13:37:32,2021-07-17 20:08:50,2021-05-04 21:24:45,31.0,2.0,416.0,103.0,A lightweight Datalog engine in Rust.,,,11.0,10,False,3,,3.0,,,,,,,,
68,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,30.0,2.0,300.0,41.0,A neural network crate.,,,2.0,10,False,3,,1.0,,,,,,,,
69,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,20.0,26.0,279.0,119.0,"A Rust DataFrame implementation, built on Apache Arrow.",,,4.0,10,True,3,,12.0,,,,,,,,
70,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2021-07-12 01:32:30,2021-07-12 01:19:51,15.0,14.0,215.0,,Rust library for regular expressions using fancy features like look-around and backreferences.,,,14.0,10,True,2,,3.0,,,,,,,,
71,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,4.0,193.0,78.0,Neural networks in Rust.,,,2.0,10,False,3,,1.0,,,,,,,,
72,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2021-07-13 00:37:04,2021-04-29 16:40:54,17.0,19.0,161.0,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,,,14.0,10,True,3,,25.0,,,,,,,,
73,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,MIT,2019-06-22 20:37:19,2021-02-04 03:11:05,2021-02-04 03:11:00,15.0,1.0,134.0,164.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,,,10,True,3,,,2019-09-04 00:34:56,1.0,,,1.0,,,
74,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,3.0,3.0,100.0,102.0,Orkhon: ML Inference Framework and Server Runtime.,,,,10,True,3,,4.0,2020-11-17 23:04:49,0.2.0,,,1.0,,,
75,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2021-07-14 16:00:25,2021-07-13 14:59:45,9.0,5.0,90.0,369.0,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",,,2.0,10,False,2,,1.0,,,,,,,,
76,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,,75.0,532.0,Deep Learning in Rust with the PyTorch API.,,,,10,False,3,,1.0,,,,,,['binding'],,
