,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,open_issue_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id,new_addition
105,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2020-12-21 14:04:54,2020-12-21 14:04:53,4.0,,52.0,38.0,Fast hierarchical agglomerative clustering in Rust.,,,2.0,8,False,3,,,,,,,,,,
106,fasttext-rs,messense/fasttext-rs,nlp,https://github.com/messense/fasttext-rs,https://github.com/messense/fasttext-rs,,2018-01-18 04:08:07,2021-06-30 15:05:22,2021-06-30 15:03:14,6.0,1.0,29.0,100.0,fastText Rust binding.,,,4.0,8,False,3,,,,,,,,['binding'],,
107,chr,pemistahl/chr,nlp,https://github.com/pemistahl/chr,https://github.com/pemistahl/chr,Apache-2.0,2020-06-22 07:50:18,2021-01-14 10:14:41,2021-01-05 20:35:25,1.0,,23.0,35.0,A command-line tool that gives information about Unicode characters.,,,,8,False,3,,1.0,2021-01-05 20:46:19,1.0.0,11.0,1.0,1.0,,,
108,word2vec,dimakudosh/word2vec,nlp,https://github.com/DimaKudosh/word2vec,https://github.com/DimaKudosh/word2vec,MIT,2016-01-28 19:57:43,2019-11-04 15:30:36,2019-11-04 15:29:26,6.0,,20.0,63.0,Rust interface to word2vec.,,,5.0,8,False,3,,,,,,,,,,
109,syntaxdot,tensordot/syntaxdot,nlp,https://github.com/tensordot/syntaxdot,https://github.com/tensordot/syntaxdot,,2020-10-07 17:49:05,2021-07-13 08:41:54,2021-07-13 08:40:53,,9.0,19.0,,"Neural syntax annotator, supporting sequence labeling, lemmatization, and dependency parsing.",,,3.0,8,False,3,,4.0,2021-06-29 14:16:04,0.3.1,6.0,0.0,8.0,,,
110,treebender,vgel/treebender,nlp,https://github.com/vgel/treebender,https://github.com/vgel/treebender,MIT,2020-10-18 21:34:55,2021-06-26 02:28:00,2021-06-26 02:27:47,,,19.0,47.0,A HDPSG-inspired symbolic natural language parser written in Rust.,,,,8,False,3,,2.0,,,,,,,,
111,rust-cv-convert,jerry73204/rust-cv-convert,image,https://github.com/jerry73204/rust-cv-convert,https://github.com/jerry73204/rust-cv-convert,MIT,2021-01-12 12:43:12,2021-06-26 02:49:15,2021-06-26 02:48:52,2.0,,11.0,54.0,Type conversion among popular Rust computer vision libraries.,,,3.0,8,False,3,,1.0,,,,,,,,
112,awabi,nakagami/awabi,nlp,https://github.com/nakagami/awabi,https://github.com/nakagami/awabi,MIT,2020-03-12 23:10:27,2021-06-12 03:11:06,2021-06-12 03:10:44,,,4.0,53.0,A morphological analyzer using mecab dictionary.,,,,8,False,3,,,,,,,,,,
113,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,https://github.com/danieldk/alpino-tokenizer,https://github.com/danieldk/alpino-tokenizer,Apache-2.0,2019-10-08 07:11:10,2021-07-13 04:50:15,2020-10-08 09:13:16,,,3.0,38.0,Rust wrapper for the Alpino tokenizer.,,,,8,False,3,,,2020-10-08 08:49:03,0.3.0,14.0,1.0,1.0,,,
114,rstats,liborty/rstats,ml-frameworks,https://github.com/liborty/rstats,https://github.com/liborty/rstats,Apache-2.0,2020-08-30 04:06:51,2021-07-17 14:22:10,2021-07-17 14:21:57,,,2.0,254.0,Rust Statistics and Vector Algebra Library.,,,,8,False,3,2.0,,,,,,,,,
115,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,,2019-06-17 23:43:49,2021-07-16 04:03:23,2021-07-16 01:04:00,4.0,5.0,121.0,,Machine Learning Library for Rust.,,,3.0,7,False,3,,,,,,,,,,
