,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-10-17 12:32:04,2022-10-14 20:08:50,892.0,1787.0,4287.0,11462.0,8351.0,2022-10-13 17:12:05,0.24.2,195452.0,5011.0,50.0,A high-performance observability data pipeline.,960.0,960.0,270.0,31,True,1,,,
1,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-10-17 12:23:02,2022-10-17 12:12:33,467.0,255.0,1826.0,8661.0,4570.0,2022-10-15 07:52:14,py-0.14.19,,,11.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,1569.0,1569.0,130.0,25,True,1,,,
2,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2022-09-29 10:32:30,2022-09-24 19:27:04,371.0,150.0,306.0,7376.0,1867.0,,,,,,Rayon: A data parallelism library for Rust.,160212.0,160212.0,129.0,25,True,1,10.0,,
3,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-10-16 10:03:18,2022-10-14 15:01:14,358.0,231.0,348.0,2854.0,2497.0,,,,,,Linear algebra library for Rust.,29395.0,29395.0,183.0,25,True,1,,,
4,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-10-17 12:25:17,2022-10-17 10:25:12,2435.0,64.0,810.0,10455.0,12499.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,79.0,79.0,953.0,24,True,2,,,
5,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2022-10-09 14:08:28,2022-09-27 13:51:02,226.0,106.0,129.0,1888.0,1258.0,,,,,,Graph data structure library for Rust.,76424.0,76424.0,94.0,24,True,1,9.0,,
6,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2022-10-17 07:27:51,2022-10-16 19:35:01,287.0,335.0,983.0,1123.0,4151.0,,,,,,Official Rust implementation of Apache Arrow.,5442.0,5442.0,345.0,24,True,2,,,
7,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-10-05 09:35:44,2022-04-25 02:35:58,404.0,216.0,684.0,2583.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,292.0,292.0,188.0,23,True,1,,,
8,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2022-10-14 22:20:22,2021-12-16 12:50:09,174.0,44.0,139.0,1266.0,432.0,,,,,,"A CSV parser for Rust, with Serde support.",50808.0,50808.0,49.0,23,True,2,10.0,,
9,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2022-10-01 03:29:47,2022-09-20 14:00:10,68.0,59.0,68.0,929.0,317.0,2022-09-11 22:29:11,0.6.8-r2,3470.0,173.0,34.0,The Declarative Data Generator.,103.0,103.0,27.0,22,True,2,,,
10,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,Unlicense,2015-06-11 23:02:10,2022-09-03 17:32:25,2022-09-03 17:30:50,73.0,5.0,43.0,629.0,188.0,,,,,,A fast implementation of Aho-Corasick in Rust.,291775.0,291775.0,26.0,22,True,1,11.0,,
11,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2022-07-14 17:19:52,2022-07-14 17:19:37,67.0,6.0,42.0,423.0,181.0,,,,,,Optimized string search routines for Rust.,361571.0,361571.0,34.0,22,True,1,10.0,,
