,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id
25,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2021-06-07 09:09:59,2020-06-21 02:01:58,44.0,9.0,4.0,488.0,76.0,Machine learning crate for Rust.,,,9.0,14,True,2,1.0,2018-07-29 21:02:49,0.5.0,,,4.0,,
26,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2021-05-27 17:01:31,2021-04-16 03:52:55,82.0,54.0,91.0,361.0,656.0,Image processing operations.,,,50.0,14,True,2,,,,,,,,
27,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,2020-07-19 16:24:54,2021-06-07 06:26:50,2021-06-07 06:26:50,28.0,13.0,27.0,339.0,,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",,,7.0,14,False,1,,2021-04-24 09:12:56,0.6.4,2308.0,384.0,27.0,,
28,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,56.0,4.0,15.0,315.0,1583.0,Snips NLU rust implementation.,,,21.0,14,False,1,,2020-01-28 16:20:20,0.65.6,,,33.0,,
29,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,143.0,32.0,67.0,1171.0,532.0,Machine Learning library for Rust.,,,20.0,13,False,2,,,,,,,,
30,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,2015-09-05 00:25:46,2021-06-06 11:01:26,2021-06-06 11:00:42,71.0,8.0,50.0,1144.0,258.0,Represent large sets and maps compactly with finite state transducers.,,,25.0,13,False,3,,,,,,,,
31,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,2017-01-14 21:27:49,2021-04-27 14:18:51,2021-04-27 09:54:48,57.0,22.0,47.0,786.0,1386.0,The Hacker's Machine Learning Engine.,,,42.0,13,False,2,,,,,,,,
32,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2021-06-06 11:01:36,2021-06-03 09:36:16,41.0,8.0,39.0,607.0,793.0,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",,,10.0,13,True,2,,,,,,,,
33,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,2020-11-05 17:16:06,2021-05-25 12:16:21,2021-05-14 12:46:38,20.0,5.0,7.0,332.0,45.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",,,7.0,13,False,2,,2021-05-14 12:58:11,1.1.1,342.0,48.0,4.0,,
34,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2021-04-16 11:40:12,2021-04-16 11:40:12,21.0,4.0,22.0,296.0,345.0,Tensors and differentiable operations (like TensorFlow) in Rust.,,,11.0,13,True,2,,,,,,,,
