,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,labels,new_addition
122,candle-vllm,EricLBuehler/candle-vllm,mlops,https://github.com/EricLBuehler/candle-vllm,https://github.com/EricLBuehler/candle-vllm,MIT,2023-10-29 11:21:48,2025-03-19 14:37:59,2025-03-19 14:37:59,37.0,8.0,35.0,340.0,366.0,,,,,,Efficent platform for inference and serving local LLMs including an OpenAI compatible API server.,,,5.0,13,True,3.0,,,,
123,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2023-08-18 07:34:39,2023-08-18 07:32:27,19.0,,5.0,118.0,203.0,2023-08-18 07:34:40,0.2.0,,,1.0,Awesome deep learning crate.,25.0,25.0,3.0,13,False,3.0,,,,
124,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2024-01-17 22:32:30,2024-01-17 22:32:29,11.0,3.0,2.0,95.0,50.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,217.0,217.0,5.0,13,False,3.0,,,,
125,rustling,snipsco/rustling,nlp,https://github.com/sonos/rustling,https://github.com/sonos/rustling,,2017-04-10 08:50:12,2021-07-23 15:25:44,2019-09-11 16:12:55,21.0,1.0,2.0,78.0,193.0,2019-09-11 16:13:12,0.9.1,,,12.0,Rust implementation of Duckling.,19.0,19.0,8.0,13,False,2.0,sonos/rustling,,['binding'],
126,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2022-11-16 19:03:18,2022-11-16 19:03:15,6.0,5.0,6.0,64.0,187.0,2019-10-11 20:43:19,1.0.0,,,1.0,OpenAI Gym bindings for Rust.,13.0,13.0,4.0,13,False,3.0,,,['binding'],
127,rust-cv-convert,jerry73204/rust-cv-convert,image,https://github.com/jerry73204/rust-cv-convert,https://github.com/jerry73204/rust-cv-convert,MIT,2021-01-12 12:43:12,2024-08-09 22:39:25,2023-10-15 13:56:42,24.0,8.0,7.0,47.0,172.0,,,,,,Type conversion among popular Rust computer vision libraries.,27.0,27.0,7.0,13,False,3.0,,,,
128,rust-tfrecord,jerry73204/rust-tfrecord,data-loading,https://github.com/jerry73204/rust-tfrecord,https://github.com/jerry73204/rust-tfrecord,MIT,2019-11-06 17:35:02,2024-04-11 19:02:16,2023-09-09 01:35:25,8.0,1.0,2.0,24.0,236.0,,,,,,A Rust crate that reads and writes tfrecord files.,48.0,48.0,4.0,13,False,3.0,,,,
129,extractous,yobix-ai/extractous,data-loading,https://github.com/yobix-ai/extractous,https://github.com/yobix-ai/extractous,Apache-2.0,2024-06-04 08:24:18,2024-12-21 10:13:30,2024-12-21 10:13:30,43.0,15.0,22.0,1033.0,,,,,,,Fast and efficient unstructured data extraction. Written in Rust with bindings for many languages.,10.0,10.0,7.0,12,True,3.0,,,,
130,nerve,evilsocket/nerve,apps,https://github.com/evilsocket/nerve,https://github.com/evilsocket/nerve,,2024-06-07 09:58:13,2025-03-30 14:18:59,2025-03-30 14:18:56,62.0,,18.0,908.0,,2025-03-30 14:19:32,1.5.2,,,24.0,The Simple Agent Development Kit.,,,8.0,12,False,3.0,,,,
131,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2023-02-11 06:38:39,2023-02-11 06:38:32,36.0,7.0,33.0,489.0,386.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,,,15.0,12,False,3.0,,,,
132,instant-distance,InstantDomain/instant-distance,ml-frameworks,https://github.com/djc/instant-distance,https://github.com/djc/instant-distance,Apache-2.0,2020-12-14 15:15:27,2025-03-17 13:36:10,2025-03-10 15:07:49,26.0,2.0,5.0,323.0,,,,,,,"Fast approximate nearest neighbor searching in Rust, based on HNSW index.",3.0,3.0,10.0,12,True,3.0,djc/instant-distance,,,
133,tokenizations,explosion/tokenizations,nlp,https://github.com/explosion/tokenizations,https://github.com/explosion/tokenizations,MIT,2019-12-30 10:02:22,2023-10-04 15:52:19,2022-07-18 03:30:54,18.0,,11.0,190.0,292.0,2021-07-31 09:05:35,python/0.8.4,,,3.0,Robust and Fast tokenizations alignment library for Rust and Python https://tamuhey.github.io/tokenizations/.,,,4.0,12,False,3.0,,,,
134,ungoliant,oscar-corpus/ungoliant,nlp,https://github.com/oscar-project/ungoliant,https://github.com/oscar-project/ungoliant,Apache-2.0,2021-02-15 03:19:32,2023-12-18 16:31:48,2023-11-09 14:19:54,15.0,18.0,25.0,167.0,,2023-02-24 12:20:48,2.0.0,,,6.0,The pipeline for the OSCAR corpus.,7.0,7.0,7.0,12,False,3.0,oscar-project/ungoliant,,,
135,rurel,milanboers/rurel,ml-frameworks,https://github.com/milanboers/rurel,https://github.com/milanboers/rurel,MPL-2.0,2017-03-05 09:40:12,2024-06-25 08:45:48,2024-06-25 08:45:32,17.0,2.0,9.0,149.0,59.0,,,,,,"Flexible, reusable reinforcement learning (Q learning) implementation in Rust.",20.0,20.0,9.0,12,True,3.0,,,,
136,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/sonos/rustling-ontology,https://github.com/sonos/rustling-ontology,,2017-04-24 15:08:48,2022-01-02 15:33:15,2020-10-07 11:29:08,46.0,28.0,26.0,128.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,,,23.0,12,False,3.0,sonos/rustling-ontology,,,
137,bhtsne,frjnn/bhtsne,ml-frameworks,https://github.com/frjnn/bhtsne,https://github.com/frjnn/bhtsne,MIT,2020-08-21 15:39:47,2024-09-27 12:05:02,2024-09-27 12:04:59,8.0,,6.0,77.0,41.0,,,,,,Parallel Barnes-Hut t-SNE implementation written in Rust.,109.0,109.0,3.0,12,False,3.0,,,,
138,spm_precompiled,huggingface/spm_precompiled,nlp,https://github.com/huggingface/spm_precompiled,https://github.com/huggingface/spm_precompiled,Apache-2.0,2020-09-15 19:11:01,2022-05-30 12:07:25,2022-05-30 12:07:22,14.0,,,18.0,12.0,,,,,,Highly specialized crate to parse and use `google/sentencepiece` 's precompiled_charsmap in `tokenizers`.,1920.0,1920.0,,12,False,3.0,,,,
