,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition,labels
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2025-09-01 09:25:19,2025-08-27 08:18:58,1775.0,348.0,1229.0,25638.0,4711.0,2025-08-27 11:24:04,1.15.4,471341.0,9241.0,100.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",117.0,117.0,141.0,29,True,1.0,,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2025-09-01 09:22:20,2025-08-29 22:26:44,1804.0,1955.0,6151.0,20208.0,12869.0,2025-08-12 16:08:33,0.49.0,3907279.0,52801.0,94.0,A high-performance observability data pipeline.,,,567.0,28,True,1.0,vectordotdev/vector,,,
2,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2025-08-26 15:31:24,2025-08-26 15:28:27,399.0,158.0,210.0,3495.0,1399.0,2025-06-06 14:11:43,petgraph@v0.8.2,,,3.0,Graph data structure library for Rust.,143602.0,143602.0,134.0,27,True,1.0,,,,
3,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,,2020-05-13 19:45:33,2025-09-01 08:58:51,2025-09-01 08:54:10,2354.0,2582.0,8774.0,35134.0,,2025-08-14 17:28:37,py-1.32.3,8652.0,455.0,100.0,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust.",26987.0,26987.0,607.0,26,False,1.0,pola-rs/polars,,,
4,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,MIT,2022-12-01 23:22:11,2025-09-01 00:05:21,2025-09-01 00:05:21,1104.0,46.0,236.0,15732.0,,2025-08-08 23:45:27,0.11.0,,,12.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,170168.0,170168.0,19.0,26,True,1.0,,,,
5,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2025-08-30 06:47:35,2025-08-30 06:47:35,938.0,85.0,1008.0,10034.0,,2025-08-29 10:25:50,0.22.0,86.0,1.0,98.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,182542.0,182542.0,123.0,25,True,1.0,,,,
6,rerun,rerun-io/rerun,image,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2025-09-01 08:10:52,2025-08-29 16:12:57,509.0,1325.0,2789.0,9157.0,,2025-08-07 16:00:22,0.24.1,156691.0,5054.0,50.0,"Visualize streams of multimodal data. Free, fast, easy to use, and simple to integrate. Built in Rust.",216.0,216.0,114.0,25,True,1.0,,,,
7,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2025-08-24 20:27:23,2025-08-24 00:21:12,180.0,6.0,349.0,3932.0,1384.0,2025-08-24 00:21:57,3.0.1,,,57.0,An embedded key-value database in pure Rust.,1270.0,1270.0,32.0,25,True,1.0,,,,
8,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2025-08-28 19:54:10,2025-08-28 19:54:10,3689.0,4238.0,22532.0,15890.0,,2025-07-17 06:41:41,apache-arrow-21.0.0,29271.0,2090.0,25.0,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory..,8.0,8.0,1418.0,24,True,2.0,,,,
9,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2025-08-28 10:19:28,2025-08-21 23:57:48,758.0,307.0,762.0,13679.0,,2025-08-20 11:01:45,0.25.0,,,48.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,2171.0,2171.0,170.0,24,True,1.0,quickwit-oss/tantivy,,,
10,burn,burn-rs/burn,ml-frameworks,https://github.com/tracel-ai/burn,https://github.com/tracel-ai/burn,Apache-2.0,2022-07-18 23:11:45,2025-09-01 05:29:44,2025-08-29 20:37:09,679.0,250.0,725.0,12749.0,,2025-07-18 16:27:50,0.18.0,,,22.0,"Burn is a next generation Deep Learning Framework that doesn't compromise on flexibility, efficiency and portability.",938.0,938.0,209.0,24,True,1.0,tracel-ai/burn,,,
11,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,Apache-2.0,2014-10-02 15:38:05,2025-08-26 18:27:53,2025-08-26 18:24:37,525.0,188.0,410.0,12150.0,,,,,,,Rayon: A data parallelism library for Rust.,283969.0,283969.0,157.0,24,True,2.0,,,,
12,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,Apache-2.0,2021-04-17 15:40:05,2025-08-30 23:20:14,2025-08-29 15:07:46,971.0,420.0,2622.0,3111.0,,2025-08-25 11:56:42,56.1.0,,,17.0,Official Rust implementation of Apache Arrow.,8576.0,8576.0,723.0,24,True,2.0,,3.0,,
13,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,Unlicense,2014-03-22 06:58:51,2025-08-18 12:22:50,2025-08-18 12:22:49,229.0,59.0,180.0,1844.0,469.0,,,,,,"A CSV parser for Rust, with Serde support.",94565.0,94565.0,57.0,24,True,2.0,,,,
14,goose,block/goose,apps,https://github.com/block/goose,https://github.com/block/goose,Apache-2.0,2024-08-23 19:03:36,2025-09-01 08:36:10,2025-09-01 01:28:28,1629.0,273.0,731.0,19205.0,,2025-08-29 19:11:35,1.7.0,89563.0,7463.0,74.0,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM.",,,244.0,23,True,1.0,,,True,
