,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-04-05 13:38:54,2021-04-05 13:38:54,453.0,1170.0,2147.0,6821.0,4260.0,2021-03-30 20:22:30,0.12.2,33395.0,1590.0,19.0,"A high-performance, high-reliability observability data pipeline.",125.0,23,True,1,,,,,
1,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-04-02 21:18:30,2021-03-18 18:39:52,327.0,89.0,318.0,4414.0,1446.0,2021-02-04 15:38:39,python-v0.10.1,,,39.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,40.0,21,True,1,28.0,28.0,,,
2,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2021-04-05 13:03:33,2021-01-28 22:52:55,353.0,188.0,673.0,2274.0,3150.0,2021-01-06 07:40:18,rusoto-v0.46.0,,,40.0,AWS SDK for Rust.,179.0,20,True,1,,,20.0,,
3,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-04-05 07:56:51,2021-04-04 17:54:22,1809.0,129.0,1646.0,6486.0,,2020-10-02 18:30:42,0.7.0,530.0,12.0,9.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",522.0,18,True,1,,,-1.0,['binding'],
4,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,229.0,68.0,95.0,2564.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,17,True,1,2.0,2.0,,,
5,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2021-03-28 22:08:44,2021-03-28 22:08:09,75.0,5.0,22.0,3215.0,,2021-03-28 22:11:03,1.2.0,2605.0,144.0,8.0,A command-line tool and library for generating regular expressions from user-provided test cases.,3.0,16,True,1,,,,,True
6,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-03-01 07:35:57,2021-02-18 04:15:09,237.0,28.0,101.0,2998.0,629.0,,,,,,Rust language bindings for TensorFlow.,37.0,16,True,1,,,,['binding'],
7,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,Apache-2.0,2019-07-04 17:09:41,2021-03-27 01:42:41,2021-03-11 06:25:13,138.0,65.0,185.0,2238.0,,2021-02-23 02:39:20,0.4.1,,,17.0,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",37.0,16,True,1,,,,,
8,polars,ritchie46/polars,data-loading,https://github.com/ritchie46/polars,https://github.com/ritchie46/polars,MIT,2020-05-13 19:45:33,2021-04-04 12:08:53,2021-04-04 12:03:38,62.0,26.0,228.0,1372.0,1357.0,,,,,,Rust DataFrame library.,22.0,16,True,2,,,,,
9,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-04-01 10:16:28,2021-03-31 15:29:59,18.0,3.0,27.0,119.0,2467.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,28.0,16,True,1,,,1.0,,
10,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,2014-10-02 15:38:05,2021-04-02 23:59:28,2021-04-01 18:51:50,267.0,116.0,260.0,4959.0,1742.0,,,,,,Rayon: A data parallelism library for Rust.,115.0,15,False,2,,,,,
11,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2021-04-03 09:39:39,2021-04-01 15:27:38,96.0,21.0,46.0,914.0,,2021-04-01 15:21:27,0.13.2,1912.0,239.0,16.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",22.0,15,False,2,,,,,
