,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
40,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2024-05-30 12:22:54,2024-05-30 12:07:56,209.0,11.0,662.0,4629.0,1638.0,2024-05-30 12:22:54,3000.2.5,8129.0,92.0,100.0,Making Postgres and Elasticsearch work together like it's 2023.,34.0,19,False,2.0,,,,,
41,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,,2017-08-07 09:31:26,2024-05-31 17:54:29,2024-05-31 07:12:02,197.0,40.0,198.0,2086.0,,2024-05-13 07:14:34,0.21.5,9782.0,212.0,83.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",70.0,19,False,2.0,31.0,31.0,,,
42,LlamaEdge,LlamaEdge/LlamaEdge,apps,https://github.com/LlamaEdge/LlamaEdge,https://github.com/LlamaEdge/LlamaEdge,,Apache-2.0,2023-10-09 03:30:44,2024-05-31 02:45:57,2024-05-26 00:54:05,64.0,30.0,55.0,726.0,,2024-05-26 01:01:01,0.11.2,7552.0,1258.0,49.0,The easiest & fastest way to run customized and fine-tuned LLMs locally or on the edge.,9.0,19,True,2.0,14.0,14.0,2.0,,
43,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,,MIT,2018-10-02 17:55:03,2024-01-24 20:05:36,2023-12-22 12:35:44,34.0,14.0,29.0,389.0,,2023-12-22 12:38:29,0.13.0,,,5.0,Rust library for regular expressions using fancy features like look-around and backreferences.,23.0,19,True,1.0,9905.0,9905.0,,,
44,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/sparsemat/sprs,https://github.com/sparsemat/sprs,sparsemat/sprs,Apache-2.0,2015-05-17 19:01:01,2024-02-27 09:32:37,2023-12-19 07:31:33,42.0,46.0,107.0,379.0,1123.0,,,,,,sparse linear algebra library for rust.,34.0,19,True,2.0,1251.0,1251.0,,,
45,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,,MIT,2020-01-22 14:27:57,2024-05-29 08:19:16,2024-05-28 04:07:36,36.0,12.0,71.0,359.0,,2024-05-28 04:47:12,0.31.0,1253.0,24.0,66.0,A multilingual morphological analysis library.,16.0,19,True,1.0,749.0,749.0,,,
46,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/databend,https://github.com/datafuselabs/databend,datafuselabs/databend,,2020-10-10 06:04:42,2024-06-01 09:12:24,2024-06-01 07:36:15,696.0,632.0,4523.0,7309.0,,2024-05-06 12:09:03,1.2.453,1509.0,754.0,100.0,", & . Modern alternative to Snowflake. Cost-effective and simple for massive-scale analytics. https://databend.com.",222.0,18,False,3.0,,,,,
47,evcxr,google/evcxr,ml-frameworks,https://github.com/evcxr/evcxr,https://github.com/evcxr/evcxr,evcxr/evcxr,,2018-09-25 10:19:22,2024-04-18 07:01:18,2024-04-18 05:11:54,212.0,103.0,145.0,5265.0,,2023-12-17 00:16:37,0.17.0,4248.0,202.0,7.0,,49.0,18,False,2.0,161.0,161.0,,,
48,arroyo,ArroyoSystems/arroyo,data-loading,https://github.com/ArroyoSystems/arroyo,https://github.com/ArroyoSystems/arroyo,,Apache-2.0,2023-03-31 17:41:56,2024-05-31 20:37:24,2024-05-31 00:04:00,188.0,36.0,79.0,3365.0,570.0,2024-05-08 18:37:40,0.10.2,6.0,0.0,16.0,Distributed stream processing engine in Rust.,17.0,18,True,3.0,,,,,
49,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,,Apache-2.0,2018-09-23 18:30:14,2024-05-12 21:48:56,2024-05-12 21:48:56,128.0,8.0,272.0,2979.0,1111.0,2024-04-20 17:18:04,2.1.0,,,42.0,An embedded key-value database in pure Rust.,20.0,18,True,3.0,,,,,
