,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2024-05-01 04:22:13,2024-04-30 14:34:14,1380.0,1682.0,5665.0,16545.0,11372.0,2024-04-09 14:50:56,0.37.1,1488792.0,25668.0,77.0,A high-performance observability data pipeline.,406.0,28,True,1.0,,,,,
1,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2024-05-01 09:16:17,2024-04-22 09:58:32,1145.0,161.0,892.0,17966.0,2630.0,2024-04-22 13:27:09,1.9.0,30069.0,812.0,68.0,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud..",102.0,27,True,1.0,114.0,114.0,3.0,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2024-04-30 13:53:47,2024-04-30 13:53:47,708.0,74.0,850.0,8441.0,,2024-04-17 21:37:50,0.19.1,47.0,0.0,87.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,87.0,25,True,1.0,73908.0,73908.0,,,
3,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2024-05-01 08:54:51,2024-04-30 12:22:19,440.0,303.0,385.0,3742.0,2684.0,,,,,,Linear algebra library for Rust.,216.0,25,True,1.0,39460.0,39460.0,,,
4,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2024-04-27 15:40:14,2024-04-27 15:40:14,306.0,145.0,150.0,2651.0,1290.0,,,,,,Graph data structure library for Rust.,107.0,25,True,1.0,108603.0,108603.0,,,
5,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2024-04-30 18:08:23,2024-04-18 07:07:33,1591.0,144.0,1680.0,43435.0,,2024-04-11 16:58:27,1.7.6,207912.0,8663.0,100.0,"A lightning-fast search API that fits effortlessly into your apps, websites, and workflow.",189.0,24,True,1.0,,,,,
6,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2024-04-24 21:19:44,2024-04-24 21:14:51,462.0,164.0,381.0,10276.0,,,,,,,Rayon: A data parallelism library for Rust.,151.0,24,True,1.0,215870.0,215870.0,,,
7,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,,MIT,2022-12-01 23:22:11,2024-04-12 23:04:39,2024-02-11 08:20:22,614.0,31.0,170.0,9853.0,,2024-02-09 06:35:04,0.6.0,,,8.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,17.0,24,True,1.0,66846.0,66846.0,,,
8,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2024-05-01 07:11:19,2024-04-30 15:54:00,624.0,285.0,2083.0,2190.0,5644.0,,,,,,Official Rust implementation of Apache Arrow.,519.0,24,True,1.0,6456.0,6456.0,,,
9,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2024-04-20 12:28:44,2023-10-10 13:45:23,205.0,56.0,169.0,1605.0,457.0,,,,,,"A CSV parser for Rust, with Serde support.",53.0,24,True,1.0,78717.0,78717.0,,,
