,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-12-31 20:21:27,2022-12-31 20:19:12,945.0,1572.0,4780.0,12068.0,8811.0,2022-12-05 20:54:09,0.26.0,243955.0,5808.0,54.0,A high-performance observability data pipeline.,976.0,976.0,290.0,31,True,1,,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2022-12-25 21:48:15,2022-12-17 02:29:26,380.0,155.0,314.0,7769.0,1937.0,,,,,,Rayon: A data parallelism library for Rust.,166298.0,166298.0,133.0,25,True,1,10.0,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-12-21 07:53:23,2022-12-18 14:27:15,362.0,237.0,353.0,2980.0,2497.0,,,,,,Linear algebra library for Rust.,30583.0,30583.0,185.0,25,True,1,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2022-12-28 19:08:39,2022-09-27 13:51:02,235.0,114.0,130.0,1970.0,1258.0,,,,,,Graph data structure library for Rust.,79435.0,79435.0,94.0,25,True,1,10.0,,
4,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2023-01-01 08:04:22,2022-12-31 14:50:12,564.0,295.0,2132.0,10974.0,4944.0,2022-12-31 09:31:13,py-0.15.9,,,29.0,"Fast multi-threaded, hybrid-streaming DataFrame library in Rust | Python | Node.js.",453.0,453.0,144.0,24,True,2,,,
5,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2023-01-01 05:57:30,2023-01-01 05:57:30,2541.0,205.0,934.0,10843.0,12894.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,90.0,90.0,987.0,24,True,2,,,
6,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2023-01-01 08:12:09,2022-12-31 18:28:21,326.0,261.0,1236.0,1261.0,4468.0,,,,,,Official Rust implementation of Apache Arrow.,5516.0,5516.0,362.0,24,True,2,,,
7,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2023-01-01 08:22:42,2022-12-31 12:37:19,488.0,578.0,1575.0,2938.0,4925.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,1968.0,1968.0,370.0,23,True,2,,,
8,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-12-20 23:02:57,2022-04-25 02:35:58,408.0,217.0,685.0,2594.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,296.0,296.0,188.0,23,True,1,,,
9,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2022-11-30 15:38:45,2021-12-16 12:50:09,181.0,44.0,145.0,1308.0,432.0,,,,,,"A CSV parser for Rust, with Serde support.",52132.0,52132.0,49.0,23,False,2,10.0,,
10,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2022-12-29 11:06:08,2022-12-29 10:32:42,1123.0,97.0,1197.0,31643.0,,2022-12-21 13:09:05,0.30.5,67232.0,2401.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,122.0,22,True,1,,,
11,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2022-12-31 17:36:59,2022-12-31 14:01:39,435.0,202.0,546.0,7443.0,,2022-10-20 01:38:53,0.18.1,,,39.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1059.0,1059.0,116.0,22,True,1,,,
12,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2022-12-23 01:09:29,2022-12-23 01:09:29,72.0,59.0,73.0,992.0,335.0,2022-11-20 18:01:03,0.6.9,4499.0,195.0,35.0,The Declarative Data Generator.,103.0,103.0,29.0,22,True,3,,,
13,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,,MIT,2016-11-05 21:26:51,2022-12-10 11:48:25,2022-12-10 11:48:25,52.0,6.0,45.0,805.0,557.0,2022-10-23 14:15:03,0.16.2,,,4.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,1318.0,1318.0,23.0,22,True,1,,,
14,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,Unlicense,2015-06-11 23:02:10,2022-12-31 23:42:36,2022-11-22 03:35:53,72.0,2.0,47.0,662.0,195.0,,,,,,A fast implementation of Aho-Corasick in Rust.,306531.0,306531.0,28.0,22,True,1,11.0,,
