,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2024-03-01 04:24:13,2024-02-29 18:28:46,1305.0,1644.0,5606.0,15651.0,11139.0,2024-02-13 16:47:17,0.36.0,1276656.0,22797.0,74.0,A high-performance observability data pipeline.,83.0,83.0,389.0,31,True,1.0,-2.0,,
1,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2024-02-28 17:40:28,2024-02-13 03:05:43,666.0,156.0,733.0,8180.0,,2024-02-12 02:35:06,0.15.2,33.0,0.0,84.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,62743.0,62743.0,87.0,25,True,1.0,1.0,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2024-02-20 22:51:17,2024-02-20 22:51:17,433.0,298.0,381.0,3649.0,2684.0,,,,,,Linear algebra library for Rust.,38310.0,38310.0,213.0,25,True,1.0,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2024-02-26 21:15:40,2023-12-31 11:12:15,296.0,134.0,149.0,2537.0,1274.0,,,,,,Graph data structure library for Rust.,103746.0,103746.0,103.0,25,True,1.0,,,
4,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,,MIT,2022-12-01 23:22:11,2024-02-24 16:44:54,2024-02-11 08:20:22,533.0,22.0,164.0,8800.0,,2024-02-09 06:35:04,0.6.0,,,8.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,55417.0,55417.0,17.0,24,True,1.0,,,
5,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2024-03-01 06:53:21,2024-03-01 06:50:31,581.0,272.0,1987.0,2070.0,5534.0,,,,,,Official Rust implementation of Apache Arrow.,6287.0,6287.0,492.0,24,True,1.0,,,
6,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2024-02-29 15:23:30,2024-02-26 11:37:34,1564.0,124.0,1633.0,42050.0,,2024-02-13 16:04:20,1.6.2,199849.0,7993.0,100.0,"A lightning-fast search API that fits effortlessly into your apps, websites, and workflow.",,,179.0,23,True,1.0,,,
7,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2024-03-01 08:53:00,2024-02-16 10:29:35,996.0,175.0,785.0,16451.0,2181.0,2024-01-29 17:23:33,1.7.4,14865.0,424.0,62.0,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud..",,,80.0,23,True,1.0,,,
8,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2024-02-27 23:38:32,2024-02-27 22:49:39,449.0,161.0,372.0,9941.0,,,,,,,Rayon: A data parallelism library for Rust.,208096.0,208096.0,147.0,23,True,1.0,-3.0,,
9,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2024-03-01 07:25:21,2024-03-01 07:22:47,841.0,866.0,2999.0,4686.0,6083.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,2327.0,2327.0,544.0,23,True,1.0,,,
10,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2024-02-27 11:56:09,2023-10-10 13:45:23,201.0,54.0,166.0,1574.0,457.0,,,,,,"A CSV parser for Rust, with Serde support.",76692.0,76692.0,53.0,23,True,1.0,,,
11,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,Unlicense,2015-06-11 23:02:10,2024-02-26 01:39:10,2024-02-26 01:39:00,87.0,2.0,61.0,925.0,288.0,,,,,,A fast implementation of Aho-Corasick in Rust.,418169.0,418169.0,30.0,23,True,1.0,1.0,,
12,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2024-02-26 17:27:52,2024-02-26 01:39:59,89.0,3.0,57.0,725.0,229.0,,,,,,Optimized string search routines for Rust.,533345.0,533345.0,42.0,23,True,1.0,,,
13,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,AGPL-3.0,2022-12-07 09:43:02,2024-02-20 12:06:12,2024-01-29 10:34:14,5193.0,569.0,325.0,45957.0,,2023-08-03 13:51:20,1.1.0,4574699.0,304979.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,30.0,22,True,2.0,,,
14,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,Apache-2.0,2018-04-05 07:03:30,2024-02-17 09:16:26,2024-01-31 22:55:33,206.0,41.0,93.0,3278.0,321.0,2022-06-15 05:07:41,0.6.0,,,8.0,A Rust machine learning framework.,396.0,396.0,42.0,22,True,1.0,,,
15,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2023-12-11 09:58:15,2022-04-25 02:35:58,422.0,222.0,688.0,2701.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,308.0,308.0,189.0,22,False,1.0,-1.0,,
16,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2024-02-25 08:05:47,2024-02-25 08:05:47,97.0,80.0,79.0,1296.0,346.0,2022-11-20 18:01:03,0.6.9,9917.0,268.0,35.0,The Declarative Data Generator.,112.0,112.0,31.0,22,True,2.0,1.0,,
17,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,statrs-dev/statrs,MIT,2016-03-11 06:38:50,2024-02-27 22:17:39,2022-09-09 23:13:40,70.0,43.0,81.0,484.0,604.0,2021-06-30 22:40:18,0.15.0,,,2.0,Statistical computation library for Rust.,16448.0,16448.0,26.0,22,False,1.0,,,
18,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2024-03-01 09:01:05,2024-03-01 09:01:04,1438.0,1338.0,5350.0,24584.0,,2024-03-01 08:40:46,rs-0.38.1,367.0,28.0,100.0,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust.",3.0,3.0,374.0,21,True,2.0,1.0,,
19,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2023-12-19 01:27:35,2023-12-14 18:12:45,536.0,59.0,202.0,19234.0,718.0,2023-12-14 18:20:01,1.4.8,205.0,3.0,33.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",21.0,21.0,41.0,21,True,2.0,-1.0,,
20,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2024-03-01 05:03:23,2024-02-29 14:08:15,3131.0,616.0,2624.0,10945.0,,2024-01-19 00:56:20,0.15.0,3434.0,46.0,17.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,986.0,21,True,1.0,,['binding'],
21,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2024-02-29 16:45:49,2024-02-27 02:38:04,545.0,252.0,684.0,9554.0,,2023-09-01 12:01:59,0.21,,,45.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1381.0,1381.0,141.0,21,True,2.0,-1.0,,
22,burn,burn-rs/burn,ml-frameworks,https://github.com/tracel-ai/burn,https://github.com/tracel-ai/burn,tracel-ai/burn,Apache-2.0,2022-07-18 23:11:45,2024-03-01 06:05:37,2024-03-01 03:34:01,264.0,168.0,267.0,6310.0,,2024-02-01 21:11:55,0.12.1,,,12.0,"Burn is a new comprehensive dynamic Deep Learning Framework built using Rust with extreme flexibility, compute..",202.0,202.0,79.0,21,True,1.0,1.0,,
23,rerun,rerun-io/rerun,image,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,,Apache-2.0,2022-04-08 07:30:05,2024-03-01 08:42:57,2024-03-01 08:16:43,194.0,749.0,1389.0,4295.0,,2024-02-29 12:50:40,0.14.1,5926.0,455.0,24.0,"Visualize streams of multimodal data. Fast, easy to use, and simple to integrate. Built in Rust using egui.",30.0,30.0,42.0,21,True,1.0,,,
24,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,,MIT,2015-04-14 06:32:54,2024-02-27 07:28:10,2024-02-27 07:28:09,128.0,38.0,421.0,1706.0,1385.0,,,,,,Rust bindings for OpenCV 3 & 4.,1296.0,1296.0,44.0,21,True,1.0,,['binding'],
25,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,Unlicense,2015-09-05 00:25:46,2024-01-18 10:45:42,2023-10-06 01:38:53,105.0,24.0,60.0,1693.0,270.0,,,,,,Represent large sets and maps compactly with finite state transducers.,10493.0,10493.0,25.0,21,True,2.0,,,
26,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,,Apache-2.0,2013-08-26 05:16:44,2022-10-23 17:42:47,2022-04-16 17:32:31,154.0,55.0,123.0,1090.0,1580.0,,,,,,A linear algebra and mathematics library for computer graphics.,14807.0,14807.0,98.0,21,False,1.0,,,
27,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,,MIT,2016-11-05 21:26:51,2024-01-04 10:49:11,2024-01-04 10:28:00,56.0,8.0,47.0,934.0,566.0,2022-10-23 14:15:03,0.16.2,,,4.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,1474.0,1474.0,24.0,21,True,1.0,,,
28,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,,MIT,2018-10-02 17:55:03,2024-01-24 20:05:36,2023-12-22 12:35:44,33.0,13.0,29.0,377.0,,2023-12-22 12:38:29,0.13.0,,,5.0,Rust library for regular expressions using fancy features like look-around and backreferences.,9041.0,9041.0,23.0,21,True,1.0,,,
29,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,Apache-2.0,2019-02-16 21:08:44,2024-02-08 16:01:41,2024-02-08 16:01:40,287.0,121.0,410.0,3688.0,,,,1430.0,62.0,1.0,Rust bindings for the C++ api of PyTorch.,1469.0,1469.0,72.0,20,True,1.0,,['binding'],
30,lance,eto-ai/lance,data-loading,https://github.com/lancedb/lance,https://github.com/lancedb/lance,lancedb/lance,Apache-2.0,2022-07-07 22:29:29,2024-03-01 06:52:17,2024-03-01 06:45:11,142.0,243.0,452.0,3085.0,,2024-02-28 03:07:49,0.10.1,,,100.0,Modern columnar data format for ML and LLMs implemented in Rust. Convert from parquet in 2 lines of code for 100x..,826.0,826.0,44.0,20,True,2.0,,,
31,delta-rs,delta-io/delta-rs,data-loading,https://github.com/delta-io/delta-rs,https://github.com/delta-io/delta-rs,,Apache-2.0,2020-04-26 03:48:06,2024-03-01 01:45:43,2024-02-27 17:41:29,318.0,209.0,630.0,1711.0,,2024-02-07 20:06:10,rust-v0.17.0,,,56.0,"A native Rust library for Delta Lake, with bindings into Python.",424.0,424.0,140.0,20,True,2.0,,,
32,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/sparsemat/sprs,https://github.com/sparsemat/sprs,sparsemat/sprs,Apache-2.0,2015-05-17 19:01:01,2024-02-27 09:32:37,2023-12-19 07:31:33,43.0,45.0,106.0,370.0,1123.0,,,,,,sparse linear algebra library for rust.,1166.0,1166.0,34.0,20,True,1.0,,,
33,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2024-03-01 09:03:48,2024-03-01 07:30:01,3092.0,4005.0,19237.0,13219.0,,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,7.0,7.0,1209.0,19,True,3.0,,,
34,candle,huggingface/candle,ml-frameworks,https://github.com/huggingface/candle,https://github.com/huggingface/candle,,Apache-2.0,2023-06-19 16:06:31,2024-03-01 08:49:01,2024-03-01 07:58:30,631.0,181.0,238.0,12335.0,,,,,,,Minimalist ML framework for Rust.,478.0,478.0,92.0,19,True,1.0,,,
35,bloop,BloopAI/bloop,apps,https://github.com/BloopAI/bloop,https://github.com/BloopAI/bloop,,,2022-12-10 14:04:30,2024-02-27 15:42:13,2024-02-21 14:57:56,488.0,34.0,81.0,8348.0,,2024-02-21 14:58:25,0.6.3,45328.0,3021.0,46.0,bloop is a fast code search engine written in Rust.,,,25.0,19,False,2.0,,,
36,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/databend,https://github.com/datafuselabs/databend,datafuselabs/databend,,2020-10-10 06:04:42,2024-03-01 09:04:48,2024-03-01 08:45:06,671.0,640.0,4316.0,7011.0,,2024-02-22 01:33:23,1.2.344,4452.0,1484.0,100.0,", & . Modern alternative to Snowflake. Cost-effective and simple for massive-scale analytics. https://databend.com.",,,209.0,19,False,3.0,,,
37,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,,Apache-2.0,2019-10-05 17:38:23,2024-02-28 05:55:50,2024-02-28 05:55:49,147.0,7.0,43.0,6456.0,,2023-08-24 10:41:38,1.4.4,36700.0,692.0,14.0,A command-line tool and Rust library with Python bindings for generating regular expressions from user-provided test..,158.0,158.0,10.0,19,True,1.0,,,
38,llama-rs,rustformers/llama-rs,nlp,https://github.com/rustformers/llm,https://github.com/rustformers/llm,rustformers/llm,Apache-2.0,2023-03-13 16:59:26,2023-12-12 15:46:26,2023-12-01 14:46:14,307.0,77.0,150.0,5688.0,,2023-05-08 19:23:10,0.1.1,1022.0,102.0,1.0,An ecosystem of Rust libraries for working with large language models.,216.0,216.0,54.0,19,True,1.0,,,
39,quickwit,quickwit-inc/quickwit,apps,https://github.com/quickwit-oss/quickwit,https://github.com/quickwit-oss/quickwit,quickwit-oss/quickwit,,2021-04-13 22:45:40,2024-03-01 08:35:00,2024-03-01 05:08:42,257.0,512.0,1487.0,5497.0,,2024-01-24 14:02:13,0.7.1,4343.0,135.0,20.0,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",77.0,77.0,66.0,19,False,2.0,,,
40,evcxr,google/evcxr,ml-frameworks,https://github.com/evcxr/evcxr,https://github.com/evcxr/evcxr,evcxr/evcxr,,2018-09-25 10:19:22,2024-01-17 05:44:36,2024-01-17 05:43:36,206.0,97.0,143.0,5078.0,,2023-12-17 00:16:37,0.17.0,3854.0,214.0,7.0,,161.0,161.0,49.0,19,False,1.0,,,
41,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2024-01-26 15:30:54,2024-01-26 15:27:22,207.0,13.0,654.0,4575.0,1622.0,2024-01-26 15:30:02,3000.2.3,8708.0,101.0,100.0,Making Postgres and Elasticsearch work together like it's 2023.,,,33.0,19,False,2.0,,,
42,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,,2017-08-07 09:31:26,2024-03-01 09:10:31,2024-02-29 16:52:50,188.0,35.0,190.0,1995.0,,2024-02-08 18:27:43,0.21.1,7189.0,167.0,79.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",29.0,29.0,69.0,19,False,1.0,,,
43,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,,BSD-2-Clause,2017-04-21 06:36:48,2023-11-11 17:57:23,2023-11-11 17:56:39,88.0,6.0,111.0,968.0,,2023-10-12 08:10:44,0.20.0,,,25.0,PyO3-based Rust bindings of the NumPy C-API.,2915.0,2915.0,42.0,19,True,1.0,,,
44,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,,MIT,2020-01-22 14:27:57,2024-02-28 10:57:29,2024-02-28 10:57:25,36.0,11.0,70.0,329.0,,2024-02-23 05:59:42,0.28.0,1092.0,22.0,63.0,A morphological analysis library.,742.0,742.0,16.0,19,True,1.0,,,
