,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-12-05 09:46:42,2022-12-05 09:46:42,929.0,1850.0,4396.0,11891.0,8636.0,2022-11-29 20:05:31,0.25.2,229395.0,5595.0,53.0,A high-performance observability data pipeline.,974.0,974.0,280.0,31,True,1,,,
1,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-12-05 10:16:46,2022-12-05 09:20:01,525.0,274.0,2024.0,9534.0,4822.0,2022-12-02 19:03:55,py-0.15.2,,,24.0,"Fast multi-threaded, hybrid-streaming DataFrame library in Rust | Python | Node.js.",1651.0,1651.0,139.0,25,True,1,,,
2,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2022-11-19 00:16:58,2022-11-19 00:05:55,377.0,156.0,308.0,7631.0,1923.0,,,,,,Rayon: A data parallelism library for Rust.,163679.0,163679.0,132.0,25,True,1,10.0,,
3,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-11-27 16:06:14,2022-11-13 17:40:03,361.0,237.0,350.0,2942.0,2497.0,,,,,,Linear algebra library for Rust.,30104.0,30104.0,185.0,25,True,1,,,
4,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2022-11-04 18:07:03,2022-09-27 13:51:02,231.0,110.0,129.0,1934.0,1258.0,,,,,,Graph data structure library for Rust.,78218.0,78218.0,94.0,25,True,1,10.0,,
5,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-12-05 11:38:33,2022-12-03 19:05:04,2500.0,128.0,847.0,10743.0,12751.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,83.0,83.0,967.0,24,True,2,,,
6,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2022-12-05 12:01:12,2022-12-05 10:34:02,312.0,255.0,1189.0,1207.0,4391.0,,,,,,Official Rust implementation of Apache Arrow.,5490.0,5490.0,359.0,24,True,2,,,
7,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2022-12-05 08:52:18,2022-12-05 00:33:36,474.0,575.0,1474.0,2836.0,4784.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,1949.0,1949.0,366.0,23,True,2,,,
8,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-12-01 18:46:42,2022-04-25 02:35:58,406.0,217.0,685.0,2594.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,293.0,293.0,188.0,23,True,1,,,
9,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2022-11-30 15:38:45,2021-12-16 12:50:09,179.0,43.0,143.0,1299.0,432.0,,,,,,"A CSV parser for Rust, with Serde support.",51634.0,51634.0,49.0,23,True,2,10.0,,
10,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2022-12-05 11:30:06,2022-12-01 17:33:59,1104.0,91.0,1167.0,31215.0,,2022-12-05 11:30:06,0.29.3,63940.0,2204.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,117.0,22,True,1,,,
