,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-10-31 12:06:28,2022-10-30 14:19:04,904.0,1820.0,4322.0,11556.0,8425.0,2022-10-13 17:12:05,0.24.2,205771.0,5276.0,50.0,A high-performance observability data pipeline.,964.0,964.0,273.0,31,True,1,,,
1,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-10-31 12:11:02,2022-10-31 11:32:16,480.0,236.0,1907.0,8898.0,4652.0,2022-10-28 09:54:09,rs-0.25.0,,,17.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,1596.0,1596.0,131.0,25,True,1,,,
2,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2022-10-29 08:59:40,2022-10-26 23:32:26,370.0,153.0,306.0,7443.0,1890.0,,,,,,Rayon: A data parallelism library for Rust.,161112.0,161112.0,129.0,25,True,1,10.0,,
3,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-10-30 16:44:52,2022-10-30 16:43:24,359.0,235.0,349.0,2879.0,2497.0,,,,,,Linear algebra library for Rust.,29602.0,29602.0,184.0,25,True,1,,,
4,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2022-10-26 10:32:53,2022-09-27 13:51:02,227.0,107.0,129.0,1898.0,1258.0,,,,,,Graph data structure library for Rust.,76941.0,76941.0,94.0,25,True,1,10.0,,
5,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-10-31 12:51:30,2022-10-31 12:51:30,2464.0,76.0,814.0,10558.0,12575.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,81.0,81.0,959.0,24,True,2,,,
6,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2022-10-31 12:39:26,2022-10-31 04:35:55,295.0,291.0,1066.0,1140.0,4211.0,,,,,,Official Rust implementation of Apache Arrow.,5456.0,5456.0,350.0,24,True,2,,,
7,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2022-10-31 10:32:36,2022-10-31 10:32:36,456.0,546.0,1311.0,2684.0,4564.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,1931.0,1931.0,356.0,23,True,2,,,
8,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-10-28 00:11:51,2022-04-25 02:35:58,404.0,216.0,684.0,2585.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,292.0,292.0,188.0,23,True,1,,,
9,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2022-10-25 02:15:38,2021-12-16 12:50:09,176.0,44.0,142.0,1277.0,432.0,,,,,,"A CSV parser for Rust, with Serde support.",51024.0,51024.0,49.0,23,True,2,10.0,,
10,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2022-10-31 10:08:19,2022-10-27 09:12:48,425.0,177.0,537.0,7213.0,,2022-10-20 01:38:53,0.18.1,,,39.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1026.0,1026.0,113.0,22,True,1,,,
11,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,,Apache-2.0,2013-08-26 05:16:44,2022-10-23 17:42:47,2022-04-16 17:32:31,149.0,54.0,121.0,983.0,1580.0,,,,,,A linear algebra and mathematics library for computer graphics.,12817.0,12817.0,98.0,22,True,1,,,
12,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2022-10-23 20:37:31,2022-10-23 20:37:22,66.0,59.0,68.0,952.0,318.0,2022-09-11 22:29:11,0.6.8-r2,3586.0,179.0,34.0,The Declarative Data Generator.,103.0,103.0,27.0,22,True,3,,,
13,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,,MIT,2016-11-05 21:26:51,2022-10-31 09:44:20,2022-10-31 09:44:20,50.0,6.0,44.0,780.0,553.0,2022-10-23 14:15:03,0.16.2,,,4.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,1306.0,1306.0,22.0,22,True,1,,,
14,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,Unlicense,2015-06-11 23:02:10,2022-10-25 21:47:29,2022-09-03 17:30:50,72.0,5.0,43.0,635.0,188.0,,,,,,A fast implementation of Aho-Corasick in Rust.,294039.0,294039.0,26.0,22,True,1,11.0,,
15,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2022-07-14 17:19:52,2022-07-14 17:19:37,67.0,6.0,42.0,426.0,181.0,,,,,,Optimized string search routines for Rust.,364784.0,364784.0,34.0,22,True,1,10.0,,
16,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,statrs-dev/statrs,MIT,2016-03-11 06:38:50,2022-10-24 10:09:14,2022-09-09 23:13:40,55.0,23.0,81.0,376.0,604.0,2021-06-30 22:40:18,0.15.0,,,2.0,Statistical computation library for Rust.,14561.0,14561.0,26.0,22,True,1,,,
17,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2022-10-31 12:33:47,2022-10-27 21:24:21,1079.0,75.0,1100.0,30497.0,,2022-10-10 12:51:56,0.29.1,59897.0,1815.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,114.0,21,True,1,,,
18,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2022-10-31 10:29:13,2022-10-29 17:55:55,2606.0,458.0,2261.0,8707.0,,2022-10-17 17:44:22,0.10.0,1526.0,25.0,12.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,832.0,21,True,1,,['binding'],
19,evcxr,google/evcxr,ml-frameworks,https://github.com/google/evcxr,https://github.com/google/evcxr,,Apache-2.0,2018-09-25 10:19:22,2022-10-29 06:24:29,2022-10-29 06:19:25,156.0,70.0,103.0,3608.0,,2022-10-29 06:35:14,0.14.1,166.0,166.0,2.0,,148.0,148.0,32.0,21,False,1,,,
20,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,Unlicense,2015-09-05 00:25:46,2022-10-28 04:51:53,2022-07-14 17:22:01,92.0,19.0,57.0,1468.0,262.0,,,,,,Represent large sets and maps compactly with finite state transducers.,9684.0,9684.0,25.0,21,True,3,,,
21,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2022-10-24 20:28:53,2022-10-20 08:46:54,494.0,55.0,194.0,16445.0,677.0,2022-10-20 08:47:16,1.4.0,,,25.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",,,36.0,20,True,2,,,
22,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,,Apache-2.0,2019-10-05 17:38:23,2022-10-21 11:34:26,2022-10-21 11:31:21,143.0,5.0,38.0,5673.0,,2022-10-21 11:37:01,1.4.1,17444.0,484.0,11.0,A command-line tool and Rust library for generating regular expressions from user-provided test cases.,153.0,153.0,9.0,20,True,1,,,
23,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2022-10-21 20:40:29,2022-10-21 20:37:12,190.0,9.0,602.0,4157.0,1391.0,2022-10-21 20:40:29,3000.1.5,15878.0,200.0,100.0,Making Postgres and Elasticsearch work together like it's 2022.,,,31.0,20,False,2,,,
24,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,,BSD-2-Clause,2017-04-21 06:36:48,2022-10-17 06:44:25,2022-10-17 06:42:44,73.0,4.0,100.0,718.0,,2022-09-16 18:00:36,0.17.2,,,22.0,PyO3-based Rust bindings of the NumPy C-API.,2221.0,2221.0,36.0,20,True,1,,,
25,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2022-10-06 13:45:59,2022-10-06 13:45:56,489.0,202.0,472.0,5988.0,,2022-10-06 13:10:07,node-v0.13.1,,,64.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,52.0,52.0,60.0,19,True,1,-2.0,,
26,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/databend,https://github.com/datafuselabs/databend,datafuselabs/databend,Apache-2.0,2020-10-10 06:04:42,2022-10-31 12:53:58,2022-10-31 12:29:08,484.0,484.0,2827.0,4715.0,,,,3509.0,1754.0,100.0,A powerful cloud data warehouse. Built for elasticity and efficiency. Free and open. Also available in the cloud:..,,,161.0,19,True,3,,,
27,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,,MIT,2015-04-14 06:32:54,2022-10-23 18:05:58,2022-10-23 13:53:51,96.0,26.0,301.0,1099.0,1050.0,,,,,,Rust bindings for OpenCV 3 & 4.,753.0,753.0,33.0,19,True,2,,['binding'],
28,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,,MIT,2015-09-27 18:11:32,2022-10-05 08:27:43,2022-07-02 08:26:54,111.0,64.0,109.0,497.0,670.0,,,,,,Image processing operations.,2583.0,2583.0,61.0,19,True,2,,,
29,milli,meilisearch/milli,apps,https://github.com/meilisearch/milli,https://github.com/meilisearch/milli,,MIT,2020-05-31 12:21:55,2022-10-30 08:09:45,2022-10-30 07:09:30,68.0,19.0,146.0,381.0,,2022-10-26 15:37:10,0.35.0,,,68.0,Search engine library for Meilisearch.,488.0,488.0,32.0,19,True,2,,,
30,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,,MIT,2018-10-02 17:55:03,2022-09-30 13:22:50,2022-09-30 13:22:46,25.0,6.0,20.0,287.0,,2022-04-28 06:39:51,0.10.0,,,2.0,Rust library for regular expressions using fancy features like look-around and backreferences.,6336.0,6336.0,18.0,19,True,1,,,
31,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,,Apache-2.0,2019-08-29 08:59:32,2022-08-30 07:37:09,2022-08-30 07:37:08,23.0,5.0,27.0,196.0,2776.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,14.0,14.0,28.0,19,True,1,,,
32,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2022-10-31 08:57:22,2022-10-30 10:55:17,125.0,17.0,306.0,2853.0,985.0,2022-10-26 11:55:31,0.11.0,,,30.0,Qdrant - Vector Search Engine for the next generation of AI applications.,,,28.0,18,True,3,,,
33,quickwit,quickwit-inc/quickwit,apps,https://github.com/quickwit-oss/quickwit,https://github.com/quickwit-oss/quickwit,quickwit-oss/quickwit,,2021-04-13 22:45:40,2022-10-31 12:56:57,2022-10-31 08:47:20,135.0,218.0,742.0,2614.0,,2022-06-22 18:38:05,0.3.1,1386.0,92.0,5.0,Cloud-native search engine for log management & analytics.,61.0,61.0,35.0,18,False,3,,,
34,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,Apache-2.0,2018-04-05 07:03:30,2022-10-26 23:45:04,2022-10-26 06:50:36,136.0,33.0,62.0,1999.0,285.0,2022-06-15 05:07:41,0.6.0,,,8.0,A Rust machine learning framework.,,,30.0,18,True,1,,,
35,Rust-CUDA,RDambrosio016/Rust-CUDA,other,https://github.com/Rust-GPU/Rust-CUDA,https://github.com/Rust-GPU/Rust-CUDA,Rust-GPU/Rust-CUDA,Apache-2.0,2021-10-17 23:37:05,2022-10-25 08:19:30,2022-07-01 21:05:30,73.0,36.0,17.0,1984.0,197.0,2022-02-07 20:44:13,0.3,,,2.0,Ecosystem of libraries and tools for writing and executing fast GPU code fully in Rust.,76.0,76.0,11.0,18,True,1,,,
