,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
39,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2021-04-08 21:23:48,2021-04-08 21:21:47,4.0,5.0,8.0,269.0,,2021-04-08 21:24:49,1.2.0,,,6.0,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",2.0,12,True,2,,,,-1.0,
40,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,3.0,4.0,3.0,98.0,102.0,2020-11-17 23:04:49,0.2.0,,,1.0,Orkhon: ML Inference Framework and Server Runtime.,,12,False,2,,,,,
41,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs,https://github.com/sreeise/graph-rs,MIT,2018-12-18 13:17:11,2021-04-11 10:22:18,2021-03-22 02:48:37,5.0,31.0,156.0,17.0,501.0,2021-01-19 08:16:15,0.0.2,,,2.0,Graph API client writen in Rust.,2.0,12,False,3,,,,,True
42,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,2015-06-11 23:02:10,2020-11-03 17:22:00,2020-11-03 17:20:49,51.0,2.0,29.0,435.0,169.0,,,,,,A fast implementation of Aho-Corasick in Rust.,22.0,11,False,2,,,,,
43,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/vbarrielle/sprs,https://github.com/vbarrielle/sprs,,2015-05-17 19:01:01,2021-04-08 18:36:56,2021-03-18 20:37:54,24.0,32.0,95.0,228.0,1012.0,,,,,,sparse linear algebra library for rust.,20.0,11,False,2,,,,,True
44,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,2018-04-20 18:38:06,2021-04-03 12:40:23,2021-03-31 03:41:32,9.0,7.0,14.0,205.0,1165.0,,,,,,"Rust numeric library with R, MATLAB & Python syntax.",9.0,11,False,2,,,,,
45,rs-natural,christophertrml/rs-natural,nlp,https://github.com/christophertrml/rs-natural,https://github.com/christophertrml/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,27.0,2.0,7.0,191.0,97.0,,,,,,Natural Language Processing for Rust.,14.0,11,False,2,,,,,
46,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,MIT,2019-06-22 20:37:19,2021-02-04 03:11:05,2021-02-04 03:11:00,13.0,,1.0,128.0,164.0,2019-09-04 00:34:56,1.0,,,1.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,11,True,2,,,,,
47,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/snipsco/rustling-ontology,https://github.com/snipsco/rustling-ontology,,2017-04-24 15:08:48,2020-10-07 11:29:12,2020-10-07 11:29:08,46.0,28.0,26.0,110.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,19.0,11,False,2,,,,,
48,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,MIT,2020-04-04 17:46:04,2021-03-15 07:00:22,2021-03-15 07:00:17,7.0,24.0,2.0,109.0,562.0,,,,,,Rust CV mono-repo.,4.0,11,True,3,,,,,
