,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,updated_github_id,trending,new_addition
0,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-05-10 12:30:25,2021-05-09 02:46:44,481.0,1243.0,2238.0,7051.0,4449.0,2021-04-29 15:22:17,0.13.1,37590.0,1708.0,21.0,"A high-performance, highly reliable, observability data pipeline.",135.0,23,True,1,,,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2021-05-10 12:02:28,2021-05-10 11:56:42,1809.0,7.0,593.0,7876.0,9186.0,,,,,,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,673.0,22,True,2,41.0,41.0,,,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-05-10 09:14:34,2021-04-21 22:09:58,338.0,100.0,327.0,4504.0,1453.0,2021-04-05 20:48:25,python-v0.10.2,,,40.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,40.0,21,True,1,32.0,32.0,,,,
3,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2021-04-28 19:49:27,2021-01-28 22:52:55,365.0,192.0,673.0,2326.0,3150.0,2021-01-06 07:40:18,rusoto-v0.46.0,,,40.0,AWS SDK for Rust.,179.0,20,True,1,,,,,,
4,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-05-10 08:40:05,2021-05-10 05:51:18,1871.0,131.0,1681.0,6647.0,,2020-10-02 18:30:42,0.7.0,581.0,13.0,9.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",539.0,18,True,1,,,['binding'],,,
5,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2021-05-06 21:25:55,2021-05-06 21:25:47,85.0,6.0,26.0,3719.0,,2021-03-28 22:11:03,1.2.0,3301.0,173.0,8.0,A command-line tool and library for generating regular expressions from user-provided test cases.,3.0,17,True,1,,,,,,
6,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,232.0,68.0,95.0,2587.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,17,False,1,2.0,2.0,,,,
7,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2021-05-10 09:45:16,2021-05-10 09:45:16,260.0,166.0,287.0,2106.0,1881.0,,,,,,Linear algebra library for Rust.,134.0,17,True,1,,,,,,
8,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,MIT,2020-05-13 19:45:33,2021-05-09 20:37:46,2021-05-09 20:33:03,81.0,29.0,256.0,1649.0,1531.0,,,,,,Fast multi-threaded DataFrame library in Rust and Python.,24.0,17,True,2,3.0,3.0,,pola-rs/polars,,
9,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-03-01 07:35:57,2021-02-18 04:15:09,245.0,30.0,101.0,3064.0,629.0,,,,,,Rust language bindings for TensorFlow.,37.0,16,True,1,,,['binding'],,,
10,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,Apache-2.0,2019-07-04 17:09:41,2021-04-20 00:28:06,2021-04-20 00:28:05,137.0,,251.0,2245.0,,2021-02-23 02:39:20,0.4.1,,,17.0,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",37.0,16,True,1,,,,,,
11,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-05-10 11:50:12,2021-05-10 11:50:11,18.0,3.0,27.0,125.0,2487.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,28.0,16,True,1,,,,,,
12,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,2014-10-02 15:38:05,2021-05-04 23:25:24,2021-05-04 00:28:44,271.0,120.0,264.0,5085.0,1755.0,,,,,,Rayon: A data parallelism library for Rust.,116.0,15,False,2,,,,,,
13,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,2014-12-22 08:15:12,2021-05-10 03:52:20,2021-05-08 21:08:58,175.0,81.0,115.0,1260.0,1216.0,,,,,,Graph data structure library for Rust.,75.0,15,False,1,,,,,,
14,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2021-05-10 12:31:20,2021-05-09 16:12:01,98.0,21.0,48.0,942.0,,2021-04-19 08:52:38,0.14.0,2277.0,253.0,17.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",23.0,15,False,2,,,,,,
15,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,Apache-2.0,2013-08-26 05:16:44,2021-04-21 02:17:06,2021-04-21 02:17:06,133.0,51.0,115.0,803.0,1566.0,,,,,,A linear algebra and mathematics library for computer graphics.,93.0,15,True,1,,,,,,
16,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2021-04-18 21:29:54,2021-04-18 21:29:48,30.0,3.0,37.0,572.0,484.0,2019-03-03 16:17:34,0.7.0,,,3.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,14.0,15,True,1,,,,,,
17,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,2019-02-27 03:27:23,2021-05-10 05:46:17,2021-05-07 23:54:36,29.0,13.0,25.0,458.0,,2021-04-27 21:08:41,0.0.10,,,4.0,High-performance automatic differentiation of LLVM.,1257.0,15,False,2,,,,,,
18,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2021-05-09 23:52:10,2021-05-09 23:52:10,60.0,14.0,46.0,449.0,,2021-03-17 03:43:02,0.13.1,,,11.0,PyO3-based Rust binding of NumPy C-API.,27.0,15,True,2,,,,,,
19,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,2019-08-26 08:06:48,2021-05-07 07:17:02,2021-05-07 07:17:01,43.0,9.0,35.0,1384.0,,2021-03-26 11:26:35,0.8.2,1968.0,93.0,14.0,Example-based texture synthesis written in Rust.,18.0,14,False,2,,,,,,
