,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending
137,deepfrog,proycon/deepfrog,nlp,https://github.com/proycon/deepfrog,https://github.com/proycon/deepfrog,,GPL-3.0,2020-02-12 12:28:13,2021-07-14 17:51:10,2021-04-18 16:58:45,1.0,5.0,3.0,16.0,128.0,2021-04-11 13:32:18,0.2.1,,,2.0,An NLP-suite powered by deep learning.,,8,False,3,,,,
138,flaco,milesgranger/flaco,data-loading,https://github.com/milesgranger/flaco,https://github.com/milesgranger/flaco,,,2021-09-28 17:42:53,2021-12-31 20:25:48,2021-12-23 08:30:51,,,,13.0,43.0,2021-12-23 08:37:57,0.5.1,,,9.0,(PoC) Perhaps the most memory-efficient way to read data from PostgreSQL into pandas/numpy.,,8,False,3,,,,
139,batched-fn,epwalsh/batched-fn,ml-frameworks,https://github.com/epwalsh/batched-fn,https://github.com/epwalsh/batched-fn,,Apache-2.0,2020-03-20 22:06:11,2022-04-01 18:50:18,2022-04-01 18:50:17,1.0,3.0,2.0,9.0,,2022-03-14 18:46:50,0.2.4,,,1.0,Rust server plugin for deploying deep learning models with batched prediction.,2.0,8,False,3,,,,
140,awabi,nakagami/awabi,nlp,https://github.com/nakagami/awabi,https://github.com/nakagami/awabi,,MIT,2020-03-12 23:10:27,2022-04-09 06:01:46,2022-04-09 06:01:05,,,,8.0,60.0,,,,,,A morphological analyzer using mecab dictionary.,,8,False,3,,,,
141,liblinear-rs,shademe/liblinear-rs,ml-frameworks,https://github.com/shadeMe/liblinear-rs,https://github.com/shadeMe/liblinear-rs,,MIT,2018-10-02 11:55:10,2022-03-23 11:41:23,2019-10-24 15:17:49,2.0,,2.0,7.0,39.0,,,,,,Rust language bindings for the LIBLINEAR C/C++ library.,,8,False,3,,,['binding'],
142,rstats,liborty/rstats,ml-frameworks,https://github.com/liborty/rstats,https://github.com/liborty/rstats,,Apache-2.0,2020-08-30 04:06:51,2022-02-28 13:53:25,2022-02-28 13:53:13,1.0,,,5.0,317.0,,,,,,Rust Statistics and Vector Algebra Library.,2.0,8,False,3,,,,
143,eval-metrics,benjarison/eval-metrics,interpret,https://github.com/benjarison/eval-metrics,https://github.com/benjarison/eval-metrics,,,2020-05-21 04:00:07,2022-01-12 18:45:52,2022-01-12 18:45:08,,,,5.0,79.0,2022-01-12 18:45:52,1.0.1,,,4.0,Evaluation metrics for machine learning.,,8,False,1,,,,
144,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,https://github.com/danieldk/alpino-tokenizer,https://github.com/danieldk/alpino-tokenizer,,Apache-2.0,2019-10-08 07:11:10,2021-07-13 04:50:15,2020-10-08 09:13:16,,,,3.0,38.0,2020-10-08 08:49:03,0.3.0,15.0,0.0,1.0,Rust wrapper for the Alpino tokenizer.,,8,False,3,,,,
145,gamma,metamolecular/gamma,ml-frameworks,https://github.com/metamolecular/gamma,https://github.com/metamolecular/gamma,,,2020-02-14 14:48:02,2021-01-25 18:43:42,2021-01-25 18:42:39,4.0,,6.0,114.0,50.0,,,,,,A graph library for Rust.,3.0,7,False,3,,,,
146,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,https://github.com/outbrain/fwumious_wabbit,https://github.com/outbrain/fwumious_wabbit,,,2020-09-14 12:52:38,2022-04-21 21:34:14,2021-12-19 14:52:30,12.0,1.0,1.0,106.0,,,,,,,"Fwumious Wabbit, fast on-line machine learning toolkit written in Rust.",10.0,7,False,3,,,,
