,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-01-17 12:22:29,2022-01-17 08:33:26,671.0,1707.0,3131.0,8910.0,6184.0,2021-12-28 18:00:34,0.19.0,95005.0,3166.0,34.0,"A reliable, high-performance tool for building observability data pipelines.",194.0,25,True,1,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-01-17 12:19:34,2022-01-17 09:43:57,2062.0,14.0,693.0,8949.0,10733.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,790.0,24,True,1,61.0,61.0,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2022-01-17 09:32:57,2022-01-17 09:32:46,419.0,149.0,402.0,5155.0,1517.0,2022-01-17 09:30:23,python-v0.11.3,,,48.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,50.0,21,True,1,40.0,40.0,,
3,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/MeiliSearch,https://github.com/meilisearch/MeiliSearch,,MIT,2018-04-23 11:45:28,2022-01-17 12:07:09,2022-01-13 13:47:03,713.0,49.0,771.0,20710.0,,2022-01-13 16:02:56,0.25.1,26348.0,1013.0,78.0,"Powerful, fast, and an easy to use search engine.",79.0,20,True,1,,,,
4,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2021-12-01 08:01:35,2021-12-01 08:01:33,414.0,46.0,185.0,12470.0,634.0,2021-11-09 17:15:58,1.3.2,584.0,17.0,21.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",30.0,20,True,1,,,,
5,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2021-12-23 18:40:02,2021-12-17 18:29:48,171.0,14.0,556.0,3814.0,1277.0,2021-12-17 19:50:41,3000.0.7,15851.0,220.0,100.0,Making Postgres and Elasticsearch work together like it's 2021.,25.0,20,False,1,,,,
6,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2021-12-30 11:24:10,2021-07-26 14:25:10,391.0,211.0,681.0,2494.0,3167.0,2021-08-21 01:09:06,rusoto-v0.47.0,,,41.0,AWS SDK for Rust.,186.0,20,True,1,,,1.0,
7,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2022-01-17 11:16:36,2022-01-17 07:35:57,2213.0,187.0,1913.0,7599.0,,2021-11-24 17:14:48,0.8.0,844.0,16.0,10.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",682.0,19,True,1,,,,['binding']
8,synth,openquery-io/synth,data-loading,https://github.com/getsynth/synth,https://github.com/getsynth/synth,getsynth/synth,Apache-2.0,2020-08-09 08:51:34,2022-01-17 11:18:54,2022-01-16 17:32:00,53.0,42.0,41.0,721.0,281.0,2022-01-12 16:04:24,0.6.4,1753.0,159.0,29.0,The Declarative Data Generator.,25.0,19,True,2,,,,
9,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-01-13 09:28:11,2022-01-09 13:40:39,306.0,202.0,324.0,2501.0,2264.0,,,,,,Linear algebra library for Rust.,165.0,18,True,1,,,,
