,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,trending,labels
67,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2021-09-08 01:20:54,2020-07-24 16:19:15,2.0,3.0,6.0,36.0,152.0,OpenAI Gym bindings for Rust.,,,3.0,11,False,2,,2019-10-11 20:43:19,1.0.0,,,1.0,,['binding']
68,visionmagic,visioncortex/visionmagic,image,https://github.com/visioncortex/visionmagic,https://github.com/visioncortex/visionmagic,,2020-12-16 15:07:32,2021-07-24 09:05:13,2021-07-24 09:05:06,4.0,,,32.0,39.0,Collection of vision & graphics algorithms.,,,3.0,11,False,3,,2021-07-23 10:16:58,0.2.0,,,4.0,,
69,black-jack,milesgranger/black-jack,ml-frameworks,https://github.com/milesgranger/black-jack,https://github.com/milesgranger/black-jack,GPL-3.0,2018-08-18 14:31:48,2021-07-22 04:16:28,2021-04-29 19:39:04,5.0,8.0,42.0,28.0,217.0,DataFrame / Series data processing in Rust.,,,2.0,11,False,2,,2019-04-28 11:10:27,0.1.0,,,2.0,,
70,datafrog,rust-lang/datafrog,data-loading,https://github.com/rust-lang/datafrog,https://github.com/rust-lang/datafrog,,2018-05-16 13:37:32,2021-09-13 18:01:18,2021-09-13 18:00:45,32.0,4.0,4.0,436.0,130.0,A lightweight Datalog engine in Rust.,,,13.0,10,False,3,,,,,,,,
71,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,31.0,1.0,2.0,303.0,41.0,A neural network crate.,,,2.0,10,False,3,,,,,,,,
72,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,20.0,12.0,26.0,285.0,119.0,"A Rust DataFrame implementation, built on Apache Arrow.",,,4.0,10,True,3,,,,,,,,
73,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2021-08-22 13:10:09,2021-08-13 02:09:24,18.0,2.0,17.0,224.0,,Rust library for regular expressions using fancy features like look-around and backreferences.,,,16.0,10,True,2,,,,,,,,
74,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,1.0,4.0,194.0,78.0,Neural networks in Rust.,,,2.0,10,False,3,,,,,,,,
75,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2021-08-09 15:11:14,2021-04-29 16:40:54,18.0,26.0,19.0,172.0,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,,,14.0,10,True,3,,,,,,,,
76,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,MIT,2019-06-22 20:37:19,2021-02-04 03:11:05,2021-02-04 03:11:00,15.0,,1.0,137.0,164.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,,,10,True,3,,2019-09-04 00:34:56,1.0,,,1.0,,
