,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,trending,labels
50,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,Apache-2.0,2020-07-19 16:24:54,2022-07-06 20:57:31,2022-02-04 11:05:28,38.0,20.0,29.0,520.0,,2021-04-24 09:12:56,0.6.4,28440.0,980.0,27.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",50.0,50.0,7.0,17,False,2.0,,,
51,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,Apache-2.0,2018-04-20 18:38:06,2023-04-04 05:14:13,2023-04-04 05:11:46,24.0,11.0,18.0,376.0,1352.0,,,,,,"Rust numeric library with R, MATLAB & Python syntax.",106.0,106.0,11.0,17,True,2.0,,,
52,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/sparsemat/sprs,https://github.com/sparsemat/sprs,sparsemat/sprs,Apache-2.0,2015-05-17 19:01:01,2023-04-23 10:23:31,2023-04-23 10:23:31,37.0,43.0,102.0,334.0,1101.0,,,,,,sparse linear algebra library for rust.,12.0,12.0,31.0,17,True,2.0,,,
53,sudachi.rs,WorksApplications/sudachi.rs,nlp,https://github.com/WorksApplications/sudachi.rs,https://github.com/WorksApplications/sudachi.rs,,Apache-2.0,2019-11-23 12:04:58,2023-02-15 07:38:03,2023-02-15 07:30:32,23.0,27.0,100.0,220.0,,2023-02-15 07:32:48,0.6.7,124.0,6.0,9.0,Sudachi in Rust and new generation of SudachiPy.,546.0,546.0,7.0,17,True,2.0,,,
54,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,,Apache-2.0,2016-02-05 00:32:17,2023-04-24 03:07:05,2023-04-24 03:07:05,369.0,50.0,123.0,4394.0,871.0,,,,,,Rust language bindings for TensorFlow.,,,47.0,16,True,2.0,,,['binding']
55,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,,Apache-2.0,2020-10-28 03:19:33,2023-04-28 09:31:42,2023-04-28 09:25:25,265.0,201.0,854.0,2378.0,,2023-04-25 13:55:32,0.21.0,60.0,2.0,25.0,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba.,,,51.0,16,True,2.0,,,
56,vega,rajasekarv/vega,analysis,https://github.com/rajasekarv/vega,https://github.com/rajasekarv/vega,,Apache-2.0,2019-10-22 19:13:09,2022-04-18 16:10:37,2021-06-29 20:02:50,197.0,32.0,31.0,2155.0,416.0,,,,,,A new arguably faster implementation of Apache Spark from scratch in Rust.,5.0,5.0,22.0,16,False,1.0,,,
57,weggli,googleprojectzero/weggli,apps,https://github.com/weggli-rs/weggli,https://github.com/weggli-rs/weggli,weggli-rs/weggli,Apache-2.0,2021-09-30 16:06:12,2022-12-06 13:49:54,2022-12-06 13:49:53,111.0,27.0,27.0,2068.0,,2022-05-31 12:23:06,0.2.4,,,3.0,weggli is a fast and robust semantic search tool for C and C++ codebases. It is designed to help security researchers..,84.0,84.0,9.0,16,True,3.0,,,
58,bayard,bayard-search/bayard,apps,https://github.com/mosuka/bayard,https://github.com/mosuka/bayard,mosuka/bayard,MIT,2019-11-01 09:54:55,2023-03-06 15:17:06,2022-10-11 12:50:46,66.0,7.0,40.0,1791.0,,2022-08-03 06:37:23,0.9.0,7.0,0.0,18.0,A full-text search and indexing server written in Rust.,18.0,18.0,13.0,16,True,3.0,,,
59,lance,eto-ai/lance,data-loading,https://github.com/eto-ai/lance,https://github.com/eto-ai/lance,,Apache-2.0,2022-07-07 22:29:29,2023-05-01 06:44:21,2023-05-01 02:07:51,56.0,67.0,198.0,1489.0,,2023-04-25 20:53:28,0.4.4,,,42.0,Modern columnar data format for ML implemented in Rust. Convert from parquet in 2 lines of code for 100x faster random..,9.0,9.0,16.0,16,True,3.0,,,
60,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,,2017-01-14 21:27:49,2023-04-13 17:02:23,2023-03-25 05:50:40,76.0,31.0,54.0,1032.0,1434.0,,,,,,The Hacker's Machine Learning Engine.,57.0,57.0,47.0,16,False,2.0,,,
61,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,,Apache-2.0,2020-06-17 10:47:30,2023-04-27 21:48:27,2023-04-27 21:48:22,22.0,8.0,26.0,623.0,,2022-04-08 10:11:01,1.4.0,,,13.0,"The most accurate natural language detection library for Rust, suitable for long and short text alike.",71.0,71.0,6.0,16,True,2.0,,,
62,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,,Apache-2.0,2015-12-03 21:48:17,2021-06-07 09:09:59,2020-06-21 02:01:58,50.0,10.0,5.0,568.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,116.0,116.0,9.0,16,False,2.0,,,
63,mosec,mosecorg/mosec,mlops,https://github.com/mosecorg/mosec,https://github.com/mosecorg/mosec,,Apache-2.0,2021-03-13 04:07:20,2023-04-29 03:50:49,2023-04-29 03:31:00,33.0,14.0,57.0,457.0,,2023-04-03 05:26:26,0.6.5,,,31.0,"A high-performance serving framework for ML models, offers dynamic batching and multi-stage pipeline to fully exploit..",10.0,10.0,9.0,16,True,1.0,True,,
