,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-03-14 12:34:56,2022-03-11 23:30:45,710.0,1762.0,3329.0,9559.0,6736.0,2022-02-11 03:02:54,0.20.0,107995.0,3374.0,38.0,A high-performance observability data pipeline.,205.0,25,True,1,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-03-14 12:25:40,2022-03-14 08:32:22,2144.0,27.0,710.0,9227.0,11091.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,818.0,24,True,1,64.0,64.0,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2022-03-14 11:18:11,2022-03-14 11:18:11,435.0,169.0,420.0,5338.0,1547.0,2022-02-28 10:53:49,0.11.2,,,54.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,54.0,22,True,1,42.0,42.0,1.0,
3,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2022-03-13 20:02:25,2022-02-28 15:23:42,780.0,51.0,829.0,22701.0,,2022-01-18 16:03:14,0.25.2,30779.0,1099.0,85.0,"Powerful, fast, and an easy to use search engine.",79.0,21,True,1,,,1.0,
4,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2022-03-07 08:18:42,2022-02-28 08:27:46,429.0,46.0,186.0,12657.0,641.0,2021-11-09 17:15:58,1.3.2,588.0,16.0,21.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",31.0,20,True,1,,,,
5,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2022-03-09 18:56:04,2022-03-01 19:14:20,173.0,6.0,570.0,3889.0,1298.0,2022-03-01 16:24:57,3000.0.10,15621.0,211.0,100.0,Making Postgres and Elasticsearch work together like it's 2021.,26.0,20,False,1,,,,
6,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2022-03-14 12:27:23,2022-03-14 09:34:44,2280.0,261.0,1958.0,7825.0,,2021-11-24 17:14:48,0.8.0,948.0,17.0,10.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",716.0,19,True,1,,,,['binding']
7,synth,openquery-io/synth,data-loading,https://github.com/getsynth/synth,https://github.com/getsynth/synth,getsynth/synth,Apache-2.0,2020-08-09 08:51:34,2022-02-28 14:30:04,2022-02-16 12:56:59,56.0,40.0,54.0,772.0,295.0,2022-02-10 21:21:47,0.6.5-r1,2086.0,160.0,30.0,The Declarative Data Generator.,25.0,19,True,2,,,,
8,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-03-12 22:15:07,2022-03-10 08:33:45,318.0,208.0,332.0,2574.0,2264.0,,,,,,Linear algebra library for Rust.,169.0,18,True,1,,,,
9,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2021-12-30 11:24:10,2021-07-26 14:25:10,391.0,211.0,682.0,2514.0,3167.0,2021-08-21 01:09:06,rusoto-v0.47.0,,,41.0,AWS SDK for Rust.,186.0,18,True,1,,,-2.0,
