,name,github_id,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,new_addition
0,tokenizers,huggingface/tokenizers,nlp,{},207222.0,207222.0,150.0,10,False,1.0,,,
1,aho-corasick,BurntSushi/aho-corasick,nlp,{},644332.0,644332.0,36.0,10,False,1.0,,,
2,rayon,rayon-rs/rayon,data-loading,{},316780.0,316780.0,160.0,10,False,1.0,,,
3,memchr,BurntSushi/memchr,nlp,{},836772.0,836772.0,54.0,10,False,1.0,,,
4,polars,ritchie46/polars,data-loading,{},36282.0,36282.0,761.0,9,False,1.0,,,
5,petgraph,petgraph/petgraph,graph,{},158394.0,158394.0,144.0,9,False,1.0,,,
6,nalgebra,dimforge/nalgebra,ml-frameworks,{},51804.0,51804.0,238.0,9,False,1.0,,,
7,rust-csv,BurntSushi/rust-csv,data-loading,{},104047.0,104047.0,58.0,9,False,1.0,,,
8,arrow-datafusion,apache/arrow-datafusion,data-loading,{},4711.0,4711.0,1250.0,9,False,1.0,,,
9,tiktoken,openai/tiktoken,nlp,{},196363.0,196363.0,25.0,9,False,1.0,,,
10,fancy-regex,fancy-regex/fancy-regex,nlp,{},24261.0,24261.0,34.0,8,False,1.0,,,
11,statrs,boxtown/statrs,ml-frameworks,{},20007.0,20007.0,70.0,8,False,1.0,,,
12,arrow-rs,apache/arrow-rs,data-loading,{},11855.0,11855.0,880.0,8,False,2.0,,,
13,lance,eto-ai/lance,data-loading,{},6794.0,6794.0,270.0,8,False,2.0,,,
14,candle,huggingface/candle,ml-frameworks,{},4193.0,4193.0,283.0,8,False,1.0,,,
15,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,{},1281.0,1281.0,211.0,7,False,1.0,['binding'],,
16,imageproc,image-rs/imageproc,image,{},8152.0,8152.0,94.0,7,False,1.0,,,
17,cgmath,rustgd/cgmath,image,{},16670.0,16670.0,99.0,7,False,1.0,,,
18,fst,BurntSushi/fst,data-loading,{},14260.0,14260.0,25.0,7,False,2.0,,,
19,tantivy,tantivy-search/tantivy,apps,{},3640.0,3640.0,204.0,7,False,1.0,,,
20,delta-rs,delta-io/delta-rs,data-loading,{},2318.0,2318.0,302.0,7,False,2.0,,,
21,burn,burn-rs/burn,ml-frameworks,{},1503.0,1503.0,315.0,7,False,1.0,,,
22,linfa,rust-ml/linfa,ml-frameworks,{},950.0,950.0,66.0,6,False,1.0,,,
23,tch-rs,LaurentMazare/tch-rs,ml-frameworks,{},3146.0,3146.0,82.0,6,False,1.0,['binding'],,
24,rusoto,rusoto/rusoto,ml-frameworks,{},317.0,317.0,189.0,6,False,1.0,,,
25,opencv-rust,twistedfall/opencv-rust,image,{},2230.0,2230.0,57.0,6,False,2.0,['binding'],,
