,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,labels
53,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,2015-07-17 16:53:20,2024-07-24 15:14:41,2024-07-24 14:56:51,210.0,11.0,670.0,4685.0,1641.0,2024-07-24 15:14:41,3000.2.6,8453.0,90.0,100.0,Making Postgres and Elasticsearch work together like it's 2023.,,,35.0,18,False,2.0,,,
54,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2024-09-29 14:13:25,2024-09-29 14:12:54,211.0,58.0,159.0,2632.0,,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",617.0,617.0,48.0,18,True,2.0,,,
55,chat-ai-desktop,sonnylazuardi/chat-ai-desktop,apps,https://github.com/sonnylazuardi/chat-ai-desktop,https://github.com/sonnylazuardi/chat-ai-desktop,MIT,2022-12-04 07:57:40,2023-12-23 19:38:01,2023-03-20 10:17:05,191.0,38.0,18.0,1988.0,76.0,2023-03-20 02:13:27,0.5.0,25831.0,1291.0,3.0,Unofficial ChatGPT desktop app for Mac & Windows menubar using Tauri & Rust.,,,6.0,18,False,2.0,,,
56,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,Apache-2.0,2020-07-19 16:24:54,2023-05-23 00:44:59,2022-02-04 11:05:28,39.0,22.0,30.0,599.0,,2021-04-24 09:12:56,0.6.4,56104.0,1193.0,27.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",63.0,63.0,7.0,18,False,2.0,,,
57,sudachi.rs,WorksApplications/sudachi.rs,nlp,https://github.com/WorksApplications/sudachi.rs,https://github.com/WorksApplications/sudachi.rs,Apache-2.0,2019-11-23 12:04:58,2024-10-25 07:20:46,2024-06-28 01:11:04,32.0,29.0,117.0,318.0,,2023-12-14 01:45:09,0.6.8,323.0,8.0,10.0,Sudachi in Rust and new generation of SudachiPy.,1382.0,1382.0,15.0,18,True,2.0,,,
58,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2022-08-30 07:37:09,2022-08-30 07:37:08,25.0,5.0,27.0,200.0,2776.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,14.0,14.0,28.0,18,False,2.0,,,
59,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs-sdk,https://github.com/sreeise/graph-rs-sdk,MIT,2018-12-18 13:17:11,2024-10-10 10:05:14,2024-10-10 10:04:23,30.0,19.0,249.0,112.0,961.0,2024-10-10 10:05:14,2.0.3,,,21.0,Microsoft Graph API Client And Identity Platform Client in Rust.,59.0,59.0,16.0,18,True,2.0,sreeise/graph-rs-sdk,,
60,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,Apache-2.0,2020-10-28 03:19:33,2024-10-30 06:39:09,2024-10-30 06:06:19,405.0,392.0,1209.0,3281.0,,2024-09-29 09:50:56,0.29.0,206.0,4.0,33.0,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba |.,,,70.0,17,True,3.0,,,
61,Rust-CUDA,RDambrosio016/Rust-CUDA,other,https://github.com/Rust-GPU/Rust-CUDA,https://github.com/Rust-GPU/Rust-CUDA,Apache-2.0,2021-10-17 23:37:05,2023-11-09 11:25:37,2022-07-01 21:05:30,116.0,55.0,21.0,3124.0,197.0,2022-02-07 20:44:13,0.3,,,2.0,Ecosystem of libraries and tools for writing and executing fast GPU code fully in Rust.,101.0,101.0,11.0,17,False,1.0,Rust-GPU/Rust-CUDA,,
62,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2022-06-22 01:07:30,2020-04-04 20:50:54,252.0,72.0,96.0,2994.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,5.0,5.0,37.0,17,False,2.0,,,
63,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2024-10-22 12:36:51,2024-10-17 05:52:51,155.0,28.0,500.0,1987.0,1520.0,,,,,,Rust bindings for OpenCV 3 & 4.,,,51.0,17,True,2.0,,,['binding']
64,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,Apache-2.0,2019-08-26 08:06:48,2023-01-22 17:30:52,2023-01-22 17:30:50,80.0,11.0,38.0,1763.0,,2021-03-26 11:26:35,0.8.2,4987.0,79.0,14.0,Example-based texture synthesis written in Rust.,117.0,117.0,19.0,17,False,2.0,,,
65,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,147.0,33.0,67.0,1253.0,532.0,,,,,,Machine Learning library for Rust.,455.0,455.0,20.0,17,False,2.0,,,
66,RustQuant,avhz/RustQuant,apps,https://github.com/avhz/RustQuant,https://github.com/avhz/RustQuant,Apache-2.0,2022-08-31 10:03:24,2024-10-30 22:18:02,2024-10-30 22:09:19,126.0,28.0,96.0,1117.0,,2024-10-29 21:12:50,RustQuant-v0.2.12,,,66.0,Rust library for quantitative finance.,19.0,19.0,41.0,17,True,3.0,,,
67,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,Apache-2.0,2018-07-22 10:09:33,2024-11-01 04:53:56,2024-10-27 06:16:27,78.0,28.0,97.0,1006.0,,2024-02-27 15:15:01,argmin-v0.10.0,,,33.0,Numerical optimization in pure Rust.,556.0,556.0,41.0,17,True,2.0,,,
68,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2024-10-30 09:47:58,2024-10-30 09:47:00,41.0,11.0,44.0,889.0,,2023-12-12 20:45:20,1.6.2,,,17.0,"The most accurate natural language detection library for Rust, suitable for short text and mixed-language text.",201.0,201.0,6.0,17,True,2.0,,,
69,datafrog,rust-lang/datafrog,data-loading,https://github.com/rust-lang/datafrog,https://github.com/rust-lang/datafrog,Apache-2.0,2018-05-16 13:37:32,2022-01-20 20:23:52,2022-01-20 20:23:52,42.0,5.0,6.0,801.0,136.0,,,,,,A lightweight Datalog engine in Rust.,5666.0,5666.0,13.0,17,False,3.0,,,
70,mosec,mosecorg/mosec,mlops,https://github.com/mosecorg/mosec,https://github.com/mosecorg/mosec,Apache-2.0,2021-03-13 04:07:20,2024-10-31 09:16:03,2024-10-31 09:16:02,60.0,13.0,86.0,781.0,,2024-09-22 02:10:17,0.8.8,,,45.0,"A high-performance ML model serving framework, offers dynamic batching and CPU/GPU pipelines to fully exploit your..",54.0,54.0,14.0,17,True,1.0,,,
71,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/segment-any-text/wtpsplit,https://github.com/segment-any-text/wtpsplit,MIT,2020-01-31 10:34:17,2024-10-27 14:19:33,2024-10-27 14:15:37,39.0,5.0,69.0,717.0,,2024-10-27 14:19:33,2.1.1,,,28.0,"Toolkit to segment text into sentences or other semantic units in a robust, efficient and adaptable way.",53.0,53.0,10.0,17,True,2.0,segment-any-text/wtpsplit,,
72,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2024-08-05 15:08:26,2024-03-04 13:51:27,74.0,66.0,50.0,702.0,,2023-03-20 14:57:05,0.3.1,,,2.0,A comprehensive library for machine learning and numerical computing. The library provides a set of tools for linear..,230.0,230.0,29.0,17,True,2.0,,,
73,milli,meilisearch/milli,apps,https://github.com/meilisearch/milli,https://github.com/meilisearch/milli,MIT,2020-05-31 12:21:55,2023-04-04 11:21:46,2023-04-04 11:21:46,81.0,,159.0,464.0,,2023-02-22 15:13:18,0.41.3,,,86.0,Search engine library for Meilisearch.,525.0,525.0,41.0,17,False,3.0,,,
74,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,Apache-2.0,2018-01-27 21:50:14,2024-09-18 17:05:05,2024-09-18 17:05:05,32.0,9.0,27.0,199.0,313.0,2023-08-26 11:09:33,0.12.1,,,12.0,Rust language bindings for Faiss.,32.0,32.0,11.0,17,True,2.0,,,['binding']
75,weggli,googleprojectzero/weggli,apps,https://github.com/weggli-rs/weggli,https://github.com/weggli-rs/weggli,Apache-2.0,2021-09-30 16:06:12,2024-07-12 16:50:14,2024-01-16 14:12:00,128.0,37.0,29.0,2338.0,,2022-05-31 12:23:06,0.2.4,,,3.0,weggli is a fast and robust semantic search tool for C and C++ codebases. It is designed to help security researchers..,86.0,86.0,10.0,16,True,3.0,weggli-rs/weggli,,
76,vega,rajasekarv/vega,analysis,https://github.com/rajasekarv/vega,https://github.com/rajasekarv/vega,Apache-2.0,2019-10-22 19:13:09,2022-04-18 16:10:37,2021-06-29 20:02:50,204.0,34.0,31.0,2231.0,416.0,,,,,,A new arguably faster implementation of Apache Spark from scratch in Rust.,5.0,5.0,22.0,16,False,1.0,,,
77,lsp-ai,SilasMarvin/lsp-ai,apps,https://github.com/SilasMarvin/lsp-ai,https://github.com/SilasMarvin/lsp-ai,MIT,2023-11-24 17:08:42,2024-09-25 15:29:01,2024-09-25 15:28:59,74.0,20.0,32.0,2181.0,,2024-09-24 14:49:55,0.7.1,731.0,146.0,12.0,"LSP-AI is an open-source language server that serves as a backend for AI-powered functionality, designed to assist and..",,,8.0,16,True,3.0,,,
78,juice,spearow/juice,ml-frameworks,https://github.com/fff-rs/juice,https://github.com/fff-rs/juice,,2017-01-14 21:27:49,2024-07-22 18:07:55,2024-04-25 07:43:59,76.0,31.0,54.0,1111.0,1438.0,,,,,,The Hacker's Machine Learning Engine.,57.0,57.0,48.0,16,False,2.0,fff-rs/juice,,
79,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2021-06-07 09:09:59,2020-06-21 02:01:58,53.0,11.0,6.0,619.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,136.0,136.0,9.0,16,False,2.0,,,
80,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2024-04-04 09:23:25,2024-04-04 09:23:22,31.0,4.0,17.0,392.0,183.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,234.0,234.0,7.0,16,False,3.0,,,
81,granne,granne/granne,ml-frameworks,https://github.com/granne/granne,https://github.com/granne/granne,MIT,2019-12-06 09:12:47,2024-07-08 15:36:08,2021-05-19 16:09:39,24.0,9.0,9.0,316.0,203.0,2021-06-06 12:58:39,0.5.2,,,3.0,Graph-based Approximate Nearest Neighbor Search.,16.0,16.0,6.0,16,False,2.0,,,
82,text-splitter,benbrandt/text-splitter,nlp,https://github.com/benbrandt/text-splitter,https://github.com/benbrandt/text-splitter,MIT,2023-04-07 11:54:39,2024-10-31 11:18:02,2024-10-31 11:18:00,16.0,7.0,18.0,271.0,,2024-10-25 19:31:24,0.18.1,,,54.0,"Split text into semantic chunks, up to a desired chunk size. Supports calculating length by characters and tokens, and..",182.0,182.0,7.0,16,True,2.0,,,
83,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,Unlicense,2016-04-25 11:22:18,2024-07-31 13:08:38,2023-07-31 04:15:48,46.0,6.0,33.0,217.0,135.0,2023-07-31 04:21:35,2.0.3,606.0,7.0,15.0,Dynamically get the suggested clusters in the data for unsupervised learning.,69.0,69.0,6.0,16,False,2.0,,,
84,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,MIT,2019-03-14 12:52:32,2023-01-14 18:45:42,2021-11-09 12:03:42,14.0,7.0,23.0,193.0,172.0,2021-11-09 12:06:19,0.6.3,,,19.0,Simple but powerful graph library for Rust.,46.0,46.0,12.0,16,False,3.0,,,
85,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2024-08-13 03:06:01,2023-12-03 01:03:41,419.0,62.0,127.0,5170.0,883.0,,,,,,Rust language bindings for TensorFlow.,,,49.0,15,True,2.0,,,['binding']
86,aici,microsoft/aici,nlp,https://github.com/microsoft/aici,https://github.com/microsoft/aici,MIT,2023-09-26 21:33:16,2024-10-09 19:15:52,2024-08-13 17:57:49,79.0,34.0,41.0,1924.0,,2024-04-29 20:31:19,0.2.1,444.0,44.0,12.0,AICI: Prompts as (Wasm) Programs.,,,10.0,15,True,2.0,,,
87,bayard,bayard-search/bayard,apps,https://github.com/mosuka/bayard,https://github.com/mosuka/bayard,MIT,2019-11-01 09:54:55,2023-03-06 15:17:06,2022-10-11 12:50:46,71.0,7.0,40.0,1858.0,,2022-08-03 06:37:23,0.9.0,32.0,0.0,18.0,A full-text search and indexing server written in Rust.,18.0,18.0,13.0,15,False,3.0,mosuka/bayard,,
88,dfdx,coreylowman/dfdx,ml-frameworks,https://github.com/coreylowman/dfdx,https://github.com/coreylowman/dfdx,,2021-10-12 02:58:54,2024-07-23 02:05:58,2024-01-25 19:46:50,98.0,67.0,389.0,1727.0,,2023-07-27 13:15:10,0.13.0,,,8.0,"Deep learning in Rust, with shape checked tensors and neural networks.",90.0,90.0,39.0,15,False,2.0,,,
89,lnx,lnx-search/lnx,apps,https://github.com/lnx-search/lnx,https://github.com/lnx-search/lnx,MIT,2021-08-13 15:05:22,2024-07-17 22:36:04,2024-07-15 20:44:13,46.0,36.0,42.0,1235.0,510.0,2022-10-05 16:57:07,0.9.0-master,,,18.0,"Insanely fast, Feature-rich searching. lnx is the adaptable, typo tollerant deployment of the tantivy search engine.",,,9.0,15,True,3.0,,,
90,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2024-03-16 15:51:08,2024-03-16 15:51:07,56.0,8.0,47.0,970.0,569.0,2022-10-23 14:15:03,0.16.2,,,4.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,,,24.0,15,True,2.0,,,
91,ratchet,huggingface/ratchet,ml-frameworks,https://github.com/huggingface/ratchet,https://github.com/huggingface/ratchet,MIT,2024-01-11 15:00:17,2024-10-29 15:20:36,2024-10-29 15:20:36,33.0,26.0,65.0,615.0,1227.0,,,,,,A cross-platform browser ML framework.,4.0,4.0,14.0,15,True,2.0,,,
92,onnxruntime-rs,nbigaouette/onnxruntime-rs,ml-frameworks,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,Apache-2.0,2020-08-04 03:04:15,2024-03-06 16:33:46,2022-07-19 00:34:22,71.0,31.0,20.0,280.0,447.0,,,,,,Rust wrapper for Microsoft's ONNX Runtime (version 1.8).,173.0,173.0,9.0,15,False,2.0,,,['binding']
93,rs-natural,christophertrml/rs-natural,nlp,https://github.com/lexi-sh/rs-natural,https://github.com/lexi-sh/rs-natural,MIT,2014-07-27 22:26:18,2023-02-11 03:58:48,2020-02-13 07:12:11,30.0,2.0,7.0,229.0,97.0,,,,,,Natural Language Processing for Rust.,319.0,319.0,14.0,15,False,2.0,lexi-sh/rs-natural,,
94,erdos,erdos-project/erdos,apps,https://github.com/erdos-project/erdos,https://github.com/erdos-project/erdos,Apache-2.0,2018-11-05 20:19:05,2022-08-27 19:25:37,2022-08-27 19:25:37,40.0,12.0,31.0,200.0,536.0,,,,,5.0,Dataflow system for building self-driving car and robotics applications.,14.0,14.0,10.0,15,False,3.0,,,
95,Oxen,Oxen-AI/Oxen,others,https://github.com/Oxen-AI/Oxen,https://github.com/Oxen-AI/Oxen,Apache-2.0,2022-04-21 04:26:22,2024-11-01 00:06:51,2024-11-01 00:04:25,11.0,12.0,19.0,196.0,,2024-10-31 18:22:27,0.19.2,8131.0,739.0,100.0,"Oxen.ai's core rust library, server, and CLI.",1.0,1.0,16.0,15,True,1.0,,,
96,kornia-rs,kornia/kornia-rs,image,https://github.com/kornia/kornia-rs,https://github.com/kornia/kornia-rs,Apache-2.0,2022-03-05 16:55:17,2024-10-29 09:29:32,2024-10-29 09:29:26,17.0,24.0,32.0,186.0,,2024-10-28 09:24:25,0.1.7,,,7.0,Low-level Computer Vision library in Rust.,12.0,12.0,9.0,15,True,3.0,,,
97,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,Apache-2.0,2015-10-26 08:20:56,2024-03-20 09:51:14,2018-01-14 18:40:04,266.0,26.0,24.0,5557.0,164.0,,,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,,,15.0,14,False,2.0,,,
98,luminal,jafioti/luminal,ml-frameworks,https://github.com/jafioti/luminal,https://github.com/jafioti/luminal,Apache-2.0,2023-07-18 22:02:51,2024-10-09 10:47:19,2024-10-09 10:47:19,90.0,24.0,26.0,1477.0,,2024-03-01 23:10:25,0.2,,,2.0,Deep learning at the speed of light.,3.0,3.0,10.0,14,True,2.0,,,
99,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/EnzymeAD/Enzyme,https://github.com/EnzymeAD/Enzyme,,2019-02-27 03:27:23,2024-11-01 07:03:28,2024-11-01 07:03:04,108.0,95.0,290.0,1279.0,,2024-11-01 07:03:29,0.0.159,,,100.0,High-performance automatic differentiation of LLVM and MLIR.,,,56.0,14,False,2.0,EnzymeAD/Enzyme,,
100,rain,substantic/rain,ml-frameworks,https://github.com/substantic/rain,https://github.com/substantic/rain,MIT,2018-02-13 17:04:46,2023-03-04 01:27:07,2018-12-16 16:29:10,53.0,11.0,21.0,748.0,738.0,2018-09-05 14:54:26,0.4.0,954.0,11.0,10.0,Framework for large distributed pipelines.,2.0,2.0,10.0,14,False,2.0,,,
101,cleora,Synerise/cleora,ml-frameworks,https://github.com/BaseModelAI/cleora,https://github.com/BaseModelAI/cleora,,2020-11-05 17:16:06,2023-10-29 22:10:17,2023-04-27 21:18:11,51.0,8.0,15.0,487.0,95.0,2022-06-29 14:56:24,1.2.3,2993.0,62.0,8.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",39.0,39.0,13.0,14,False,2.0,BaseModelAI/cleora,,
102,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2022-12-26 20:39:00,2020-01-28 16:19:54,56.0,5.0,15.0,341.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,,,23.0,14,False,2.0,,,
103,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2023-10-01 08:37:10,2023-10-01 08:36:57,26.0,4.0,7.0,295.0,,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",610.0,610.0,8.0,14,False,2.0,,,
104,hnsw,rust-cv/hnsw,ml-frameworks,https://github.com/rust-cv/hnsw,https://github.com/rust-cv/hnsw,MIT,2019-07-21 03:52:31,2023-12-12 09:51:05,2023-06-04 12:22:41,12.0,15.0,11.0,224.0,152.0,,,,,,HNSW ANN from the paper Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small..,135.0,135.0,5.0,14,False,2.0,,,
105,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2021-11-16 10:40:23,2020-06-18 11:31:52,13.0,21.0,17.0,179.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",25.0,25.0,4.0,14,False,2.0,,,
106,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,MIT,2017-02-07 13:00:30,2024-04-27 21:45:49,2021-05-13 07:18:43,19.0,2.0,3.0,113.0,51.0,,,,,,A rust implementation of some popular snowball stemming algorithms.,3501.0,3501.0,5.0,14,False,2.0,,,
107,levenshtein-automata,tantivy-search/levenshtein-automata,nlp,https://github.com/quickwit-oss/levenshtein-automata,https://github.com/quickwit-oss/levenshtein-automata,MIT,2017-11-16 00:26:08,2023-02-28 04:00:01,2021-10-19 02:30:27,13.0,1.0,4.0,62.0,27.0,2020-03-30 00:38:52,0.2.0,,,1.0,,2858.0,2858.0,4.0,14,False,2.0,quickwit-oss/levenshtein-automata,,
108,Toshi,toshi-search/Toshi,apps,https://github.com/toshi-search/Toshi,https://github.com/toshi-search/Toshi,MIT,2018-06-28 13:23:45,2024-01-19 16:11:06,2023-10-12 05:03:13,130.0,14.0,109.0,4196.0,456.0,,,,,,A full-text search engine in rust.,,,19.0,13,False,3.0,,,
109,hora,hora-search/hora,ml-frameworks,https://github.com/hora-search/hora,https://github.com/hora-search/hora,Apache-2.0,2021-05-15 07:46:32,2024-01-31 01:18:35,2021-10-23 16:20:43,72.0,20.0,10.0,2589.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,41.0,41.0,6.0,13,False,3.0,,,
110,hora-hora,hora-search/hora,apps,https://github.com/hora-search/hora,https://github.com/hora-search/hora,Apache-2.0,2021-05-15 07:46:32,2024-01-31 01:18:35,2021-10-23 16:20:43,72.0,20.0,10.0,2589.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,41.0,41.0,6.0,13,False,3.0,,,
111,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2023-08-18 07:34:39,2023-08-18 07:32:27,19.0,,5.0,116.0,203.0,2023-08-18 07:34:40,0.2.0,,,1.0,Awesome deep learning crate.,24.0,24.0,3.0,13,False,3.0,,,
112,rust-sbert,cpcdoy/rust-sbert,nlp,https://github.com/cpcdoy/rust-sbert,https://github.com/cpcdoy/rust-sbert,Apache-2.0,2020-04-19 14:27:46,2024-09-17 11:00:59,2024-09-17 10:59:32,12.0,1.0,4.0,106.0,70.0,2024-09-17 11:00:59,0.5.0,,,1.0,Rust port of sentence-transformers (https://github.com/UKPLab/sentence-transformers).,6.0,6.0,6.0,13,True,2.0,,,
113,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2024-01-17 22:32:30,2024-01-17 22:32:29,10.0,3.0,2.0,91.0,50.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,211.0,211.0,5.0,13,False,3.0,,,
114,rustling,snipsco/rustling,nlp,https://github.com/sonos/rustling,https://github.com/sonos/rustling,,2017-04-10 08:50:12,2021-07-23 15:25:44,2019-09-11 16:12:55,21.0,1.0,2.0,77.0,193.0,2019-09-11 16:13:12,0.9.1,,,12.0,Rust implementation of Duckling.,19.0,19.0,8.0,13,False,2.0,sonos/rustling,,['binding']
115,bhtsne,frjnn/bhtsne,ml-frameworks,https://github.com/frjnn/bhtsne,https://github.com/frjnn/bhtsne,MIT,2020-08-21 15:39:47,2024-09-27 12:05:02,2024-09-27 12:04:59,8.0,,6.0,67.0,41.0,,,,,,Parallel Barnes-Hut t-SNE implementation written in Rust.,105.0,105.0,3.0,13,False,3.0,,,
116,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2022-11-16 19:03:18,2022-11-16 19:03:15,4.0,5.0,6.0,61.0,187.0,2019-10-11 20:43:19,1.0.0,,,1.0,OpenAI Gym bindings for Rust.,10.0,10.0,4.0,13,False,3.0,,,['binding']
117,tokengrams,EleutherAI/tokengrams,nlp,https://github.com/EleutherAI/tokengrams,https://github.com/EleutherAI/tokengrams,MIT,2023-12-21 15:22:19,2024-10-06 09:08:41,2024-10-02 00:47:26,3.0,,2.0,15.0,144.0,2024-09-04 23:52:04,0.3.3,,,3.0,Efficiently computing & storing token n-grams from large corpora.,3.0,3.0,3.0,13,False,2.0,,,
118,nerve,evilsocket/nerve,apps,https://github.com/evilsocket/nerve,https://github.com/evilsocket/nerve,,2024-06-07 09:58:13,2024-10-30 13:26:15,2024-10-30 13:26:13,22.0,1.0,7.0,506.0,,2024-07-26 15:24:38,0.2.0,,,8.0,Instrument any LLM to do actual stuff.,3.0,3.0,5.0,12,False,3.0,,,
119,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2023-02-11 06:38:39,2023-02-11 06:38:32,37.0,6.0,33.0,484.0,386.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,,,15.0,12,False,3.0,,,
120,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,Apache-2.0,2019-06-17 23:43:49,2024-08-19 00:18:17,2024-08-19 00:17:59,17.0,,8.0,314.0,,2024-08-19 00:15:28,0.2.1,,,4.0,A machine learning library for Rust.,2.0,2.0,4.0,12,True,3.0,,,
121,instant-distance,InstantDomain/instant-distance,ml-frameworks,https://github.com/djc/instant-distance,https://github.com/djc/instant-distance,Apache-2.0,2020-12-14 15:15:27,2024-10-10 13:18:00,2024-10-10 13:18:00,22.0,2.0,5.0,309.0,,,,,,,"Fast approximate nearest neighbor searching in Rust, based on HNSW index.",3.0,3.0,10.0,12,True,3.0,djc/instant-distance,,
122,tokenizations,explosion/tokenizations,nlp,https://github.com/explosion/tokenizations,https://github.com/explosion/tokenizations,MIT,2019-12-30 10:02:22,2023-10-04 15:52:19,2022-07-18 03:30:54,18.0,,11.0,187.0,292.0,2021-07-31 09:05:35,python/0.8.4,,,3.0,Robust and Fast tokenizations alignment library for Rust and Python https://tamuhey.github.io/tokenizations/.,,,4.0,12,False,3.0,,,
123,ungoliant,oscar-corpus/ungoliant,nlp,https://github.com/oscar-project/ungoliant,https://github.com/oscar-project/ungoliant,Apache-2.0,2021-02-15 03:19:32,2023-12-18 16:31:48,2023-11-09 14:19:54,14.0,18.0,25.0,162.0,,2023-02-24 12:20:48,2.0.0,,,6.0,The pipeline for the OSCAR corpus.,7.0,7.0,7.0,12,True,3.0,oscar-project/ungoliant,,
124,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/sonos/rustling-ontology,https://github.com/sonos/rustling-ontology,,2017-04-24 15:08:48,2022-01-02 15:33:15,2020-10-07 11:29:08,46.0,28.0,26.0,128.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,,,22.0,12,False,3.0,sonos/rustling-ontology,,
