,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,labels,new_addition
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2025-01-31 15:13:42,2025-01-28 10:44:22,1470.0,305.0,1063.0,21568.0,3846.0,2025-01-28 14:03:53,1.13.2,302991.0,6586.0,93.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",116.0,116.0,129.0,28,True,1.0,,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2025-01-31 21:17:27,2025-01-31 20:06:50,1622.0,1809.0,5971.0,18688.0,12278.0,2025-01-13 22:27:37,0.44.0,2758181.0,41166.0,88.0,A high-performance observability data pipeline.,,,502.0,28,True,1.0,vectordotdev/vector,,,
2,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,,2020-05-13 19:45:33,2025-02-01 07:00:02,2025-01-31 14:16:44,2048.0,2127.0,7604.0,31650.0,,2025-01-26 19:30:47,rs-0.46.0,2985.0,199.0,100.0,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust.",18138.0,18138.0,534.0,26,False,1.0,pola-rs/polars,,,
3,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2025-01-28 13:58:37,2025-01-28 13:58:35,814.0,61.0,968.0,9311.0,,2024-11-15 11:12:00,0.21.0,73.0,1.0,92.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,133168.0,133168.0,104.0,25,True,1.0,,,,
4,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2025-01-23 05:15:09,2025-01-23 05:15:08,160.0,16.0,319.0,3502.0,1224.0,2024-12-30 20:42:21,2.4.0,,,49.0,An embedded key-value database in pure Rust.,871.0,871.0,25.0,25,True,1.0,,,,
5,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2025-01-08 02:06:58,2025-01-08 02:05:51,349.0,154.0,171.0,3117.0,1318.0,,,,,,Graph data structure library for Rust.,129587.0,129587.0,114.0,25,True,1.0,,,,
6,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,MIT,2018-04-23 11:45:28,2025-01-30 16:02:57,2025-01-27 10:04:08,1884.0,180.0,1925.0,48912.0,,2025-01-30 13:05:13,1.12.8,222222.0,10582.0,100.0,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,,,206.0,24,True,1.0,,,,
7,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,MIT,2022-12-01 23:22:11,2024-10-03 22:44:27,2024-10-03 21:15:34,839.0,40.0,209.0,13192.0,,2024-10-03 22:44:27,0.8.0,,,10.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,121805.0,121805.0,17.0,24,True,1.0,,-1.0,,
8,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,Apache-2.0,2014-10-02 15:38:05,2024-12-03 00:09:51,2024-12-03 00:06:18,490.0,183.0,400.0,11399.0,,,,,,,Rayon: A data parallelism library for Rust.,255351.0,255351.0,153.0,24,True,2.0,,,,
9,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,Apache-2.0,2021-04-17 15:40:05,2025-02-01 08:35:46,2025-01-29 13:06:53,830.0,371.0,2503.0,2727.0,,2025-01-29 13:41:40,54.1.0,,,7.0,Official Rust implementation of Apache Arrow.,7482.0,7482.0,637.0,24,True,2.0,,3.0,,
