,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2023-07-01 01:54:31,2023-06-30 23:41:15,1084.0,1534.0,5206.0,13794.0,9949.0,2023-05-22 19:33:11,0.30.0,740639.0,15429.0,62.0,A high-performance observability data pipeline.,1043.0,1043.0,334.0,32,True,1.0,,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2023-06-25 21:36:09,2023-06-23 18:36:49,411.0,148.0,353.0,8817.0,2007.0,,,,,,Rayon: A data parallelism library for Rust.,182465.0,182465.0,137.0,26,True,1.0,,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2023-06-27 11:04:16,2023-06-18 10:37:25,397.0,259.0,364.0,3272.0,2635.0,,,,,,Linear algebra library for Rust.,33832.0,33832.0,197.0,25,True,1.0,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2023-06-24 10:26:07,2023-04-07 02:29:31,255.0,123.0,139.0,2196.0,1268.0,,,,,,Graph data structure library for Rust.,88291.0,88291.0,98.0,25,True,1.0,,,
4,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2023-06-30 15:26:51,2023-06-30 15:22:33,442.0,232.0,1626.0,1663.0,5058.0,,,,,,Official Rust implementation of Apache Arrow.,5812.0,5812.0,427.0,24,True,1.0,,,
5,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,AGPL-3.0,2022-12-07 09:43:02,2023-07-01 05:25:44,2023-06-30 16:22:58,4305.0,420.0,295.0,38615.0,,2023-05-25 05:24:27,1.0.0,2931430.0,418775.0,33.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,28.0,23,True,1.0,,,
6,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2023-07-01 01:34:08,2023-06-29 15:24:36,1327.0,117.0,1414.0,37394.0,,2023-06-05 08:04:07,1.2.0,108440.0,3872.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,161.0,23,True,1.0,,,
7,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2023-07-01 08:32:04,2023-07-01 08:16:06,969.0,846.0,3349.0,18263.0,,2023-06-23 15:05:37,py-0.18.4,,,78.0,"Fast multi-threaded, hybrid-out-of-core DataFrame library in Rust | Python | Node.js.",2537.0,2537.0,235.0,23,True,2.0,,,
8,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2023-06-30 13:45:42,2023-06-29 06:30:56,491.0,232.0,633.0,8381.0,,2023-06-12 03:26:36,0.20.1,,,44.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1197.0,1197.0,132.0,23,True,1.0,,,
9,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2023-06-21 15:27:04,2022-04-25 02:35:58,411.0,221.0,687.0,2650.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,300.0,300.0,190.0,23,False,1.0,,,
