,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-05-16 12:27:44,2022-05-13 21:46:42,747.0,1864.0,3521.0,10109.0,7232.0,2022-05-05 22:26:17,0.21.2,122653.0,3607.0,42.0,A high-performance observability data pipeline.,215.0,25,True,1,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-05-16 12:10:18,2022-05-16 09:07:46,2227.0,40.0,724.0,9512.0,11554.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,861.0,24,True,1,70.0,70.0,,
2,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2022-05-16 12:34:19,2022-05-16 09:58:30,894.0,63.0,890.0,26642.0,,2022-05-09 09:37:22,0.27.0,37504.0,1250.0,92.0,"Powerful, fast, and an easy to use search engine.",82.0,21,True,1,,,,
3,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2022-05-04 15:20:40,2022-05-03 15:52:03,182.0,8.0,579.0,3953.0,1327.0,2022-05-04 15:20:41,3000.0.12,15323.0,204.0,100.0,Making Postgres and Elasticsearch work together like it's 2022.,29.0,20,False,1,,,,
4,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-05-10 07:46:12,2022-04-25 02:35:58,392.0,214.0,683.0,2532.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,188.0,20,True,1,,,,
5,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2022-04-09 10:55:40,2022-04-09 10:55:40,439.0,48.0,187.0,13112.0,643.0,2021-11-09 17:15:58,1.3.2,591.0,15.0,21.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",31.0,19,True,2,,,-1.0,
6,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-05-16 12:17:34,2022-05-16 11:25:40,330.0,129.0,1195.0,5807.0,3563.0,2022-03-14 15:54:28,rust-polars-v0.20.0,,,1.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,85.0,19,True,2,3.0,3.0,2.0,
7,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2022-05-10 12:13:14,2022-05-05 13:48:40,460.0,174.0,438.0,5605.0,,2022-03-31 13:07:30,node-v0.12.0,,,58.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,56.0,19,True,1,48.0,48.0,-2.0,
8,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2022-05-16 11:41:43,2022-05-16 06:16:30,2360.0,285.0,2023.0,8081.0,,2021-11-24 17:14:48,0.8.0,1047.0,19.0,10.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",746.0,18,True,1,,,-1.0,['binding']
9,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-05-09 20:19:19,2022-04-30 08:59:26,326.0,212.0,338.0,2646.0,2358.0,,,,,,Linear algebra library for Rust.,172.0,18,True,1,,,,
10,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2022-05-16 12:23:31,2022-05-16 12:23:30,328.0,439.0,807.0,1980.0,3906.0,,,,,,Apache Arrow DataFusion and Ballista query engines.,302.0,18,True,2,,,,
11,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2022-05-16 12:26:04,2022-05-16 10:08:12,90.0,45.0,146.0,1592.0,565.0,2022-04-13 08:43:53,0.7.0,,,14.0,Qdrant - vector similarity search engine with extended filtering support.,24.0,18,True,2,,,2.0,
12,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2022-02-28 14:30:04,2022-02-16 12:56:59,58.0,46.0,54.0,836.0,295.0,2022-02-10 21:21:47,0.6.5-r1,2396.0,159.0,30.0,The Declarative Data Generator.,25.0,18,True,2,,,-1.0,
13,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/databend,https://github.com/datafuselabs/databend,datafuselabs/databend,Apache-2.0,2020-10-10 06:04:42,2022-05-16 12:01:07,2022-05-16 11:19:59,390.0,342.0,1727.0,3903.0,,,,1041.0,347.0,100.0,"A modern Elasticity and Performance cloud data warehouse, activate your object storage for real-time analytics.",127.0,17,True,2,,,,
14,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,246.0,71.0,95.0,2768.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,17,False,1,4.0,4.0,,
15,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2022-05-16 12:17:04,2022-05-16 12:17:04,209.0,299.0,513.0,869.0,3553.0,,,,,,Official Rust implementation of Apache Arrow.,305.0,17,True,2,,,,
16,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,,Apache-2.0,2019-08-29 08:59:32,2022-05-16 08:03:01,2022-05-16 08:03:00,22.0,5.0,27.0,178.0,2715.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,28.0,17,True,1,,,,
17,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2022-05-16 10:28:31,2022-05-13 00:57:21,362.0,148.0,487.0,6307.0,,2022-03-09 01:02:29,0.17,,,37.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,103.0,16,True,2,,,,
18,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,,Apache-2.0,2019-10-05 17:38:23,2022-05-10 07:50:48,2022-05-10 07:50:47,135.0,4.0,36.0,5286.0,,2021-09-15 11:49:24,1.3.0,11185.0,360.0,9.0,A command-line tool and library for generating regular expressions from user-provided test cases.,8.0,16,True,1,,,,
19,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,,Apache-2.0,2016-02-05 00:32:17,2022-05-16 03:41:58,2022-05-16 03:41:58,308.0,43.0,112.0,3636.0,801.0,,,,,,Rust language bindings for TensorFlow.,44.0,16,True,1,,,,['binding']
20,vega,rajasekarv/vega,analysis,https://github.com/rajasekarv/vega,https://github.com/rajasekarv/vega,,Apache-2.0,2019-10-22 19:13:09,2022-04-18 16:10:37,2021-06-29 20:02:50,179.0,32.0,31.0,2045.0,416.0,,,,,,A new arguably faster implementation of Apache Spark from scratch in Rust.,22.0,16,True,1,,,,
21,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,,2018-04-05 07:03:30,2022-05-09 01:34:43,2022-05-07 21:18:25,122.0,31.0,53.0,1703.0,267.0,2022-03-01 04:01:59,0.5.1,,,7.0,A Rust machine learning framework.,21.0,16,False,1,,,,
22,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,,Apache-2.0,2020-10-28 03:19:33,2022-05-16 09:48:43,2022-05-16 09:43:55,176.0,123.0,498.0,1567.0,,2022-05-06 12:35:29,0.13.0,31.0,1.0,17.0,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba.,28.0,16,True,1,,,,
23,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,,2017-08-07 09:31:26,2022-05-16 12:33:40,2022-05-16 07:14:00,125.0,7.0,94.0,1272.0,,2022-05-16 07:09:40,0.16.7,3448.0,164.0,34.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",37.0,16,False,1,,,,
24,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,statrs-dev/statrs,MIT,2016-03-11 06:38:50,2022-05-06 14:27:07,2022-01-28 10:32:17,50.0,23.0,79.0,337.0,599.0,2021-06-30 22:40:18,0.15.0,,,2.0,Statistical computation library for Rust.,24.0,16,True,1,,,,
25,sudachi.rs,WorksApplications/sudachi.rs,nlp,https://github.com/WorksApplications/sudachi.rs,https://github.com/WorksApplications/sudachi.rs,,Apache-2.0,2019-11-23 12:04:58,2022-03-01 08:03:06,2022-03-01 08:03:06,17.0,21.0,95.0,146.0,,2022-02-10 05:22:02,0.6.3,80.0,11.0,5.0,An official Sudachi clone in Rust.,6.0,16,True,1,322.0,322.0,,
26,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,,2014-10-02 15:38:05,2022-05-13 23:59:30,2022-05-13 23:41:33,336.0,136.0,298.0,6633.0,1827.0,,,,,,Rayon: A data parallelism library for Rust.,123.0,15,False,3,,,,
27,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,,2014-12-22 08:15:12,2022-05-10 10:05:11,2021-08-31 14:29:45,211.0,97.0,124.0,1694.0,1244.0,,,,,,Graph data structure library for Rust.,84.0,15,False,2,,,,
28,bayard,bayard-search/bayard,apps,https://github.com/mosuka/bayard,https://github.com/mosuka/bayard,mosuka/bayard,MIT,2019-11-01 09:54:55,2021-02-22 14:54:54,2021-02-22 14:53:53,60.0,12.0,28.0,1593.0,222.0,2021-02-22 14:55:12,0.8.7,,,17.0,A full-text search and indexing server written in Rust.,12.0,15,False,3,,,,
29,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,,Apache-2.0,2013-08-26 05:16:44,2022-04-16 17:32:31,2022-04-16 17:32:31,148.0,53.0,120.0,939.0,1580.0,,,,,,A linear algebra and mathematics library for computer graphics.,98.0,15,True,1,,,,
