,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition,labels
85,weggli,googleprojectzero/weggli,apps,https://github.com/weggli-rs/weggli,https://github.com/weggli-rs/weggli,Apache-2.0,2021-09-30 16:06:12,2024-07-12 16:50:14,2024-01-16 14:12:00,138.0,36.0,28.0,2484.0,,2022-05-31 12:23:06,0.2.4,,,3.0,weggli is a fast and robust semantic search tool for C and C++ codebases. It is designed to help security researchers..,86.0,86.0,10.0,16,False,3.0,weggli-rs/weggli,,,
86,vega,rajasekarv/vega,analysis,https://github.com/rajasekarv/vega,https://github.com/rajasekarv/vega,Apache-2.0,2019-10-22 19:13:09,2022-04-18 16:10:37,2021-06-29 20:02:50,201.0,34.0,31.0,2231.0,416.0,,,,,,A new arguably faster implementation of Apache Spark from scratch in Rust.,5.0,5.0,22.0,16,False,1.0,,,,
87,RustQuant,avhz/RustQuant,apps,https://github.com/avhz/RustQuant,https://github.com/avhz/RustQuant,Apache-2.0,2022-08-31 10:03:24,2026-01-14 00:46:56,2026-01-14 00:40:31,202.0,26.0,103.0,1780.0,,2024-11-23 00:15:01,RustQuant_stochastics-v0.4.0,,,100.0,Rust library for quantitative finance.,26.0,26.0,48.0,16,True,3.0,,,,
88,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2026-06-13 14:19:12,2026-06-13 09:20:39,135.0,24.0,136.0,1377.0,,2026-06-13 09:22:53,0.29.0,,,36.0,PyO3-based Rust bindings of the NumPy C-API.,,,64.0,16,True,2.0,,-5.0,,
89,juice,spearow/juice,ml-frameworks,https://github.com/fff-rs/juice,https://github.com/fff-rs/juice,,2017-01-14 21:27:49,2024-07-22 18:07:55,2024-04-25 07:43:59,75.0,32.0,55.0,1131.0,1438.0,,,,,,The Hacker's Machine Learning Engine.,57.0,57.0,48.0,16,False,2.0,fff-rs/juice,,,
90,candle-vllm,EricLBuehler/candle-vllm,mlops,https://github.com/EricLBuehler/candle-vllm,https://github.com/EricLBuehler/candle-vllm,MIT,2023-10-29 11:21:48,2026-06-27 08:52:13,2026-06-27 08:04:16,82.0,24.0,108.0,689.0,584.0,2026-06-27 08:52:14,0.8.6,13.0,13.0,4.0,Efficent platform for inference and serving local LLMs including an OpenAI compatible API server.,,,8.0,16,True,3.0,,,,
91,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2021-06-07 09:09:59,2020-06-21 02:01:58,56.0,11.0,6.0,643.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,144.0,144.0,9.0,16,False,2.0,,,,
92,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2024-04-04 09:23:25,2024-04-04 09:23:22,37.0,5.0,17.0,432.0,183.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,259.0,259.0,7.0,16,False,3.0,,,,
93,onnxruntime-rs,nbigaouette/onnxruntime-rs,ml-frameworks,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,Apache-2.0,2020-08-04 03:04:15,2024-03-06 16:33:46,2022-07-19 00:34:22,74.0,31.0,20.0,330.0,447.0,,,,,,Rust wrapper for Microsoft's ONNX Runtime (version 1.8).,228.0,228.0,9.0,16,False,2.0,,,,['binding']
94,kwaak,bosun-ai/kwaak,apps,https://github.com/bosun-ai/kwaak,https://github.com/bosun-ai/kwaak,MIT,2024-09-14 13:52:01,2026-01-27 21:46:45,2026-01-02 15:26:18,32.0,30.0,46.0,329.0,525.0,2025-08-16 18:52:17,0.19.0,3389.0,178.0,35.0,Burn through tech debt with AI agents!.,2.0,2.0,10.0,16,True,3.0,,,True,
