,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2021-10-18 12:25:36,2021-10-16 15:14:59,620.0,1547.0,2882.0,8224.0,5588.0,2021-10-08 20:54:42,0.17.0,76726.0,2841.0,28.0,A high-performance observability data pipeline.,183.0,25,True,1,,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2021-10-18 12:25:40,2021-10-18 11:28:22,1965.0,7.0,653.0,8517.0,10144.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,740.0,24,True,1,54.0,54.0,,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2021-10-07 14:56:57,2021-10-07 14:56:48,388.0,134.0,375.0,4914.0,1493.0,2021-09-08 07:18:04,python-v0.11.0,,,43.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,46.0,21,True,1,38.0,38.0,,,
3,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/MeiliSearch,https://github.com/meilisearch/MeiliSearch,,MIT,2018-04-23 11:45:28,2021-10-18 12:24:31,2021-10-18 09:05:01,607.0,47.0,699.0,18949.0,,2021-10-12 15:12:49,0.23.1,20420.0,887.0,65.0,"Powerful, fast, and an easy to use search engine.",71.0,20,True,1,,,,,
4,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2021-10-06 20:57:50,2021-08-16 03:04:31,163.0,9.0,539.0,3711.0,1206.0,2021-08-16 17:52:35,3000.0.3,16197.0,231.0,100.0,Making Postgres and Elasticsearch work together like it's 2021.,23.0,20,False,1,,,,,
5,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2021-09-27 10:12:06,2021-07-26 14:25:10,379.0,204.0,678.0,2430.0,3167.0,2021-08-21 01:09:06,rusoto-v0.47.0,,,41.0,AWS SDK for Rust.,185.0,20,True,1,,,,,
6,synth,openquery-io/synth,data-loading,https://github.com/getsynth/synth,https://github.com/getsynth/synth,getsynth/synth,Apache-2.0,2020-08-09 08:51:34,2021-10-16 13:56:22,2021-10-15 13:57:36,46.0,33.0,30.0,640.0,234.0,2021-09-30 14:09:58,0.5.6,1240.0,155.0,23.0,The Declarative Data Generator.,21.0,19,True,2,,,2.0,,
7,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2021-07-22 09:39:57,2021-07-22 09:39:53,392.0,43.0,177.0,12014.0,585.0,2020-06-27 11:07:25,1.3.0,568.0,18.0,19.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",28.0,18,True,2,,,,,
8,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2021-10-18 12:27:45,2021-10-18 03:24:06,2095.0,199.0,1808.0,7244.0,,2020-10-02 18:30:42,0.7.0,722.0,15.0,9.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",641.0,18,True,1,,,,['binding'],
9,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2021-10-18 10:42:06,2021-10-18 10:34:03,158.0,66.0,547.0,2689.0,2340.0,,,,,,Fast multi-threaded DataFrame library in Rust and Python.,46.0,18,True,2,4.0,4.0,,,
