,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2024-01-01 04:51:05,2023-12-22 17:12:55,1235.0,1605.0,5527.0,15179.0,10851.0,2023-11-16 16:10:23,0.34.1,1090902.0,20201.0,70.0,A high-performance observability data pipeline.,1046.0,1046.0,375.0,33,True,1.0,,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2023-12-25 12:55:57,2023-12-13 16:30:08,432.0,159.0,369.0,9650.0,2046.0,,,,,,Rayon: A data parallelism library for Rust.,201513.0,201513.0,141.0,26,True,1.0,,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2023-12-31 09:07:57,2023-12-20 22:42:54,425.0,287.0,379.0,3545.0,2635.0,,,,,,Linear algebra library for Rust.,37177.0,37177.0,208.0,25,True,1.0,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2023-12-31 11:12:16,2023-12-31 11:12:15,288.0,129.0,148.0,2431.0,1274.0,,,,,,Graph data structure library for Rust.,99200.0,99200.0,103.0,25,True,1.0,,,
4,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2023-12-31 23:45:28,2023-12-14 15:12:56,648.0,249.0,618.0,7968.0,,2023-11-14 19:06:30,0.15.0,33.0,0.0,81.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,54784.0,54784.0,82.0,24,True,1.0,4.0,,
5,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2024-01-01 07:44:06,2023-12-31 19:16:22,550.0,256.0,1915.0,1977.0,5450.0,,,,,,Official Rust implementation of Apache Arrow.,6134.0,6134.0,475.0,24,True,1.0,,,
6,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,AGPL-3.0,2022-12-07 09:43:02,2023-12-20 03:20:35,2023-08-03 13:30:37,5005.0,550.0,320.0,44660.0,,2023-08-03 13:51:20,1.1.0,4244727.0,326517.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,30.0,23,True,1.0,,,
7,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2023-12-26 10:04:17,2023-12-18 14:00:19,1492.0,133.0,1546.0,40642.0,,2023-12-13 09:43:25,1.5.1,196525.0,7558.0,100.0,"A lightning-fast search API that fits effortlessly into your apps, websites, and workflow.",,,174.0,23,True,1.0,,,
8,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2023-12-30 19:53:44,2023-12-19 20:19:33,845.0,126.0,727.0,15224.0,2173.0,2023-12-19 21:43:20,1.7.3,7338.0,222.0,61.0,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud..",,,78.0,23,True,1.0,,,
9,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,,MIT,2022-12-01 23:22:11,2023-12-31 12:32:33,2023-12-03 08:15:23,468.0,22.0,151.0,7969.0,,2023-12-26 03:39:03,0.5.2,,,7.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,45626.0,45626.0,11.0,23,True,1.0,,,
10,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2024-01-01 08:22:18,2024-01-01 08:22:18,776.0,820.0,2776.0,4423.0,6083.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,2244.0,2244.0,507.0,23,True,2.0,,,
11,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2023-12-11 09:58:15,2022-04-25 02:35:58,416.0,221.0,688.0,2690.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,304.0,304.0,189.0,23,False,1.0,,,
12,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2023-11-23 21:15:58,2023-10-10 13:45:23,198.0,54.0,162.0,1551.0,457.0,,,,,,"A CSV parser for Rust, with Serde support.",75151.0,75151.0,53.0,23,True,2.0,,,
13,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,Unlicense,2015-06-11 23:02:10,2023-11-14 19:52:58,2023-10-20 16:26:35,84.0,2.0,61.0,891.0,287.0,,,,,,A fast implementation of Aho-Corasick in Rust.,399381.0,399381.0,30.0,23,True,1.0,,,
14,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2023-12-29 15:36:13,2023-12-29 15:36:07,86.0,1.0,56.0,656.0,225.0,,,,,,Optimized string search routines for Rust.,508806.0,508806.0,42.0,23,True,1.0,,,
15,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2023-12-22 10:01:11,2023-12-22 10:01:10,530.0,249.0,675.0,9125.0,,2023-09-01 12:01:59,0.21,,,45.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1328.0,1328.0,139.0,22,True,2.0,-1.0,,
16,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,Apache-2.0,2018-04-05 07:03:30,2023-12-24 16:37:58,2023-12-24 16:36:57,201.0,40.0,93.0,3144.0,317.0,2022-06-15 05:07:41,0.6.0,,,8.0,A Rust machine learning framework.,368.0,368.0,39.0,22,True,1.0,,,
