,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
64,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,,2020-11-05 17:16:06,2021-09-13 19:22:40,2021-07-24 16:30:27,28.0,5.0,11.0,353.0,51.0,2021-05-14 12:58:11,1.1.1,715.0,55.0,4.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",9.0,12,False,2,,,,,
65,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,,2015-06-11 23:01:31,2021-11-16 11:17:52,2021-08-18 13:33:49,55.0,7.0,37.0,340.0,169.0,,,,,,Optimized string search routines for Rust.,31.0,12,False,2,,,,,
66,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,,MIT,2020-09-15 18:05:06,2021-12-13 11:55:53,2021-12-13 11:47:26,90.0,88.0,128.0,194.0,,,,,,,This repository is for active development of the *unofficial* Azure SDK for Rust. This repository is *not* supported..,75.0,12,True,2,,,['binding'],,
67,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,,2016-04-25 11:22:18,2021-03-09 19:49:09,2021-03-09 19:49:09,30.0,1.0,27.0,117.0,131.0,2020-04-20 04:05:53,2.0.1,324.0,7.0,13.0,Dynamically get the suggested clusters in the data for unsupervised learning.,4.0,12,False,2,23.0,23.0,,,
68,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,,MIT,2017-03-29 15:18:20,2021-11-16 10:40:23,2020-06-18 11:31:52,11.0,19.0,17.0,112.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",4.0,12,False,2,,,,,
69,ungoliant,oscar-corpus/ungoliant,nlp,https://github.com/oscar-corpus/ungoliant,https://github.com/oscar-corpus/ungoliant,,Apache-2.0,2021-02-15 03:19:32,2021-12-10 13:13:03,2021-11-10 10:36:05,3.0,10.0,1.0,33.0,213.0,2021-09-07 17:31:50,1.0.0,,,1.0,The pipeline for the OSCAR corpus.,2.0,12,False,2,,,,,
70,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,,2019-02-16 21:08:44,2021-12-11 20:45:24,2021-12-11 20:45:13,118.0,48.0,231.0,1348.0,,,,,,,Rust bindings for the C++ api of PyTorch.,38.0,11,False,2,,,['binding'],,
71,Rust-CUDA,RDambrosio016/Rust-CUDA,other,https://github.com/Rust-GPU/Rust-CUDA,https://github.com/Rust-GPU/Rust-CUDA,Rust-GPU/Rust-CUDA,,2021-10-17 23:37:05,2021-12-13 09:39:24,2021-12-11 18:20:04,31.0,11.0,5.0,1243.0,110.0,2021-12-05 17:57:28,0.2,,,1.0,Ecosystem of libraries and tools for writing and executing fast GPU code fully in Rust.,4.0,11,False,1,,,,,
72,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,,2015-06-11 23:02:10,2021-09-15 21:37:11,2021-07-03 11:52:44,59.0,5.0,39.0,515.0,182.0,,,,,,A fast implementation of Aho-Corasick in Rust.,26.0,11,False,2,,,,,
73,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,,,2018-07-22 10:09:33,2021-12-11 09:33:16,2021-12-11 09:33:16,33.0,17.0,38.0,352.0,822.0,,,,,,Mathematical optimization in pure Rust.,18.0,11,False,2,,,,,
