,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-07-18 11:32:29,2022-07-15 20:31:27,808.0,1897.0,3754.0,10710.0,7699.0,2022-07-11 20:45:21,0.23.0,144729.0,4020.0,47.0,A high-performance observability data pipeline.,938.0,938.0,240.0,30,True,1,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2022-07-17 16:59:25,2022-07-14 18:58:16,359.0,144.0,303.0,6930.0,1847.0,,,,,,Rayon: A data parallelism library for Rust.,153661.0,153661.0,126.0,25,True,1,10.0,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-07-17 20:51:23,2022-06-13 08:13:38,339.0,218.0,342.0,2717.0,2358.0,,,,,,Linear algebra library for Rust.,27752.0,27752.0,172.0,25,True,1,,
3,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-07-18 12:44:47,2022-07-18 08:46:09,2305.0,42.0,761.0,9848.0,11909.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,75.0,75.0,890.0,24,True,2,,
4,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-07-18 12:26:05,2022-07-18 12:12:16,383.0,179.0,1439.0,7014.0,3914.0,2022-06-06 12:15:33,rust-polars-v0.22.1,,,3.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,1453.0,1453.0,106.0,24,True,2,,
5,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-07-11 16:42:18,2022-04-25 02:35:58,395.0,216.0,684.0,2560.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,289.0,289.0,188.0,24,True,1,,
6,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2022-07-13 22:15:34,2022-07-13 22:15:34,217.0,100.0,127.0,1751.0,1253.0,,,,,,Graph data structure library for Rust.,72900.0,72900.0,89.0,24,True,1,,
7,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2022-06-30 09:57:48,2021-12-16 12:50:09,163.0,45.0,138.0,1216.0,432.0,,,,,,"A CSV parser for Rust, with Serde support.",62161.0,62161.0,49.0,23,True,2,10.0,
8,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2022-07-18 12:35:02,2022-07-18 12:19:12,236.0,333.0,664.0,948.0,3731.0,,,,,,Official Rust implementation of Apache Arrow.,5315.0,5315.0,316.0,23,True,2,,
9,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2022-07-18 10:22:53,2022-07-18 00:08:00,381.0,447.0,931.0,2223.0,4095.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,401.0,401.0,314.0,22,True,2,,
