,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-10-24 12:42:52,2022-10-24 12:27:16,902.0,1786.0,4308.0,11514.0,8379.0,2022-10-13 17:12:05,0.24.2,200911.0,5151.0,50.0,A high-performance observability data pipeline.,962.0,962.0,272.0,31,True,1,,,
1,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-10-24 12:56:55,2022-10-24 12:55:14,471.0,228.0,1881.0,8774.0,4620.0,2022-10-22 10:15:15,py-0.14.22,,,14.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,1584.0,1584.0,130.0,25,True,1,,,
2,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2022-09-29 10:32:30,2022-09-24 19:27:04,371.0,152.0,306.0,7412.0,1867.0,,,,,,Rayon: A data parallelism library for Rust.,160653.0,160653.0,129.0,25,True,1,10.0,,
3,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-10-24 06:46:39,2022-10-14 15:01:14,359.0,234.0,348.0,2859.0,2497.0,,,,,,Linear algebra library for Rust.,29502.0,29502.0,183.0,25,True,1,,,
4,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-10-24 12:51:17,2022-10-22 20:57:27,2451.0,66.0,814.0,10488.0,12533.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,81.0,81.0,956.0,24,True,2,,,
5,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2022-10-09 14:08:28,2022-09-27 13:51:02,226.0,106.0,129.0,1893.0,1258.0,,,,,,Graph data structure library for Rust.,76694.0,76694.0,94.0,24,True,1,9.0,,
6,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2022-10-24 08:57:55,2022-10-23 07:08:05,292.0,336.0,994.0,1131.0,4166.0,,,,,,Official Rust implementation of Apache Arrow.,5450.0,5450.0,346.0,24,True,2,,,
7,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-10-05 09:35:44,2022-04-25 02:35:58,404.0,216.0,684.0,2584.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,292.0,292.0,188.0,23,True,1,,,
8,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2022-10-23 20:28:28,2021-12-16 12:50:09,176.0,45.0,140.0,1270.0,432.0,,,,,,"A CSV parser for Rust, with Serde support.",50911.0,50911.0,49.0,23,True,2,10.0,,
9,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2022-10-24 11:30:04,2022-10-24 11:30:03,424.0,177.0,535.0,7144.0,,2022-10-20 01:38:53,0.18.1,,,39.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1026.0,1026.0,113.0,22,True,1,,,
10,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,,Apache-2.0,2013-08-26 05:16:44,2022-10-23 17:42:47,2022-04-16 17:32:31,149.0,54.0,121.0,981.0,1580.0,,,,,,A linear algebra and mathematics library for computer graphics.,12801.0,12801.0,98.0,22,True,1,,,
11,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2022-10-23 20:37:31,2022-10-23 20:37:22,68.0,59.0,68.0,936.0,318.0,2022-09-11 22:29:11,0.6.8-r2,3529.0,176.0,34.0,The Declarative Data Generator.,103.0,103.0,27.0,22,True,2,,,
