,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
17,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,,Apache-2.0,2016-02-05 00:32:17,2021-11-24 04:10:24,2021-11-12 04:04:43,280.0,35.0,105.0,3365.0,682.0,,,,,,Rust language bindings for TensorFlow.,42.0,16,True,1,,,,['binding'],
18,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,,2017-08-07 09:31:26,2021-11-29 10:26:11,2021-11-29 08:48:40,112.0,15.0,73.0,1138.0,,2021-11-18 18:42:43,0.15.8,3119.0,207.0,26.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",29.0,16,False,1,,,,,
19,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2021-11-29 08:39:22,2021-11-29 08:39:22,41.0,22.0,29.0,678.0,246.0,2021-10-27 21:50:11,0.4.2,,,10.0,Qdrant - vector similarity search engine with extended filtering support.,13.0,16,True,2,,,,,
20,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2021-11-28 14:02:57,2021-11-27 11:21:29,144.0,245.0,234.0,642.0,3225.0,,,,,,Official Rust implementation of Apache Arrow.,278.0,16,True,2,,,,,
21,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,,Apache-2.0,2019-08-29 08:59:32,2021-11-29 09:36:46,2021-11-29 09:36:45,19.0,3.0,27.0,162.0,2608.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,28.0,16,True,1,,,,,
22,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,,2014-10-02 15:38:05,2021-10-28 22:40:31,2021-10-28 22:33:07,303.0,133.0,281.0,5857.0,1785.0,,,,,,Rayon: A data parallelism library for Rust.,120.0,15,False,3,,,,,
23,bayard,bayard-search/bayard,apps,https://github.com/bayard-search/bayard,https://github.com/bayard-search/bayard,,MIT,2019-11-01 09:54:55,2021-02-22 14:54:54,2021-02-22 14:53:53,58.0,12.0,28.0,1542.0,222.0,2021-02-22 14:55:12,0.8.7,,,17.0,A full-text search and indexing server written in Rust.,12.0,15,True,3,,,,,
24,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,,2014-12-22 08:15:12,2021-11-22 16:22:16,2021-08-31 14:29:45,195.0,90.0,123.0,1503.0,1244.0,,,,,,Graph data structure library for Rust.,84.0,15,False,1,,,,,
25,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,,2018-04-05 07:03:30,2021-11-28 22:53:04,2021-11-28 21:41:02,90.0,22.0,45.0,1298.0,250.0,2021-10-21 15:07:49,0.5.0,,,6.0,A Rust machine learning framework.,19.0,15,False,2,,,,,
26,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,,Apache-2.0,2020-10-28 03:19:33,2021-11-29 12:31:09,2021-11-29 09:41:41,129.0,92.0,330.0,1170.0,,2021-11-08 03:47:54,0.8.0,18.0,1.0,10.0,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba.,24.0,15,True,1,,,,,
27,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,,Apache-2.0,2013-08-26 05:16:44,2021-11-26 14:11:33,2021-11-26 14:11:33,141.0,53.0,116.0,875.0,1576.0,,,,,,A linear algebra and mathematics library for computer graphics.,96.0,15,True,1,,,,,
28,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,,BSD-2-Clause,2017-04-21 06:36:48,2021-11-25 21:14:28,2021-11-25 21:12:45,64.0,14.0,61.0,537.0,,2021-11-06 12:09:27,0.15.0,,,15.0,PyO3-based Rust binding of NumPy C-API.,32.0,15,True,2,,,,,
29,granne,granne/granne,ml-frameworks,https://github.com/granne/granne,https://github.com/granne/granne,,MIT,2019-12-06 09:12:47,2021-06-06 12:58:39,2021-05-19 16:09:39,22.0,6.0,8.0,259.0,203.0,2021-06-06 12:58:39,0.5.2,,,3.0,Graph-based Approximate Nearest Neighbor Search.,6.0,15,True,2,,,,,
30,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,,MIT,2019-03-14 12:52:32,2021-11-09 12:06:19,2021-11-09 12:03:42,11.0,5.0,23.0,158.0,172.0,2021-11-09 12:06:19,0.6.3,,,19.0,Simple but powerful graph library for Rust.,12.0,15,True,1,,,2.0,,
31,Toshi,toshi-search/Toshi,apps,https://github.com/toshi-search/Toshi,https://github.com/toshi-search/Toshi,,MIT,2018-06-28 13:23:45,2021-11-25 23:12:11,2021-11-25 23:06:23,99.0,11.0,105.0,3332.0,440.0,,,,,,A full-text search engine in rust.,17.0,14,True,3,,,,,
32,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,,Apache-2.0,2019-07-04 17:09:41,2021-04-20 00:28:06,2021-04-20 00:28:05,142.0,,251.0,2272.0,,2021-02-23 02:39:20,0.4.1,,,17.0,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",37.0,14,True,2,,,,,
33,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,,MIT,2015-04-14 06:32:54,2021-11-21 19:16:23,2021-11-21 12:23:17,75.0,16.0,232.0,788.0,969.0,,,,,,Rust bindings for OpenCV 3 & 4.,31.0,14,True,2,,,,['binding'],
34,rain,substantic/rain,ml-frameworks,https://github.com/substantic/rain,https://github.com/substantic/rain,,MIT,2018-02-13 17:04:46,2018-12-16 16:29:51,2018-12-16 16:29:10,47.0,11.0,21.0,668.0,738.0,2018-09-05 14:54:26,0.4.0,806.0,18.0,10.0,Framework for large distributed pipelines.,10.0,14,False,2,,,,,
35,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,,MIT,2016-11-05 21:26:51,2021-08-18 13:28:15,2021-08-18 13:28:15,35.0,3.0,38.0,649.0,493.0,2019-03-03 16:17:34,0.7.0,,,3.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,16.0,14,True,1,,,-1.0,,
36,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,,MIT,2015-09-27 18:11:32,2021-11-27 05:09:52,2021-10-03 08:10:35,89.0,56.0,97.0,395.0,658.0,,,,,,Image processing operations.,52.0,14,True,2,,,,,
37,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,53.0,5.0,15.0,318.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,21.0,14,False,1,,,,,
38,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/nnsplit,https://github.com/bminixhofer/nnsplit,,MIT,2020-01-31 10:34:17,2021-10-06 16:39:45,2021-07-23 13:41:28,12.0,10.0,16.0,210.0,,2021-07-23 13:24:47,0.5.8,,,13.0,"Semantic text segmentation. For sentence boundary detection, compound splitting and more.",4.0,14,True,1,3.0,3.0,,,
39,milli,meilisearch/milli,apps,https://github.com/meilisearch/milli,https://github.com/meilisearch/milli,,MIT,2020-05-31 12:21:55,2021-11-29 11:19:10,2021-11-23 10:21:05,24.0,9.0,117.0,189.0,,2021-11-04 13:53:08,0.20.2,,,35.0,Search through millions of documents in milliseconds.,16.0,14,True,3,,,,,
40,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,,MIT,2020-01-22 14:27:57,2021-11-13 12:08:42,2021-11-13 12:01:49,14.0,2.0,32.0,127.0,175.0,2021-11-13 12:15:40,0.8.1,5.0,0.0,18.0,A morphological analysis library.,8.0,14,True,1,,,,,
41,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs,https://github.com/sreeise/graph-rs,,MIT,2018-12-18 13:17:11,2021-11-14 12:26:21,2021-08-19 13:16:57,6.0,31.0,162.0,26.0,549.0,2021-08-19 09:58:19,0.1.1,,,4.0,Graph API client writen in Rust.,3.0,14,False,3,,,,,
42,weggli,googleprojectzero/weggli,apps,https://github.com/googleprojectzero/weggli,https://github.com/googleprojectzero/weggli,,Apache-2.0,2021-09-30 16:06:12,2021-11-26 10:49:07,2021-11-26 10:49:03,53.0,10.0,12.0,1261.0,,2021-11-11 18:11:02,0.2.3,,,2.0,weggli is a fast and robust semantic search tool for C and C++ codebases. It is designed to help security researchers..,2.0,13,True,3,,,,,
43,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,142.0,33.0,67.0,1183.0,532.0,,,,,,Machine Learning library for Rust.,20.0,13,False,2,,,,,
44,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,,2017-01-14 21:27:49,2021-11-21 11:16:45,2021-09-11 13:49:12,66.0,26.0,49.0,852.0,1415.0,,,,,,The Hacker's Machine Learning Engine.,42.0,13,False,2,,,,,
45,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,,Apache-2.0,2020-01-25 09:40:07,2021-11-28 11:43:39,2021-11-24 14:42:43,58.0,9.0,56.0,772.0,954.0,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",14.0,13,True,2,,,,,
46,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,,Apache-2.0,2015-12-03 21:48:17,2021-06-07 09:09:59,2020-06-21 02:01:58,44.0,11.0,4.0,508.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,9.0,13,False,2,,,,,
47,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,,Apache-2.0,2020-06-17 10:47:30,2021-11-27 15:17:42,2021-10-19 22:46:33,10.0,4.0,11.0,377.0,,2021-10-19 22:48:20,1.3.2,,,11.0,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",3.0,13,True,2,,,,,
48,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,,2020-11-05 17:16:06,2021-09-13 19:22:40,2021-07-24 16:30:27,28.0,5.0,11.0,351.0,51.0,2021-05-14 12:58:11,1.1.1,699.0,58.0,4.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",9.0,13,False,2,,,-1.0,,
49,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,,MIT,2017-09-05 14:42:39,2021-11-28 13:39:57,2021-11-27 11:26:56,25.0,,31.0,345.0,378.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,14.0,13,True,2,,,,,
50,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,,2017-12-21 20:24:40,2021-11-10 17:08:18,2021-11-10 17:07:53,24.0,4.0,17.0,290.0,176.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,7.0,13,False,2,,,,,
51,tokenizations,explosion/tokenizations,nlp,https://github.com/explosion/tokenizations,https://github.com/explosion/tokenizations,,MIT,2019-12-30 10:02:22,2021-11-29 07:41:38,2021-11-25 14:02:35,13.0,1.0,9.0,118.0,289.0,2021-07-31 09:05:35,python/0.8.4,,,3.0,Robust and Fast tokenizations alignment library for Rust and Python https://tamuhey.github.io/tokenizations/.,4.0,13,True,2,,,,,
52,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,264.0,26.0,24.0,5479.0,164.0,,,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,15.0,12,False,2,,,,,
53,evcxr,google/evcxr,ml-frameworks,https://github.com/google/evcxr,https://github.com/google/evcxr,,Apache-2.0,2018-09-25 10:19:22,2021-10-23 22:49:15,2021-10-23 22:49:11,122.0,55.0,81.0,2820.0,,,,,,,,27.0,12,False,2,,,,,
54,hora,hora-search/hora,ml-frameworks,https://github.com/hora-search/hora,https://github.com/hora-search/hora,,Apache-2.0,2021-05-15 07:46:32,2021-10-23 16:20:43,2021-10-23 16:20:43,38.0,13.0,9.0,2112.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,6.0,12,True,2,,,,,
55,hora-hora,hora-search/hora,apps,https://github.com/hora-search/hora,https://github.com/hora-search/hora,,Apache-2.0,2021-05-15 07:46:32,2021-10-23 16:20:43,2021-10-23 16:20:43,38.0,13.0,9.0,2112.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,6.0,12,True,3,,,,,
56,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,,2019-08-26 08:06:48,2021-08-31 07:48:39,2021-08-31 07:48:38,49.0,10.0,35.0,1498.0,,2021-03-26 11:26:35,0.8.2,2470.0,91.0,14.0,Example-based texture synthesis written in Rust.,18.0,12,False,3,,,-1.0,,
57,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,,2015-09-05 00:25:46,2021-06-06 11:01:26,2021-06-06 11:00:42,73.0,10.0,52.0,1276.0,258.0,,,,,,Represent large sets and maps compactly with finite state transducers.,25.0,12,False,3,,,,,
58,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,,2014-03-22 06:58:51,2021-10-21 21:27:31,2021-04-15 15:46:24,139.0,35.0,127.0,1087.0,431.0,,,,,,"A CSV parser for Rust, with Serde support.",48.0,12,False,3,,,,,
59,quickwit,quickwit-inc/quickwit,apps,https://github.com/quickwit-inc/quickwit,https://github.com/quickwit-inc/quickwit,,,2021-04-13 22:45:40,2021-11-29 11:06:54,2021-11-29 08:40:13,48.0,101.0,258.0,940.0,,2021-07-13 15:07:39,0.1.0,324.0,81.0,1.0,Quickwit is a fast and cost-efficient distributed search engine for immutable data.,12.0,12,False,3,,,,,
60,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,,2019-02-27 03:27:23,2021-11-28 10:21:16,2021-11-24 01:44:26,38.0,26.0,45.0,562.0,,2021-11-24 01:49:53,0.0.22,,,16.0,High-performance automatic differentiation of LLVM.,16.0,12,False,2,,,,,
61,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,,2015-06-11 23:02:10,2021-09-15 21:37:11,2021-07-03 11:52:44,59.0,4.0,39.0,514.0,182.0,,,,,,A fast implementation of Aho-Corasick in Rust.,26.0,12,False,2,,,,,
62,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,,2020-07-19 16:24:54,2021-06-07 06:26:50,2021-06-07 06:26:50,29.0,14.0,27.0,359.0,,2021-04-24 09:12:56,0.6.4,3643.0,331.0,27.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",7.0,12,False,2,,,,,
63,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,,2015-06-11 23:01:31,2021-11-16 11:17:52,2021-08-18 13:33:49,55.0,8.0,35.0,337.0,169.0,,,,,,Optimized string search routines for Rust.,31.0,12,False,2,,,,,
64,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,,MIT,2020-09-15 18:05:06,2021-11-28 06:24:59,2021-11-18 14:42:48,88.0,88.0,126.0,189.0,,,,,,,This repository is for active development of the *unofficial* Azure SDK for Rust. This repository is *not* supported..,74.0,12,True,2,,,,['binding'],
65,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,,2016-04-25 11:22:18,2021-03-09 19:49:09,2021-03-09 19:49:09,30.0,1.0,27.0,117.0,131.0,2020-04-20 04:05:53,2.0.1,324.0,7.0,13.0,Dynamically get the suggested clusters in the data for unsupervised learning.,4.0,12,False,2,23.0,23.0,,,
66,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,,MIT,2017-03-29 15:18:20,2021-11-16 10:40:23,2020-06-18 11:31:52,12.0,20.0,16.0,112.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",4.0,12,False,2,,,,,
67,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,,MIT,2019-08-20 23:26:06,2021-09-08 01:20:54,2020-07-24 16:19:15,3.0,3.0,6.0,37.0,152.0,2019-10-11 20:43:19,1.0.0,,,1.0,OpenAI Gym bindings for Rust.,3.0,12,False,2,,,,['binding'],
68,ungoliant,oscar-corpus/ungoliant,nlp,https://github.com/oscar-corpus/ungoliant,https://github.com/oscar-corpus/ungoliant,,Apache-2.0,2021-02-15 03:19:32,2021-11-25 15:47:42,2021-11-10 10:36:05,3.0,3.0,1.0,29.0,213.0,2021-09-07 17:31:50,1.0.0,,,1.0,The pipeline for the OSCAR corpus.,2.0,12,False,2,,,2.0,,
69,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,,2019-02-16 21:08:44,2021-11-28 20:49:13,2021-11-28 20:49:08,117.0,46.0,230.0,1334.0,,,,,,,Rust bindings for the C++ api of PyTorch.,38.0,11,False,2,,,-2.0,['binding'],
70,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,,,2018-07-22 10:09:33,2021-11-28 07:42:24,2021-11-18 14:54:41,33.0,23.0,30.0,345.0,809.0,,,,,,Mathematical optimization in pure Rust.,17.0,11,False,2,,,,,
71,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/vbarrielle/sprs,https://github.com/vbarrielle/sprs,,,2015-05-17 19:01:01,2021-07-31 16:20:41,2021-07-22 16:02:18,26.0,40.0,96.0,259.0,1035.0,,,,,,sparse linear algebra library for rust.,22.0,11,False,2,,,,,
72,rs-natural,christophertrml/rs-natural,nlp,https://github.com/lst-codes/rs-natural,https://github.com/lst-codes/rs-natural,lst-codes/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,28.0,2.0,7.0,198.0,97.0,,,,,,Natural Language Processing for Rust.,14.0,11,False,2,,,,,
73,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,,Apache-2.0,2019-05-08 05:14:51,2021-11-11 00:51:24,2021-11-11 00:51:24,21.0,29.0,21.0,193.0,,,,,,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,15.0,11,True,2,,,,,
74,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/snipsco/rustling-ontology,https://github.com/snipsco/rustling-ontology,,,2017-04-24 15:08:48,2020-10-07 11:29:12,2020-10-07 11:29:08,44.0,28.0,26.0,115.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,19.0,11,False,2,,,,,
