,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2021-11-29 12:01:44,2021-11-25 14:41:26,641.0,1619.0,3027.0,8562.0,5847.0,2021-11-18 19:09:09,0.18.0,86794.0,3099.0,32.0,A high-performance observability data pipeline.,187.0,25,True,1,,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2021-11-29 12:27:29,2021-11-29 11:16:07,2009.0,11.0,675.0,8730.0,10423.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,764.0,24,True,1,56.0,56.0,,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2021-11-29 12:24:09,2021-10-07 14:56:48,400.0,142.0,381.0,5030.0,1493.0,2021-09-08 07:18:04,python-v0.11.0,,,43.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,46.0,21,True,1,38.0,38.0,,,
3,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/MeiliSearch,https://github.com/meilisearch/MeiliSearch,,MIT,2018-04-23 11:45:28,2021-11-28 15:38:03,2021-11-17 12:48:56,649.0,52.0,719.0,19700.0,,2021-11-16 09:52:53,0.24.0,23149.0,964.0,70.0,"Powerful, fast, and an easy to use search engine.",74.0,20,True,1,,,,,
4,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2021-11-09 17:14:17,2021-11-09 17:14:06,398.0,44.0,181.0,12207.0,631.0,2021-11-09 17:15:58,1.3.2,581.0,18.0,21.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",29.0,20,True,1,,,2.0,,
5,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2021-11-23 18:46:52,2021-11-23 18:43:34,166.0,6.0,554.0,3764.0,1256.0,2021-11-23 18:46:52,3000.0.6,15947.0,227.0,100.0,Making Postgres and Elasticsearch work together like it's 2021.,24.0,20,False,1,,,,,
6,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2021-09-27 10:12:06,2021-07-26 14:25:10,384.0,207.0,678.0,2457.0,3167.0,2021-08-21 01:09:06,rusoto-v0.47.0,,,41.0,AWS SDK for Rust.,185.0,20,True,1,,,,,
7,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2021-11-29 12:18:07,2021-11-29 10:47:28,2151.0,208.0,1844.0,7411.0,,2021-11-24 17:14:48,0.8.0,748.0,15.0,10.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",662.0,19,True,1,,,,['binding'],
8,synth,openquery-io/synth,data-loading,https://github.com/getsynth/synth,https://github.com/getsynth/synth,getsynth/synth,Apache-2.0,2020-08-09 08:51:34,2021-11-27 07:42:10,2021-11-19 16:30:05,51.0,34.0,39.0,690.0,261.0,2021-11-08 14:52:00,0.6.1-r4,1459.0,162.0,26.0,The Declarative Data Generator.,24.0,19,True,2,,,,,
9,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2021-11-29 10:59:17,2021-11-29 09:26:22,191.0,72.0,655.0,3192.0,2624.0,,,,,,Fast multi-threaded DataFrame library in Rust and Python.,57.0,18,True,2,5.0,5.0,,,
10,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2021-11-27 10:01:04,2021-11-27 10:01:01,299.0,191.0,315.0,2399.0,2092.0,,,,,,Linear algebra library for Rust.,159.0,18,True,1,,,,,
11,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2021-11-29 09:58:04,2021-11-28 18:40:25,204.0,285.0,443.0,1374.0,3381.0,,,,,,Apache Arrow DataFusion and Ballista query engines.,261.0,18,True,2,,,,,
12,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-inc/tantivy,https://github.com/quickwit-inc/tantivy,quickwit-inc/tantivy,MIT,2016-01-11 08:32:16,2021-11-29 09:42:37,2021-11-29 01:38:59,325.0,142.0,439.0,5573.0,,2021-09-10 14:07:33,0.16.1,,,36.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,96.0,17,True,2,,,,,
13,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,,Apache-2.0,2019-10-05 17:38:23,2021-09-15 13:10:49,2021-09-15 11:37:42,110.0,3.0,33.0,4788.0,,2021-09-15 11:49:24,1.3.0,6412.0,256.0,9.0,A command-line tool and library for generating regular expressions from user-provided test cases.,6.0,17,True,1,,,,,
14,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,239.0,69.0,95.0,2698.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,17,False,1,3.0,3.0,,,
15,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/databend,https://github.com/datafuselabs/databend,datafuselabs/databend,Apache-2.0,2020-10-10 06:04:42,2021-11-29 12:17:24,2021-11-29 12:17:24,236.0,355.0,902.0,2591.0,,,,1311.0,437.0,100.0,"An elastic and reliable Serverless Data Warehouse, offers Blazing Fast Query and combines Elasticity, Simplicity, Low..",75.0,17,True,2,,,-1.0,,
16,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,statrs-dev/statrs,MIT,2016-03-11 06:38:50,2021-11-05 07:53:08,2021-09-01 09:15:53,38.0,21.0,77.0,290.0,589.0,2021-06-30 22:40:18,0.15.0,,,2.0,Statistical computation library for Rust.,22.0,17,True,1,,,,,
