,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition,labels
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2025-08-01 07:17:07,2025-07-24 07:34:36,1713.0,341.0,1206.0,25034.0,4555.0,2025-07-24 10:18:56,1.15.1,452940.0,8881.0,100.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",117.0,117.0,136.0,29,True,1.0,,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2025-08-01 05:48:13,2025-07-31 17:41:52,1776.0,1942.0,6120.0,20039.0,12770.0,2025-06-30 19:32:30,0.48.0,3752806.0,51408.0,93.0,A high-performance observability data pipeline.,,,556.0,28,True,1.0,vectordotdev/vector,,,
2,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2025-07-31 13:00:09,2025-07-31 12:57:05,393.0,153.0,211.0,3430.0,1398.0,2025-06-06 14:11:43,petgraph@v0.8.2,,,3.0,Graph data structure library for Rust.,142832.0,142832.0,133.0,27,True,1.0,,,,
3,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,,2020-05-13 19:45:33,2025-08-01 07:56:07,2025-08-01 07:47:45,2308.0,2535.0,8614.0,34675.0,,2025-08-01 01:43:55,py-1.32.0,7501.0,416.0,100.0,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust.",26556.0,26556.0,599.0,26,False,1.0,pola-rs/polars,,,
4,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2025-07-29 13:32:04,2025-07-29 13:32:03,923.0,79.0,1007.0,9949.0,,2025-07-28 13:18:55,0.21.4,86.0,1.0,97.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,181495.0,181495.0,115.0,25,True,1.0,,,,
5,rerun,rerun-io/rerun,image,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2025-08-01 09:13:24,2025-07-30 19:18:07,493.0,1316.0,2710.0,8958.0,,2025-07-17 17:36:16,0.24.0,144801.0,4826.0,49.0,"Visualize streams of multimodal data. Free, fast, easy to use, and simple to integrate. Built in Rust.",208.0,208.0,105.0,25,True,1.0,,,,
6,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2025-08-01 03:12:59,2025-08-01 03:12:57,176.0,9.0,343.0,3819.0,1364.0,2025-07-25 04:06:17,2.6.1,,,52.0,An embedded key-value database in pure Rust.,1241.0,1241.0,31.0,25,True,1.0,,,,
7,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,MIT,2018-04-23 11:45:28,2025-08-01 07:35:02,2025-07-31 14:20:33,2087.0,211.0,2072.0,52546.0,,2025-06-12 19:08:55,1.15.2,210619.0,10029.0,100.0,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,,,225.0,24,True,1.0,,,,
8,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2025-07-31 13:11:53,2025-07-31 13:11:53,3657.0,4201.0,22459.0,15784.0,,2025-07-17 06:41:41,apache-arrow-21.0.0,23751.0,1827.0,25.0,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory..,8.0,8.0,1412.0,24,True,2.0,,,,
9,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2025-08-01 06:21:21,2025-07-30 16:25:03,750.0,306.0,762.0,13512.0,,2025-04-25 06:42:44,0.24.1,,,47.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,2116.0,2116.0,169.0,24,True,1.0,quickwit-oss/tantivy,,,
