,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2023-11-01 04:56:28,2023-10-31 20:17:58,1185.0,1567.0,5449.0,14699.0,10617.0,2023-10-30 18:09:02,0.33.1,984330.0,18929.0,68.0,A high-performance observability data pipeline.,1045.0,1045.0,361.0,33,True,1.0,,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2023-10-30 17:13:18,2023-10-30 17:07:57,427.0,157.0,366.0,9352.0,2041.0,,,,,,Rayon: A data parallelism library for Rust.,193421.0,193421.0,140.0,26,True,1.0,,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2023-10-30 18:00:08,2023-09-30 16:24:28,412.0,274.0,374.0,3453.0,2635.0,,,,,,Linear algebra library for Rust.,35870.0,35870.0,202.0,25,True,1.0,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2023-10-31 21:52:13,2023-09-18 18:47:51,278.0,133.0,141.0,2354.0,1272.0,,,,,,Graph data structure library for Rust.,94373.0,94373.0,102.0,25,True,1.0,,,
4,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2023-11-01 09:00:49,2023-11-01 08:46:28,1226.0,1089.0,4300.0,21208.0,,2023-10-29 06:14:16,py-0.17.5,33.0,2.0,100.0,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust.",4551.0,4551.0,303.0,24,True,1.0,,,
5,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2023-10-29 01:13:52,2023-10-25 06:14:32,630.0,260.0,580.0,7741.0,,2023-10-06 11:10:29,0.14.1,33.0,0.0,80.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,46712.0,46712.0,80.0,24,True,1.0,4.0,,
6,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2023-11-01 08:48:48,2023-10-31 20:12:08,516.0,249.0,1823.0,1887.0,5330.0,,,,,,Official Rust implementation of Apache Arrow.,6014.0,6014.0,463.0,24,True,1.0,,,
7,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,AGPL-3.0,2022-12-07 09:43:02,2023-10-27 07:06:07,2023-08-03 13:30:37,4721.0,511.0,313.0,42277.0,,2023-08-03 13:51:20,1.1.0,3837715.0,348883.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,30.0,23,True,1.0,,,
8,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2023-11-01 09:11:30,2023-10-24 08:50:57,1445.0,118.0,1523.0,39569.0,,2023-10-19 15:15:12,1.4.2,153631.0,6145.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,173.0,23,True,1.0,,,
9,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,,MIT,2022-12-01 23:22:11,2023-10-18 14:41:46,2023-09-13 00:40:01,422.0,22.0,137.0,7150.0,,2023-09-13 00:40:45,0.5.1,,,6.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,35898.0,35898.0,11.0,23,True,1.0,,,
10,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2023-11-01 09:07:39,2023-11-01 09:05:50,730.0,752.0,2589.0,4196.0,6083.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,2191.0,2191.0,480.0,23,True,2.0,,,
