,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
51,rust-tfrecord,jerry73204/rust-tfrecord,data-loading,https://github.com/jerry73204/rust-tfrecord,https://github.com/jerry73204/rust-tfrecord,MIT,2019-11-06 17:35:02,2021-03-27 00:50:16,2021-03-27 00:48:47,3.0,,1.0,13.0,157.0,,,,,,A Rust crate that reads and writes tfrecord files.,2.0,9,False,3.0,,,1.0
52,sentencepiece,danieldk/sentencepiece,nlp,https://github.com/danieldk/sentencepiece,https://github.com/danieldk/sentencepiece,Apache-2.0,2020-01-22 15:30:22,2021-03-23 05:57:47,2021-02-09 14:46:50,1.0,,1.0,6.0,,2021-01-25 13:33:05,0.6.0,,,2.0,Rust binding for the sentencepiece library.,2.0,9,False,3.0,,,
53,tch-serde,jerry73204/tch-serde,data-loading,https://github.com/jerry73204/tch-serde,https://github.com/jerry73204/tch-serde,MIT,2020-07-21 21:04:15,2021-03-26 13:34:06,2021-03-26 13:33:47,3.0,,,3.0,24.0,,,,,,Serialize/Deserialize tch-rs types with serde.,3.0,9,False,3.0,,,
54,hal,jramapuram/hal,ml-frameworks,https://github.com/jramapuram/hal,https://github.com/jramapuram/hal,MIT,2015-07-22 20:11:09,2016-10-22 00:27:46,2016-10-22 00:24:58,9.0,5.0,,75.0,52.0,,,,,,Rust based Cross-GPU Machine Learning.,2.0,8,False,3.0,,,
55,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2020-12-21 14:04:54,2020-12-21 14:04:53,4.0,,,48.0,38.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,2.0,8,False,3.0,,,
56,word2vec,dimakudosh/word2vec,nlp,https://github.com/DimaKudosh/word2vec,https://github.com/DimaKudosh/word2vec,MIT,2016-01-28 19:57:43,2019-11-04 15:30:36,2019-11-04 15:29:26,6.0,,,20.0,63.0,,,,,,Rust interface to word2vec.,5.0,8,False,3.0,,,
57,RusticSOM,avinashshenoy97/RusticSOM,ml-frameworks,https://github.com/avinashshenoy97/RusticSOM,https://github.com/avinashshenoy97/RusticSOM,MIT,2018-03-04 07:44:42,2020-10-14 21:10:03,2020-10-07 18:54:35,5.0,,,20.0,48.0,,,,,,Rust library for Self Organising Maps (SOM).,5.0,8,False,3.0,,,
58,rust-sbert,cpcdoy/rust-sbert,nlp,https://github.com/cpcdoy/rust-sbert,https://github.com/cpcdoy/rust-sbert,Apache-2.0,2020-04-19 14:27:46,2021-01-21 16:25:05,2020-11-23 16:05:05,1.0,,,15.0,62.0,,,,,,Rust port of sentence-transformers (https://github.com/UKPLab/sentence-transformers).,3.0,8,False,3.0,,,
59,crfsuite-rs,messense/crfsuite-rs,ml-frameworks,https://github.com/messense/crfsuite-rs,https://github.com/messense/crfsuite-rs,MIT,2018-01-05 07:58:56,2021-01-30 15:29:24,2021-01-27 09:27:30,,,8.0,13.0,144.0,,,,,,Rust binding to crfsuite.,,8,False,3.0,,,
60,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,https://github.com/danieldk/alpino-tokenizer,https://github.com/danieldk/alpino-tokenizer,Apache-2.0,2019-10-08 07:11:10,2021-03-15 04:51:34,2020-10-08 09:13:16,,,,2.0,38.0,2020-10-08 08:49:03,0.3.0,8.0,1.0,1.0,Rust wrapper for the Alpino tokenizer.,,8,False,3.0,,,
61,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,,2019-06-17 23:43:49,2021-03-06 01:20:03,2021-03-06 01:19:58,3.0,,5.0,99.0,,,,,,,Machine Learning Library for Rust.,3.0,7,False,3.0,,,
62,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,https://github.com/outbrain/fwumious_wabbit,https://github.com/outbrain/fwumious_wabbit,,2020-09-14 12:52:38,2021-03-29 10:48:46,2021-03-21 16:17:53,7.0,2.0,,96.0,,,,,,,"Fwumious Wabbit, fast on-line machine learning toolkit written in Rust.",7.0,7,False,3.0,,,
63,tflite-rs,boncheolgu/tflite-rs,ml-frameworks,https://github.com/boncheolgu/tflite-rs,https://github.com/boncheolgu/tflite-rs,,2018-10-23 13:13:57,2021-03-20 08:47:36,2021-03-20 08:19:51,18.0,9.0,8.0,38.0,143.0,,,,,,,7.0,7,False,3.0,,,
