,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2023-06-01 08:48:54,2023-05-31 19:23:24,1055.0,1538.0,5153.0,13613.0,9790.0,2023-05-22 19:33:11,0.30.0,635402.0,13519.0,62.0,A high-performance observability data pipeline.,1035.0,1035.0,326.0,32,True,1.0,,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2023-05-22 20:09:35,2023-05-22 20:02:08,411.0,144.0,349.0,8681.0,1997.0,,,,,,Rayon: A data parallelism library for Rust.,179701.0,179701.0,137.0,26,True,1.0,,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2023-05-25 12:12:27,2023-04-30 13:27:44,391.0,255.0,361.0,3231.0,2635.0,,,,,,Linear algebra library for Rust.,33309.0,33309.0,196.0,25,True,1.0,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2023-05-30 18:01:04,2023-04-07 02:29:31,251.0,123.0,137.0,2160.0,1268.0,,,,,,Graph data structure library for Rust.,86741.0,86741.0,98.0,25,True,1.0,,,
4,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2023-06-01 09:11:08,2023-05-31 21:11:10,425.0,259.0,1556.0,1625.0,4967.0,,,,,,Official Rust implementation of Apache Arrow.,5758.0,5758.0,415.0,24,True,1.0,,,
5,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,AGPL-3.0,2022-12-07 09:43:02,2023-05-29 07:31:03,2023-05-29 04:43:19,3987.0,391.0,286.0,36836.0,,2023-05-25 05:24:27,1.0.0,2625779.0,437629.0,33.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,28.0,23,True,1.0,,,
6,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2023-05-31 21:10:04,2023-05-31 12:10:07,1303.0,119.0,1386.0,36802.0,,2023-04-18 08:03:22,1.1.1,99118.0,3671.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,158.0,23,True,1.0,,,
7,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2023-06-01 09:10:36,2023-06-01 09:06:17,918.0,766.0,3182.0,17493.0,,2023-05-29 20:02:20,rs-0.30.0,,,74.0,"Fast multi-threaded, hybrid-out-of-core DataFrame library in Rust | Python | Node.js.",2137.0,2137.0,221.0,23,True,2.0,,,
8,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2023-06-01 06:36:01,2023-06-01 04:39:46,474.0,229.0,628.0,8143.0,,2023-02-10 04:26:52,0.19.2,,,42.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1177.0,1177.0,129.0,23,True,1.0,1.0,,
9,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2023-05-31 17:00:31,2023-05-31 17:00:08,194.0,47.0,154.0,1431.0,450.0,,,,,,"A CSV parser for Rust, with Serde support.",69670.0,69670.0,52.0,23,True,2.0,,,
10,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2023-05-29 19:29:41,2023-05-24 11:59:35,72.0,10.0,42.0,506.0,182.0,,,,,,Optimized string search routines for Rust.,430757.0,430757.0,34.0,23,True,1.0,,,
