,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-08-08 08:28:12,2022-08-07 22:26:03,818.0,1708.0,4028.0,10863.0,7840.0,2022-07-11 20:45:21,0.23.0,155169.0,4193.0,47.0,A high-performance observability data pipeline.,943.0,943.0,247.0,30,True,1,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2022-07-18 22:15:50,2022-07-18 19:36:36,360.0,143.0,304.0,7024.0,1855.0,,,,,,Rayon: A data parallelism library for Rust.,155768.0,155768.0,127.0,25,True,1,10.0,
2,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-08-08 12:29:03,2022-08-08 10:43:39,2344.0,45.0,773.0,9962.0,12050.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,76.0,76.0,910.0,24,True,2,,
3,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-08-08 12:40:08,2022-08-08 12:28:02,397.0,202.0,1521.0,7362.0,4043.0,2022-08-04 12:02:04,rust-polars-v0.23.0,,,4.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,1491.0,1491.0,109.0,24,True,2,,
4,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-07-11 16:42:18,2022-04-25 02:35:58,394.0,216.0,684.0,2564.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,291.0,291.0,188.0,24,True,1,,
5,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2022-07-28 14:58:31,2022-07-27 09:20:44,220.0,101.0,128.0,1793.0,1255.0,,,,,,Graph data structure library for Rust.,73826.0,73826.0,91.0,24,True,1,,
6,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2022-06-30 09:57:48,2021-12-16 12:50:09,167.0,45.0,138.0,1227.0,432.0,,,,,,"A CSV parser for Rust, with Serde support.",62889.0,62889.0,49.0,23,True,2,10.0,
7,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2022-08-08 10:42:14,2022-08-08 10:20:31,248.0,357.0,754.0,980.0,3860.0,,,,,,Official Rust implementation of Apache Arrow.,5378.0,5378.0,321.0,23,True,2,,
8,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2022-07-14 17:19:52,2022-07-14 17:19:37,65.0,5.0,42.0,411.0,181.0,,,,,,Optimized string search routines for Rust.,346305.0,346305.0,34.0,23,True,1,11.0,
9,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2022-08-08 12:45:10,2022-08-08 12:39:37,396.0,459.0,980.0,2307.0,4149.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,403.0,403.0,316.0,22,True,2,,
10,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2022-08-08 09:15:08,2022-08-08 09:13:54,108.0,36.0,232.0,2140.0,790.0,2022-08-08 10:53:45,0.9.0,,,22.0,Qdrant - Vector Search Engine for the next generation of AI applications.,420.0,420.0,27.0,22,True,1,,
11,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,Unlicense,2015-06-11 23:02:10,2022-07-14 17:21:26,2022-07-14 17:21:10,69.0,5.0,42.0,598.0,185.0,,,,,,A fast implementation of Aho-Corasick in Rust.,281181.0,281181.0,26.0,22,True,1,11.0,
12,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,statrs-dev/statrs,MIT,2016-03-11 06:38:50,2022-07-07 22:24:02,2022-01-28 10:32:17,52.0,24.0,79.0,360.0,599.0,2021-06-30 22:40:18,0.15.0,,,2.0,Statistical computation library for Rust.,13980.0,13980.0,24.0,22,True,1,,
13,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2022-08-08 05:41:50,2022-08-02 07:58:48,980.0,60.0,982.0,28396.0,,2022-07-21 11:47:57,0.28.1,46836.0,1419.0,100.0,"An open-source, lightning-fast, and hyper-relevant search engine that fits effortlessly into your apps, websites, and..",,,93.0,21,True,1,,
14,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2022-08-08 11:04:11,2022-08-08 11:04:11,2478.0,401.0,2119.0,8400.0,,2022-07-14 22:33:00,0.9.0,1271.0,21.0,11.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,795.0,21,True,1,,['binding']
15,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2022-08-03 18:45:20,2022-08-03 11:31:02,401.0,158.0,500.0,6801.0,,2022-05-26 09:32:47,0.18,,,38.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,993.0,993.0,107.0,21,True,1,,
16,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,Apache-2.0,2018-04-05 07:03:30,2022-08-07 16:14:17,2022-08-07 16:12:09,130.0,31.0,58.0,1829.0,277.0,2022-06-15 05:07:41,0.6.0,,,8.0,A Rust machine learning framework.,165.0,165.0,24.0,21,True,1,,
17,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,Unlicense,2015-09-05 00:25:46,2022-07-14 17:22:18,2022-07-14 17:22:01,86.0,16.0,54.0,1422.0,262.0,,,,,,Represent large sets and maps compactly with finite state transducers.,9617.0,9617.0,25.0,21,True,3,,
18,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2022-08-08 11:30:31,2022-08-08 11:30:31,60.0,54.0,54.0,901.0,297.0,2022-02-10 21:21:47,0.6.5-r1,2895.0,160.0,30.0,The Declarative Data Generator.,101.0,101.0,25.0,21,True,3,,
19,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2022-07-10 20:09:22,2022-07-10 20:07:19,454.0,53.0,193.0,13522.0,661.0,2022-07-10 20:09:38,1.3.5,,,24.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",,,31.0,20,True,2,,
20,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,,Apache-2.0,2019-10-05 17:38:23,2022-08-03 08:09:10,2022-08-03 08:09:09,138.0,3.0,38.0,5457.0,,2022-07-26 18:06:02,1.4.0,15076.0,443.0,10.0,A command-line tool and Rust library for generating regular expressions from user-provided test cases.,152.0,152.0,9.0,20,True,1,,
21,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2022-07-27 21:46:24,2022-07-20 16:33:26,183.0,12.0,587.0,4080.0,1351.0,2022-07-20 19:05:36,3000.1.3,15211.0,197.0,100.0,Making Postgres and Elasticsearch work together like it's 2022.,,,29.0,20,False,2,,
