,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-07-11 09:25:49,2022-07-08 23:16:15,800.0,1876.0,3733.0,10652.0,7655.0,2022-06-29 08:59:19,0.22.3,141132.0,3920.0,46.0,A high-performance observability data pipeline.,237.0,25,True,1,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-07-11 12:40:22,2022-07-11 12:18:47,2296.0,42.0,760.0,9778.0,11867.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,887.0,24,True,1,74.0,74.0,,
2,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2022-07-11 12:41:17,2022-07-07 12:37:36,955.0,50.0,972.0,27818.0,,2022-06-07 14:36:28,0.27.2,43048.0,1345.0,99.0,"An open-source, lightning-fast, and hyper-relevant search engine that fits effortlessly into your apps, websites, and..",91.0,21,True,1,,,,
3,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2022-07-10 20:09:22,2022-07-10 20:07:19,447.0,50.0,193.0,13337.0,661.0,2022-07-10 20:09:38,1.3.5,,,24.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",31.0,20,True,1,,,,
4,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-07-11 12:42:50,2022-07-11 12:31:51,376.0,182.0,1401.0,6912.0,3860.0,2022-06-06 12:15:33,rust-polars-v0.22.1,,,3.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,104.0,20,True,2,6.0,6.0,3.0,
5,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2022-07-05 19:50:27,2022-07-05 18:40:04,183.0,9.0,586.0,4021.0,1346.0,2022-07-05 19:50:27,3000.1.2,15352.0,199.0,100.0,Making Postgres and Elasticsearch work together like it's 2022.,29.0,20,False,1,,,,
6,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-06-08 17:18:38,2022-04-25 02:35:58,395.0,216.0,684.0,2556.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,188.0,20,True,1,,,,
7,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2022-07-11 12:39:54,2022-07-11 11:32:13,2443.0,381.0,2084.0,8305.0,,2021-11-24 17:14:48,0.8.0,1179.0,20.0,10.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",773.0,19,True,1,,,,['binding']
8,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2022-07-01 09:49:58,2022-06-10 12:58:02,474.0,185.0,448.0,5755.0,,2022-03-31 13:07:30,node-v0.12.0,,,58.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,56.0,19,True,1,49.0,49.0,-2.0,
9,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/databend,https://github.com/datafuselabs/databend,datafuselabs/databend,Apache-2.0,2020-10-10 06:04:42,2022-07-11 10:33:06,2022-07-11 09:57:31,432.0,355.0,2155.0,4223.0,,,,3611.0,1203.0,100.0,"A modern Elasticity and Performance cloud data warehouse, activate your object storage for real-time analytics. Cloud..",145.0,18,True,2,,,,
10,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,,BSD-3-Clause,2016-06-13 05:00:24,2022-06-22 01:07:30,2020-04-04 20:50:54,248.0,71.0,95.0,2793.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,18,False,1,4.0,4.0,,
11,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2022-06-17 08:42:03,2022-06-13 08:13:38,339.0,219.0,341.0,2708.0,2358.0,,,,,,Linear algebra library for Rust.,172.0,18,True,1,,,,
12,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2022-07-11 01:06:23,2022-07-10 18:48:39,374.0,431.0,910.0,2198.0,4070.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,312.0,18,True,2,,,,
