,name,github_id,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,new_addition
54,arrow,apache/arrow,data-loading,{},5.0,5.0,1548.0,4,False,3.0,,,
55,synth,openquery-io/synth,data-loading,{},112.0,112.0,32.0,4,False,3.0,,,
56,onnxruntime-rs,nbigaouette/onnxruntime-rs,ml-frameworks,{},228.0,228.0,9.0,4,False,2.0,['binding'],,
57,Rust-CUDA,RDambrosio016/Rust-CUDA,other,{},116.0,116.0,42.0,4,False,1.0,,,
58,dfdx,coreylowman/dfdx,ml-frameworks,{},108.0,108.0,40.0,4,False,2.0,,,
59,text-splitter,benbrandt/text-splitter,nlp,{},619.0,619.0,7.0,4,False,2.0,,,
60,dora,dora-rs/dora,mlops,{},65.0,65.0,109.0,4,False,1.0,,,
61,lancedb,lancedb/lancedb,mlops,{},15.0,15.0,237.0,4,False,1.0,,,
62,vtext,rth/vtext,nlp,{},44.0,44.0,3.0,3,False,2.0,,,
63,rustlearn,maciejkula/rustlearn,ml-frameworks,{},144.0,144.0,9.0,3,False,2.0,,,
64,tvm,apache/tvm,ml-frameworks,{},,,1162.0,3,False,2.0,['binding'],,
65,xaynet,xaynetwork/xaynet,ml-frameworks,{},14.0,14.0,29.0,3,False,2.0,,,
66,cv,rust-cv/cv,image,{},77.0,77.0,12.0,3,False,3.0,,,
67,texture-synthesis,EmbarkStudios/texture-synthesis,image,{},118.0,118.0,19.0,3,False,3.0,,,
68,nnsplit,bminixhofer/nnsplit,nlp,{},149.0,149.0,16.0,3,False,2.0,,,
69,nlprule,bminixhofer/nlprule,nlp,{},82.0,82.0,7.0,3,False,2.0,,,
70,finalfusion-rust,finalfusion/finalfusion-rust,nlp,{},54.0,54.0,6.0,3,False,2.0,,,
71,reductive,finalfusion/reductive,ml-frameworks,{},52.0,52.0,3.0,3,False,2.0,,,
72,sentencepiece,danieldk/sentencepiece,nlp,{},174.0,174.0,7.0,3,False,2.0,,,
73,rust-tfrecord,jerry73204/rust-tfrecord,data-loading,{},56.0,56.0,4.0,3,False,3.0,,,
74,grex,pemistahl/grex,nlp,{},173.0,173.0,10.0,3,False,2.0,,,
75,srx,bminixhofer/srx,nlp,{},146.0,146.0,4.0,3,False,2.0,,,
76,fasttext-rs,messense/fasttext-rs,nlp,{},78.0,78.0,4.0,3,False,2.0,['binding'],,
77,faiss-rs,Enet4/faiss-rs,ml-frameworks,{},89.0,89.0,12.0,3,False,2.0,['binding'],,
78,graph-rs,sreeise/graph-rs,graph,{},99.0,99.0,18.0,3,False,2.0,,,
79,gamma,metamolecular/gamma,ml-frameworks,{},49.0,49.0,3.0,3,False,2.0,,,
80,graphlib,purpleprotocol/graphlib,graph,{},51.0,51.0,12.0,3,False,2.0,,,
81,rust-stop-words,cmccomb/rust-stop-words,nlp,{},625.0,625.0,2.0,3,False,2.0,,,
82,rustfst,Garvys/rustfst,nlp,{},29.0,29.0,24.0,3,False,2.0,,,
83,GraphScope,alibaba/GraphScope,graph,{},11.0,11.0,75.0,3,False,2.0,,,
84,gap_statistic,milesgranger/gap_statistic,ml-frameworks,{},70.0,70.0,6.0,3,False,2.0,,,
85,instant-distance,InstantDomain/instant-distance,ml-frameworks,{},161.0,161.0,10.0,3,False,2.0,,,
86,datafuse,datafuselabs/datafuse,data-loading,{},7.0,7.0,258.0,3,False,3.0,,,
87,bhtsne,frjnn/bhtsne,ml-frameworks,{},121.0,121.0,4.0,3,False,2.0,,,
88,hora,hora-search/hora,ml-frameworks,{},56.0,56.0,6.0,3,False,2.0,,,
89,weggli,googleprojectzero/weggli,apps,{},86.0,86.0,10.0,3,False,2.0,,,
90,hora-hora,hora-search/hora,apps,{},56.0,56.0,6.0,3,False,2.0,,,
91,sonic,valeriansaliou/sonic,apps,{},24.0,24.0,46.0,3,False,2.0,,,
92,mosec,mosecorg/mosec,mlops,{},65.0,65.0,16.0,3,False,3.0,,,
93,Raphtory,Pometry/Raphtory,graph,{},27.0,27.0,39.0,3,False,2.0,,,
94,kornia-rs,kornia/kornia-rs,image,{},13.0,13.0,55.0,3,False,3.0,,,
95,RustQuant,avhz/RustQuant,apps,{},26.0,26.0,48.0,3,False,2.0,,,
96,rten,robertknight/rten,ml-frameworks,{},180.0,180.0,7.0,3,False,2.0,,,
97,sail,lakehq/sail,data-loading,{},12.0,12.0,40.0,3,False,3.0,,,
98,screenpipe,mediar-ai/screenpipe,apps,{},6.0,6.0,157.0,3,False,2.0,,,
99,outlines-core,dottxt-ai/outlines-core,nlp,{},19.0,19.0,28.0,3,False,2.0,,,
100,swiftide,bosun-ai/swiftide,mlops,{},41.0,41.0,24.0,3,False,3.0,,,True
101,alumina,millardjn/alumina,ml-frameworks,{},28.0,28.0,,2,False,3.0,,,
102,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,{},27.0,27.0,3.0,2,False,3.0,,,
103,rsrl,tspooner/rsrl,ml-frameworks,{},29.0,29.0,4.0,2,False,3.0,,,
104,word2vec,dimakudosh/word2vec,nlp,{},18.0,18.0,5.0,2,False,3.0,,,
105,seqalign,danieldk/seqalign,nlp,{},17.0,17.0,3.0,2,False,3.0,,,
106,vector,timberio/vector,data-loading,{},,,645.0,2,False,3.0,,-26.0,
107,weld,weld-project/weld,ml-frameworks,{},5.0,5.0,37.0,2,False,3.0,,,
108,rust-cv-convert,jerry73204/rust-cv-convert,image,{},34.0,34.0,7.0,2,False,3.0,,,
109,rust-tfidf,ferristseng/rust-tfidf,nlp,{},21.0,21.0,4.0,2,False,3.0,,,
110,vpsearch,kornelski/vpsearch,ml-frameworks,{},46.0,46.0,2.0,2,False,3.0,,,
111,granne,granne/granne,ml-frameworks,{},16.0,16.0,6.0,2,False,3.0,,,
112,rurel,milanboers/rurel,ml-frameworks,{},23.0,23.0,9.0,2,False,3.0,,,
113,gym-rs,mrrobb/gym-rs,ml-frameworks,{},15.0,15.0,4.0,2,False,3.0,['binding'],,
114,bayespam,zenoxygen/bayespam,ml-frameworks,{},13.0,13.0,3.0,2,False,3.0,,,
115,rstats,liborty/rstats,ml-frameworks,{},30.0,30.0,,2,False,3.0,,,
116,eval-metrics,benjarison/eval-metrics,interpret,{},13.0,13.0,,2,False,1.0,,,
117,petal-clustering,petabi/petal-clustering,ml-frameworks,{},17.0,17.0,5.0,2,False,3.0,,,
118,bayard,bayard-search/bayard,apps,{},18.0,18.0,13.0,2,False,3.0,,,
119,MeiliSearch,meilisearch/MeiliSearch,apps,{},,,255.0,2,False,3.0,,-22.0,
120,erdos,erdos-project/erdos,apps,{},17.0,17.0,10.0,2,False,3.0,,,
121,vega,rajasekarv/vega,analysis,{},5.0,5.0,22.0,2,False,1.0,,,
122,Oxen,Oxen-AI/Oxen,data-loading,{},4.0,4.0,31.0,2,False,3.0,,,
123,LlamaEdge,LlamaEdge/LlamaEdge,apps,{},25.0,25.0,11.0,2,False,3.0,,-20.0,
124,luminal,jafioti/luminal,ml-frameworks,{},6.0,6.0,37.0,2,False,3.0,,,
125,extractous,yobix-ai/extractous,data-loading,{},32.0,32.0,8.0,2,False,3.0,,,
126,goose,block/goose,apps,{},2.0,2.0,581.0,2,False,3.0,,,True
