,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
75,onnxruntime-rs,nbigaouette/onnxruntime-rs,ml-frameworks,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,,Apache-2.0,2020-08-04 03:04:15,2022-07-19 00:34:22,2022-07-19 00:34:22,47.0,29.0,19.0,148.0,447.0,,,,,,Rust wrapper for Microsoft's ONNX Runtime (version 1.8).,38.0,38.0,9.0,14,True,2,,['binding']
76,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,Unlicense,2016-04-25 11:22:18,2022-05-25 08:01:31,2022-05-25 08:01:31,36.0,2.0,30.0,147.0,132.0,2020-04-20 04:05:53,2.0.1,327.0,6.0,13.0,Dynamically get the suggested clusters in the data for unsupervised learning.,28.0,28.0,4.0,14,True,2,,
77,kdtree-rs,mrhooray/kdtree-rs,ml-frameworks,https://github.com/mrhooray/kdtree-rs,https://github.com/mrhooray/kdtree-rs,,Apache-2.0,2015-07-29 05:20:17,2022-05-17 01:16:45,2021-05-13 02:26:34,30.0,1.0,15.0,137.0,85.0,,,,,,K-dimensional tree in Rust for fast geospatial indexing and lookup.,401.0,401.0,14.0,14,False,2,,
78,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,,MIT,2017-02-07 13:00:30,2022-04-25 00:22:42,2021-05-13 07:18:43,13.0,,3.0,75.0,51.0,,,,,,A rust implementation of some popular snowball stemming algorithms.,2016.0,2016.0,5.0,14,False,2,,
79,levenshtein-automata,tantivy-search/levenshtein-automata,nlp,https://github.com/quickwit-oss/levenshtein-automata,https://github.com/quickwit-oss/levenshtein-automata,quickwit-oss/levenshtein-automata,MIT,2017-11-16 00:26:08,2022-03-21 20:18:00,2021-10-19 02:30:27,10.0,1.0,4.0,46.0,27.0,2020-03-30 00:38:52,0.2.0,,,1.0,,2300.0,2300.0,4.0,14,False,2,,
80,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/pyrus-cramjam,https://github.com/milesgranger/pyrus-cramjam,,MIT,2020-03-08 07:46:33,2022-07-15 16:00:38,2022-07-15 16:00:35,2.0,1.0,23.0,43.0,68.0,2021-12-08 19:32:12,2.5.0.post3,,,27.0,Thin Python wrapper to de/compression algorithms in Rust - lightweight & no dependencies.,487.0,487.0,3.0,14,False,2,,
81,hora,hora-search/hora,ml-frameworks,https://github.com/hora-search/hora,https://github.com/hora-search/hora,,Apache-2.0,2021-05-15 07:46:32,2021-10-23 16:20:43,2021-10-23 16:20:43,48.0,19.0,9.0,2199.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,19.0,19.0,6.0,13,True,2,,
82,hora-hora,hora-search/hora,apps,https://github.com/hora-search/hora,https://github.com/hora-search/hora,,Apache-2.0,2021-05-15 07:46:32,2021-10-23 16:20:43,2021-10-23 16:20:43,48.0,19.0,9.0,2199.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,19.0,19.0,6.0,13,True,3,,
83,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,,MIT,2017-09-05 14:42:39,2022-07-22 00:16:26,2022-02-06 10:08:07,32.0,1.0,33.0,386.0,379.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,,,14.0,13,True,2,,
84,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,31.0,1.0,2.0,308.0,41.0,,,,,,A neural network crate.,145.0,145.0,2.0,13,False,2,,
